TractFIPS,State,City,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
12031002702,FL,Jacksonville,28.4,26.3,14.4,42.7,78.1,5.1,10.5,7.5,78.5,72.3,53.7,10.5,24.4,22.4,28.2,40.6,16.5,37.6,3.9,39.5,82.2,18.2,42.7,84.2,18.8,46.3,5.3,29.7
12031002801,FL,Jacksonville,29.1,31.1,11.7,53.1,83.5,6.4,10.6,9.3,83.2,75.2,58.7,11,21.7,20.6,25.3,39.9,21.7,41.7,4.9,42.6,83.1,16.2,45,85,19.4,47,7.2,32.5
12031002802,FL,Jacksonville,31.3,32.4,11.1,54.8,83.9,6.4,10.9,10.6,82.8,73.9,54.9,12.3,20.2,18.4,27.2,36,23.3,43,5.4,45.7,82.4,17.4,46.2,84.6,21.4,47.7,8.2,37.5
12031002901,FL,Jacksonville,32.6,32,10.9,52.5,82.5,6.1,11.4,10.4,82.2,72.7,52.3,12.8,19.8,17.1,28.4,33.9,23.1,41.4,5.5,46.6,82.7,18.6,46.8,84.7,22.2,48.2,8.5,40.5
12031002902,FL,Jacksonville,29,29.4,12.2,50.6,82.3,5.9,10.7,9.2,82.4,73.4,55.9,10.8,20.8,18.8,25.5,39.6,20.7,40.2,4.7,41.7,83.9,16.8,44.1,85.1,19.3,47.2,7.1,33.5
12031010101,FL,Jacksonville,17.1,21.4,21.3,29.9,74.9,6.1,7.7,5.6,74,79.1,66.5,6.9,36.8,32.5,20,63.4,8.9,34.6,2.4,25,78.4,12.9,28.6,82.8,12,36.4,2.7,14.1
12031010102,FL,Jacksonville,17.4,20.9,21.2,29.6,73.6,5.8,7.9,5.4,73.5,78.6,65.1,7,37.1,33.2,20.3,62.6,8.7,34.5,2.4,24.7,78.9,13.2,29,83.3,12.2,36.8,2.6,14
12031010103,FL,Jacksonville,16.3,22.2,20.9,30.9,76,6.5,7.6,6,74.7,81.1,66.3,7,37.4,33.7,19.1,64.9,9.2,35.9,2.4,24.5,78.7,12.3,28,83,12,35.7,2.7,13
12031010201,FL,Jacksonville,20,19.5,21.4,28.7,71.7,5.1,8,5,72.5,75,62.9,6.8,34.5,31.3,22,58.6,8.6,33.1,2.3,26.5,78.6,14.1,30.2,82.9,12.3,38.3,2.5,15.9
12031010202,FL,Jacksonville,16.6,24.5,21,32,77.8,7.5,7.7,6.8,74.6,80.5,66.9,7.9,37.6,33.7,19.8,64.4,9.5,37.4,2.6,25.6,76.8,12.7,27.2,81.8,12.7,34.6,3,14.4
12031010301,FL,Jacksonville,21,22.6,20.6,34.1,75.1,5.9,8.4,6.5,74.2,74,62.9,8.2,33.5,30.4,23,56.5,10.3,36.9,2.7,28.4,78.3,14.3,31.2,82.1,13.8,38.2,3.2,18.1
12031010303,FL,Jacksonville,23.1,21.6,17.2,36.8,76.1,5,9.3,5.6,78.5,75.3,61.9,7.1,29.2,25.7,21.7,52.8,12.2,33.2,2.9,30.6,82.7,14.4,36.6,85.3,13.7,43.2,3.6,20.4
12031010304,FL,Jacksonville,21.4,23.6,14.7,42.9,79.6,5.1,9.6,6,81.7,77.5,61.9,7.3,26.5,24.7,20.3,52.2,15.1,35.2,3.4,31.5,85.1,14,40.1,86.9,14.3,44.7,4.3,20.5
12031010401,FL,Jacksonville,25.2,26.4,15.3,38.8,77.7,6.1,9.7,7.8,77.8,75.2,58.5,10.1,29.7,25.6,24.8,47,14.1,37.1,3.6,35.6,79.7,16.5,37.7,83.7,17,42.4,4.7,25
12031010402,FL,Jacksonville,26.3,25,16.1,38.7,75.9,5.5,9.9,7.3,76.2,71,56.1,10.1,29.1,25.1,26.6,44.9,13.6,37.5,3.5,35.9,79.3,17.4,38.3,83.1,17.3,43,4.5,26
12031010500,FL,Jacksonville,21.6,22.8,17.6,37.8,76.8,5.5,9.2,6,78,76.4,62.9,7.7,31.3,28.1,22.1,54.4,12.2,35.3,3,30,81.4,14.4,36.2,85,14,42.2,3.6,18.6
12031010600,FL,Jacksonville,19.3,24.3,20.2,34,76.5,6.5,8.4,6.9,74.4,77.9,63,8.7,34.7,31.1,22.9,58.7,10.4,37.7,2.8,28.4,77.7,14.4,30.7,81.9,14.3,37.6,3.3,17.5
12031010700,FL,Jacksonville,25.6,31.3,12,51.9,84.6,6.9,10.2,9.4,83.5,79.8,61.9,10.5,24.2,23,22.5,45.8,21.2,41.3,4.7,38.9,82.7,14.7,42.4,85.1,18.2,44.8,6.8,27.4
12031010800,FL,Jacksonville,26.6,31.9,11.8,53.3,84.2,6.7,10.5,9.7,83.2,76.9,60.3,11.2,22.8,21.7,24.1,42.7,21.9,42.6,4.9,40.6,83.2,15.7,44,85.1,19.3,45.8,7.1,29.4
12031010900,FL,Jacksonville,21.1,26.2,15.1,44.5,81.8,6.3,9.3,7,82.3,80.3,66.9,7.8,28.5,27.5,20,54.6,15.9,37.3,3.5,31.5,83.5,13,38.3,85.6,14.3,43.3,4.6,18.9
12031011000,FL,Jacksonville,27.7,28.1,14.3,44.1,79.6,6,10.4,8.5,78.9,74.3,56.2,11.1,26.2,23.3,27,43.1,16.8,39.4,4,38.7,81.2,17.3,40.6,83.6,18.8,44.5,5.6,28.7
12031011100,FL,Jacksonville,24.4,27.6,13.7,46.2,80.7,5.9,9.9,7.9,80.9,75.7,58.6,9.7,26.4,23.4,23.9,46,17.2,39.1,4,36.6,83.4,15.7,41.5,85.3,17.3,45,5.4,25.3
12031011200,FL,Jacksonville,20.3,28.3,13.2,48.7,84,6.7,9.4,7.7,84.3,82.1,67,8.2,26.7,26.3,18.5,54.7,18.1,39,3.9,32.2,85.1,12.5,39.5,86.4,14.8,43.2,5.2,19.1
12031011300,FL,Jacksonville,29.4,31.2,11.3,50.9,82.8,6.1,11.3,9.7,82.7,74.6,57.2,11.8,21,20.3,26.2,38.3,22.2,40.9,5.1,42.9,83,17.5,45.6,84.7,20.4,47.3,7.5,33.7
12031011400,FL,Jacksonville,26.9,35.4,10.2,56.1,86.7,8.1,10.2,11.6,85.3,80.4,59.9,11.8,23,21.1,21.4,42.9,24.3,43.1,5.7,42.5,82.2,14.4,42.9,85.3,19.8,44.6,8.6,31.4
12031011500,FL,Jacksonville,31.4,29.4,12,49.7,81.1,5.6,11.1,9,81.6,71.4,54.3,11.5,20.4,18.9,27.9,36.4,20.7,40.3,4.8,43.9,82.6,18.1,45.4,84.5,20.3,47.9,7.1,35.9
12031011600,FL,Jacksonville,29.9,34.3,10.3,55.4,84.8,7.2,10.8,11.4,83.8,75.3,54.9,12.7,20.9,18.5,24.9,36.9,24.4,43.2,5.9,45.4,82.3,16.8,45.6,85.2,21.6,46.7,9.1,36.8
12031011700,FL,Jacksonville,25,27.9,16.8,38.6,77.5,6.6,9.4,9.1,73.9,73,55.8,11.9,29.9,25.6,27.6,46.4,13.7,41,3.7,35.9,77.6,17.6,35.5,81.9,18.7,39.8,4.8,26.4
12031011800,FL,Jacksonville,31.4,28,15.3,41,76.6,5.6,10.5,9,74.7,70.3,50.4,12.9,25.4,21.6,32.2,37.2,16,39.8,4.1,42,78.6,20,40.8,82.1,21.2,44.3,5.7,34
12031011901,FL,Jacksonville,19.1,23.3,20.5,31.7,75.6,6.2,8.2,6.5,73.4,77.3,62.6,8.3,34.4,30.9,22.6,58.6,9.9,36.5,2.7,27.9,78,14.4,30.1,82,13.8,36.9,3.1,17
12031011902,FL,Jacksonville,21.5,22.1,18.9,33,75,5.4,8.5,6.1,74.2,75.1,60.2,8,32.5,28.5,22.6,54.9,10.8,35.6,2.8,29.7,79.2,14.8,32.3,82.5,14.1,39.4,3.3,18.6
12031011903,FL,Jacksonville,18.7,24,19.5,33.2,77.5,6.4,8.2,6.5,75.1,79.6,64.4,8.1,34.5,31.3,21.4,59.9,10.8,37.1,2.7,28.1,78.4,13.6,30.1,81.7,13.7,37.5,3.2,15.7
12031012000,FL,Jacksonville,20.6,25.4,18.2,35.9,77.8,6.9,8.4,7.4,76,77.3,63.4,8.8,34.7,29.8,21.6,56.6,11.5,38.1,3.1,30,77.8,14.2,32,83.1,14.5,38.3,3.7,18.2
12031012100,FL,Jacksonville,30.4,29.4,14.9,40.4,77.8,6.3,9.7,10.5,73.4,71.3,50.1,13.7,26.2,21.5,30.2,38.8,16.1,41.9,4.3,41.6,77.1,19.3,37.8,81,21.5,41.3,6,34.5
12031012200,FL,Jacksonville,29.7,26.2,15.3,38.4,75.5,5.6,10.2,8.3,74.1,67.8,51,11.9,26.6,21.9,29.8,39.5,14.1,39.1,3.8,40,77.7,19.6,37.8,81.5,19.6,42.9,5.1,32.1
12031012300,FL,Jacksonville,22.2,24.9,18.1,34.5,75.6,6.2,8.8,7.4,73.9,74.3,58,9.6,31.7,26.3,24.4,51.3,11.6,37.2,3.2,31.8,79.2,16,33.7,83,15.9,39.2,4,22
12031012400,FL,Jacksonville,18.6,23.9,20.5,32.2,76.4,6.9,8,6.9,73.6,77.3,63.4,8.2,35.6,30.4,21.3,60.3,9.6,37.1,2.7,27.3,77.3,13.8,28.5,81.9,13.6,35.7,3.2,17
12031012500,FL,Jacksonville,26.8,28.4,14.9,40.2,78.5,6.8,9.2,9.6,75.5,73.3,54.5,11.6,28.2,22.8,26,44.2,14.8,40.8,4,38.3,78,17,35.6,81.9,18.8,40.7,5.3,27.8
12031012601,FL,Jacksonville,23.8,24,16.7,36.8,75.8,5.9,9.4,7,76.9,72.5,59.6,9,32,27.2,23.2,49.9,12.3,36.2,3.3,32.3,79.1,15.9,35.7,84.1,15.4,41.6,4.1,22.4
12031012602,FL,Jacksonville,24.7,25.4,15.8,38.4,77.8,6,9.2,7.6,77.3,75.2,59.2,9.4,29.4,25.8,23.9,48.6,13.8,37.4,3.4,34.6,79.8,15.6,36.5,83.1,16.2,41.8,4.4,23.5
12031012702,FL,Jacksonville,23.6,21.3,19.2,32.3,72.7,5,9,5.8,73.4,72.4,58.8,8.2,31.5,28.3,24.5,52.2,10.3,34.8,2.7,30.6,78.1,15.9,33.3,82.5,14.5,40.4,3.2,20.2
12031012703,FL,Jacksonville,21.8,24.6,17.5,36.8,77.7,6.3,8.5,7.2,75.6,75.7,60.5,8.7,32.6,28.1,22.2,54.3,12.2,38.7,3.1,31.4,78.7,14.6,32.2,81.9,14.9,39.3,3.7,19.3
12031012704,FL,Jacksonville,23.6,19.6,18,32.4,73,4.5,8.9,5,76,74.2,60,6.8,31.5,28.9,22.2,52.8,10.8,32.4,2.6,30.1,80.2,14.8,34.9,84.1,13.2,42.4,3,17.7
12031012800,FL,Jacksonville,23.9,25.1,16,39,77.9,6,9,7.4,76.5,74,58.9,9.1,29.8,26.5,22.9,50.3,13.7,39,3.4,33.5,79.2,15.3,34.8,83.1,15.9,40.8,4.2,21.2
12031012900,FL,Jacksonville,20.8,25.8,18.5,35.9,78.2,7.1,8.2,7.6,75.7,77.9,62.7,8.9,33.6,28.7,21.9,56.8,11.5,38.3,3.1,30.4,78.4,13.9,30.8,81.9,14.6,37.8,3.8,18.7
12031013000,FL,Jacksonville,9.8,25.9,18.4,33.4,80.9,9.3,6.9,7.2,78.2,87.7,72.2,6.5,42.3,36.9,12.3,74.8,9.2,38.7,2.8,19.6,80,9.4,24.3,85.3,10.6,30,2.9,8.7
