TABLE 16A.—UPDATED PROXY HOSPITAL VALUE-BASED PURCHASING PROGRAM (VBP) ADJUSTMENT FACTORS FOR FY 2018*					
CMS Certification Number (CCN)	Proxy FY 2018 Hospital VBP Adjustment Factor				
050236	1.0022017735				
050238	1.0057827047				
050239	1.0048107376				
050242	0.9980069683				
050243	0.9892081088				
050245	0.9882872979				
050248	0.9959095658				
050254	1.0144280957				
050257	0.9964629824				
050261	0.9900777635				
050262	1.0044014883				
050272	1.0017925242				
050276	0.9968815328				
050278	1.0015878995				
050279	1.0079312634				
050280	0.9883896102				
050281	0.9996439655				
050283	1.0008717133				
050289	1.0027133351				
050290	1.0011274941				
050291	1.0073071582				
050292	0.9940679440				
050295	0.9981092807				
050296	1.0019971488				
050298	0.9966257520				
050300	1.0035318336				
050301	1.0103867591				
050305	0.9906404813				
050308	1.0034806775				
050309	1.0005647763				
050313	0.9998485901				
050315	0.9875029035				
050320	0.9929936647				
050324	1.0015878995				
050327	0.9970350013				
050329	0.9942725687				
050334	0.9940679440				
050335	1.0075731703				
050336	1.0012809626				
050342	0.9952445357				
050348	0.9976488752				
050350	0.9982320554				
050351	1.0079312634				
050352	1.0171393722				
050353	1.0038387706				
050357	1.0104146624				
050359	0.9933517578				
050360	1.0001555271				
050367	0.9953980042				
050373	0.9986208423				
050376	0.9954150562				
050380	0.9957560973				
050382	1.0002578394				
050390	0.9900777635				
050393	1.0019971488				
050394	0.9929425085				
050396	1.0069592964				
050407	1.0109494768				
050411	1.0142405231				
050414	0.9995518844				
050417	1.0156046874				
050423	0.9864177728				
050424	1.0164231860				
050425	1.0068740361				
050426	0.9947738990				
050438	1.0060896416				
050441	0.9995416531				
050444	1.0009228695				
050454	1.0071639210				
050455	0.9940679440				
050457	1.0041457075				
050464	0.9939656317				
050468	0.9996746592				
050471	0.9984162176				
050481	1.0051176746				
050485	0.9963188151				
050488	0.9980581245				
050492	0.9962676589				
050496	0.9990812477				
050498	1.0006773199				
050502	0.9992858723				
050503	1.0037876144				
050506	0.9944260371				
050510	1.0106118462				
050512	1.0093431734				
050515	1.0079653675				
050516	1.0041457075				
050517	0.9958584096				
050523	0.9976386440				
050526	0.9982627491				
050528	1.0118447096				
050534	0.9931982893				
050537	1.0121772247				
050541	0.9985526340				
050543	0.9994393408				
050549	0.9986719984				
050551	0.9891569527				
050557	0.9996951216				
050561	1.0124671096				
050567	0.9992858723				
050568	1.0078801072				
050570	0.9929936647				
050573	0.9991835600				
050575	1.0031737405				
050580	0.9974954067				
050581	0.9949375987				
050586	1.0125353178				
050588	0.9997974339				
050589	0.9977511875				
050590	1.0099263536				
050597	1.0009228695				
050599	1.0029179597				
050603	1.0005647763				
050604	1.0115804028				
050608	0.9984162176				
050609	1.0199700131				
050616	1.0004317703				
050624	1.0004624640				
050625	1.0021506173				
050633	1.0007182448				
050636	0.9948250552				
050641	1.0012809626				
050663	1.0042787136				
050674	1.0130127753				
050677	1.0090566989				
050678	1.0019971488				
050684	0.9992858723				
050686	1.0020994611				
050688	0.9955310102				
050689	0.9931573644				
050690	1.0083064086				
050696	0.9984844258				
050697	1.0369228545				
050701	0.9939656317				
050704	1.0049539749				
050708	1.0293889473				
050709	1.0046368067				
050710	1.0113757782				
050714	1.0193437376				
050717	1.0012809626				
050723	1.0208567198				
050724	0.9989277792				
050726	1.0254824769				
050727	0.9915305985				
050735	0.9949887549				
050736	0.9893615773				
050737	1.0046572691				
050738	0.9996439655				
050739	1.0058338608				
050740	1.0054041491				
050742	0.9975363317				
050744	0.9920728538				
050745	0.9816742016				
050746	0.9924821031				
050747	0.9940508920				
050748	1.0077607429				
050755	1.0050869809				
050757	0.9948864426				
050758	0.9878439445				
050760	1.0154000628				
050761	1.0018436803				
050764	0.9995928093				
050765	0.9957560973				
050769	1.0185066368				
050770	0.9990812477				
050771	0.9985696861				
050772	1.0151272299				
050773	0.9962676589				
050775	0.9991835600				
050776	0.9939144755				
050777	1.0096023646				
050778	1.0003192268				
060001	1.0043503322				
060003	0.9984673738				
060004	1.0076243264				
060006	1.0021506173				
060008	0.9941958344				
060009	1.0040945514				
060010	1.0069592964				
060011	1.0010251818				
060012	1.0052711431				
060013	1.0054041491				
060014	0.9994393408				
060015	0.9966769082				
060016	1.0083916688				
060020	1.0058338608				
060022	0.9935563824				
060023	0.9956026288				
060024	1.0004624640				
060027	0.9983650615				
060028	1.0036682501				
060030	0.9952956919				
060031	0.9930448208				
060032	1.0057315485				
060034	0.9956026288				
060036	1.0041712856				
060044	0.9949631768				
060049	1.0149140792				
060054	0.9933517578				
060064	1.0055269239				
060065	0.9953980042				
060075	1.0041968637				
060076	0.9963060260				
060096	1.0176695360				
060100	1.0041457075				
060103	1.0048339904				
060104	1.0022426984				
060112	0.9991324039				
060113	0.9972907821				
060114	1.0000532147				
060116	0.9986208423				
060117	1.0215760064				
060118	1.0148792000				
060119	1.0025087104				
060124	1.0173905024				
060125	0.9945097472				
060126	1.0296679809				
070002	1.0013321187				
070003	0.9984162176				
070004	1.0060256964				
070005	0.9917147607				
070006	0.9993881847				
070007	0.9990300915				
070008	0.9980325464				
070010	1.0048107376				
070011	0.9965234397				
070012	0.9967280643				
070016	0.9937098509				
070017	0.9997462778				
070018	1.0035829898				
070019	0.9995928093				
070020	1.0006159325				
070021	1.0037876144				
070022	1.0020483050				
070024	1.0115121946				
070025	0.9925332592				
070027	0.9967792205				
070028	0.9950910672				
070029	1.0044014883				
070031	1.0054246115				
070033	0.9937098509				
070034	0.9971884698				
070035	0.9962676589				
070036	0.9926867277				
080001	1.0012298064				
080003	1.0009842569				
080004	1.0010763379				
080006	1.0097728852				
080007	0.9988254669				
080009	1.0023143170				
090001	0.9982115930				
090003	1.0044014883				
090004	0.9913566675				
090005	1.0011786503				
090006	0.9959095658				
090008	0.9988459294				
090011	0.9894638896				
100001	0.9918170730				
100002	0.9969326890				
100006	0.9968303767				
100007	1.0057827047				
100008	0.9996439655				
100009	0.9936586947				
100012	0.9912543552				
100014	0.9915101360				
100017	0.9920216976				
100018	0.9965234397				
100019	0.9973419383				
100022	0.9924309469				
100023	0.9916124483				
100025	0.9942725687				
100026	0.9956026288				
100028	1.0057315485				
100029	0.9985696861				
100030	0.9945795056				
100032	0.9924821031				
100034	1.0043503322				
100035	0.9870595501				
100038	1.0024063981				
100039	0.9944771933				
100040	1.0049642061				
100043	1.0046572691				
100044	0.9957049411				
100045	1.0024063981				
100046	1.0006159325				
100047	0.9870083939				
100048	1.0099263536				
100049	0.9988254669				
100050	0.9900777635				
100051	0.9945795056				
100052	0.9960118781				
100053	1.0007694010				
100054	1.0078801072				
100055	1.0071025336				
100057	0.9999509024				
100062	0.9949375987				
100063	1.0044014883				
100067	1.0036853021				
100068	0.9979046560				
100069	0.9994393408				
100070	0.9948352864				
100071	0.9872641747				
100072	0.9981604368				
100073	0.9955003165				
100075	1.0019971488				
100077	0.9967280643				
100080	0.9933006016				
100081	0.9951550124				
100084	0.9923286346				
100086	1.0041968637				
100087	1.0061919539				
100088	1.0041968637				
100090	0.9997462778				
100092	0.9970350013				
100093	1.0010763379				
100099	0.9926662652				
100102	1.0055269239				
100105	0.9892592650				
100106	0.9918938072				
100107	1.0031737405				
100109	0.9959607219				
100110	1.0011786503				
100113	0.9943237248				
100117	0.9994393408				
100118	0.9980581245				
100121	0.9991835600				
100122	0.9992858723				
100124	1.0025087104				
100125	0.9956537850				
100126	0.9975465629				
100127	0.9982627491				
100128	0.9995928093				
100130	1.0012809626				
100131	0.9972396259				
100132	1.0012809626				
100135	0.9973930944				
100137	0.9948352864				
100140	1.0046061130				
100142	1.0022017735				
100150	0.9946306618				
100151	1.0117168192				
100154	1.0018948365				
100156	1.0005647763				
100157	0.9873664870				
100161	0.9962676589				
100166	1.0001555271				
100167	1.0060896416				
100168	0.9950399111				
100173	0.9956537850				
100175	0.9982243820				
100176	1.0057315485				
100177	1.0071127648				
100179	1.0024063981				
100180	0.9957049411				
100181	1.0097728852				
100183	0.9997974339				
100187	0.9942725687				
100189	1.0015367434				
100191	0.9990300915				
100200	0.9939144755				
100204	0.9948352864				
100206	1.0035113712				
100209	1.0057315485				
100211	0.9992858723				
100212	0.9909474183				
100213	0.9964722835				
100217	0.9969326890				
100220	0.9949887549				
100223	0.9952956919				
100224	1.0001043709				
100226	0.9993881847				
100228	1.0016902119				
100230	1.0064988909				
100231	0.9969326890				
100232	0.9968815328				
100234	0.9910497306				
100236	0.9968815328				
100238	0.9969326890				
100242	0.9980581245				
100243	1.0001555271				
100244	0.9979558122				
100246	0.9949887549				
100248	0.9960118781				
100249	0.9911725054				
100252	1.0055883113				
100253	1.0042480199				
100254	0.9970861575				
100255	0.9952547669				
100256	0.9930959770				
100258	0.9935563824				
100259	0.9996439655				
100260	0.9953980042				
100264	0.9968815328				
100265	0.9993370285				
100266	1.0061407978				
100267	1.0033272090				
100268	0.9978534999				
100269	0.9965745959				
100275	0.9946306618				
100276	0.9973930944				
100281	1.0024063981				
100284	0.9976488752				
100285	1.0015878995				
100286	0.9971884698				
100287	0.9938633194				
100288	0.9896378206				
100289	1.0069081402				
100290	0.9933517578				
100291	1.0042787136				
100292	1.0034704462				
100296	1.0039717766				
100299	0.9988356981				
100302	0.9964006649				
100307	1.0000020586				
100313	1.0085835044				
100314	1.0126887863				
100315	1.0067546717				
100316	1.0052199869				
100319	1.0134049725				
100320	0.9975465629				
100321	1.0121260685				
110001	1.0018436803				
110002	1.0032351279				
110003	1.0015367434				
110004	0.9961141904				
110005	1.0005136202				
110006	1.0008717133				
110007	0.9882872979				
110008	1.0013321187				
110010	1.0082382004				
110011	1.0017925242				
110015	1.0050153623				
110016	1.0073685456				
110018	0.9954286979				
110023	1.0156558436				
110024	0.9967792205				
110025	0.9996951216				
110026	1.0066651484				
110028	0.9960630343				
110029	1.0003601517				
110030	1.0068058279				
110031	0.9878780486				
110032	1.0027644912				
110034	0.9921240099				
110035	0.9955003165				
110036	0.9931982893				
110038	0.9964211274				
110039	0.9997974339				
110040	0.9886326020				
110041	0.9978407108				
110042	1.0048312001				
110043	0.9936075386				
110044	1.0068569840				
110045	1.0028284364				
110046	0.9952445357				
110051	1.0134433396				
110054	0.9962165027				
110064	0.9924309469				
110069	1.0063965786				
110071	1.0140420992				
110073	0.9992533184				
110074	1.0057315485				
110075	0.9989789354				
110076	0.9897196704				
110078	1.0032760528				
110079	0.9978023437				
110082	1.0014344311				
110083	1.0027133351				
110086	1.0170242708				
110087	0.9938633194				
110089	1.0112052576				
110091	0.9982627491				
110092	0.9995672312				
110095	1.0035829898				
110104	1.0066012032				
110105	1.0043094073				
110107	0.9896685143				
110109	1.0108855316				
110111	1.0115307968				
110115	0.9938121632				
110121	1.0078161620				
110122	0.9996951216				
110124	1.0013321187				
110125	1.0092101674				
110128	1.0034192901				
110129	0.9898219827				
110132	1.0105018604				
110135	0.9974570396				
110142	1.0170242708				
110143	0.9968303767				
110146	1.0009275200				
110150	1.0090669301				
110153	1.0101181892				
110161	1.0033783651				
110164	0.9963188151				
110165	0.9926355715				
110168	1.0108471645				
110177	0.9965745959				
110184	0.9980069683				
110187	0.9936203276				
110189	1.0043631212				
110191	0.9942214125				
110192	1.0008717133				
110194	1.0221340736				
110198	0.9954082354				
110200	1.0134840320				
110201	1.0016902119				
110215	0.9971884698				
110225	1.0134049725				
110226	0.9991324039				
110229	1.0059873293				
110230	1.0110006330				
110233	1.0023722940				
120001	1.0062431101				
120002	1.0078289511				
120004	1.0106936960				
120005	1.0064988909				
120006	1.0143257834				
120007	1.0017925242				
120011	1.0156558436				
120014	1.0125353178				
120019	1.0133538164				
120022	1.0092613236				
120026	1.0111541015				
120028	1.0118098304				
130002	1.0090055428				
130003	0.9996132718				
130006	1.0079312634				
130007	0.9969326890				
130013	1.0094454857				
130014	1.0042377886				
130018	0.9981092807				
130025	0.9978023437				
130028	1.0031225843				
130049	0.9991324039				
130063	1.0344115521				
130065	1.0012065536				
130066	1.0207389056				
140001	0.9993753956				
140002	1.0040945514				
140007	1.0016902119				
140008	0.9938121632				
140010	1.0030202720				
140011	1.0033783651				
140012	1.0067930388				
140013	0.9947841303				
140015	1.0009740256				
140018	0.9903847005				
140029	0.9958072535				
140030	1.0092613236				
140032	1.0047084253				
140034	1.0153489066				
140040	0.9998485901				
140043	0.9996951216				
140046	0.9950910672				
140048	0.9973419383				
140049	1.0042480199				
140052	1.0035318336				
140053	0.9948864426				
140054	0.9942214125				
140058	1.0048107376				
140059	0.9981604368				
140062	1.0076754826				
140063	1.0082382004				
140064	0.9972907821				
140065	1.0114610384				
140067	1.0000020586				
140068	0.9950399111				
140077	0.9942307136				
140080	0.9938121632				
140082	0.9978023437				
140083	0.9965745959				
140084	0.9957049411				
140088	1.0002066832				
140089	1.0012937516				
140091	0.9948352864				
140093	1.0023808200				
140095	1.0086986058				
140100	1.0194516306				
140101	1.0004624640				
140103	0.9991221726				
140110	0.9964211274				
140113	1.0043503322				
140114	0.9998997463				
140115	0.9937610071				
140116	1.0029179597				
140117	1.0028668035				
140118	0.9978023437				
140119	1.0091078551				
140120	0.9908706840				
140122	1.0119214439				
140124	1.0096194167				
140125	0.9931471331				
140127	1.0060384855				
140130	1.0026519477				
140133	0.9979046560				
140135	1.0033272090				
140137	0.9980325464				
140143	0.9989917244				
140145	1.0210528184				
140147	0.9993753956				
140148	0.9938121632				
140150	0.9964722835				
140155	1.0092920172				
140158	0.9989789354				
140160	0.9923797907				
140161	1.0279937793				
140162	1.0112564138				
140164	1.0074197018				
140166	1.0023347795				
140172	0.9951422234				
140174	1.0012809626				
140176	1.0007694010				
140177	1.0002578394				
140179	1.0008717133				
140180	1.0089543866				
140181	0.9973726320				
140182	0.9986719984				
140184	1.0013321187				
140185	1.0118702877				
140186	1.0015367434				
140187	0.9933517578				
140189	0.9997462778				
140191	1.0068569840				
140197	0.9900452096				
140200	1.0055780800				
140202	0.9981092807				
140206	0.9926151091				
140208	0.9963188151				
140209	1.0010763379				
140210	1.0093124797				
140211	0.9959095658				
140213	1.0095682605				
140217	0.9975056380				
140223	0.9979046560				
140224	1.0051176746				
140228	0.9965745959				
140231	1.0037876144				
140233	0.9945283495				
140234	1.0037876144				
140239	0.9922263223				
140240	0.9986003798				
140242	0.9958072535				
140250	0.9965745959				
140251	0.9933517578				
140252	0.9917659168				
140258	1.0076754826				
140275	1.0014216420				
140276	0.9995928093				
140280	1.0002578394				
140281	1.0043503322				
140286	0.9944771933				
140288	1.0032760528				
140289	0.9921853973				
140290	1.0052199869				
140291	0.9995416531				
140292	0.9984673738				
140294	0.9976488752				
140304	0.9987743107				
150001	1.0043631212				
150002	1.0072150772				
150004	0.9963188151				
150005	1.0049948998				
150007	1.0002066832				
150008	1.0069899900				
150009	0.9966257520				
150010	0.9966769082				
150011	1.0028668035				
150012	0.9904358567				
150015	0.9923797907				
150017	0.9943748810				
150018	1.0064477347				
150021	0.9972907821				
150022	1.0055141348				
150023	1.0005647763				
150024	1.0019971488				
150026	1.0049437436				
150030	1.0128934109				
150034	1.0089032304				
150035	1.0013321187				
150037	1.0068569840				
150042	1.0011786503				
150044	1.0025598666				
150045	0.9953468480				
150046	1.0006875511				
150047	0.9929936647				
150048	1.0071639210				
150051	1.0001043709				
150056	0.9946306618				
150057	1.0089032304				
150058	1.0001555271				
150059	1.0036546084				
150061	0.9943876700				
150064	1.0078161620				
150065	1.0077777949				
150069	1.0087497620				
150072	0.9880826733				
150074	1.0052711431				
150075	0.9947713412				
150082	0.9968303767				
150084	0.9930448208				
150086	0.9997053529				
150088	0.9991324039				
150089	0.9973419383				
150090	0.9992858723				
150091	1.0175997776				
150097	1.0089671756				
150100	0.9969838451				
150101	1.0168324352				
150104	0.9995672312				
150109	1.0000020586				
150112	1.0019971488				
150113	0.9998997463				
150115	1.0120237562				
150125	1.0037364583				
150126	0.9900266074				
150128	0.9951933795				
150133	0.9911264648				
150146	1.0078161620				
150149	1.0072150772				
150150	1.0055269239				
150153	1.0070104525				
150157	1.0028668035				
150158	1.0082893565				
150160	1.0285518465				
150161	1.0008717133				
150162	0.9990300915				
150165	0.9959223548				
150166	1.0020436544				
150167	1.0157163008				
150168	1.0104146624				
150169	0.9934029139				
150172	1.0048339904				
150173	0.9994393408				
150175	1.0114610384				
150177	1.0319002497				
150181	1.0012065536				
150182	1.0112517632				
160005	1.0047467924				
160008	0.9995672312				
160013	1.0010251818				
160016	1.0019050677				
160024	1.0052711431				
160028	1.0024575543				
160029	1.0175997776				
160030	1.0029179597				
160032	1.0039794500				
160033	0.9961653466				
160040	0.9867142460				
160045	1.0076754826				
160047	1.0042480199				
160057	1.0072150772				
160058	0.9953980042				
160064	0.9959607219				
160067	0.9964722835				
160069	1.0133538164				
160079	1.0085962935				
160080	0.9984162176				
160082	0.9965234397				
160083	0.9942214125				
160089	1.0018692584				
160101	0.9886500416				
160104	1.0092306299				
160110	1.0018436803				
160112	1.0120365452				
160117	1.0073173895				
160122	1.0133793944				
160124	1.0057059704				
160146	1.0004624640				
160147	1.0183671200				
160153	0.9886965472				
170006	0.9977128204				
170009	1.0116528740				
170012	0.9953980042				
170013	1.0027133351				
170014	1.0128038876				
170016	0.9920728538				
170017	1.0011019160				
170020	0.9996439655				
170023	1.0036853021				
170027	0.9982243820				
170040	1.0005136202				
170049	0.9998997463				
170058	1.0018692584				
170068	0.9998485901				
170074	1.0072406552				
170086	0.9973419383				
170094	1.0237385168				
170103	1.0095426824				
170104	1.0092613236				
170105	1.0105018604				
170109	1.0131875588				
170120	1.0014855872				
170122	0.9940679440				
170123	0.9968303767				
170133	1.0083916688				
170137	1.0093124797				
170142	0.9965745959				
170145	0.9926611496				
170146	1.0024063981				
170150	1.0056710912				
170175	1.0051944088				
170176	1.0027133351				
170182	0.9947841303				
170183	1.0249244097				
170185	1.0120237562				
170186	1.0175997776				
170187	1.0263195777				
170188	1.0215760064				
170190	1.0285518465				
170191	0.9893999444				
170196	1.0062291584				
170197	1.0060896416				
170200	0.9915101360				
170203	1.0218550400				
180001	0.9953980042				
180002	1.0216411143				
180004	0.9920856428				
180005	0.9977000314				
180009	0.9984673738				
180010	0.9922263223				
180011	1.0075936327				
180012	0.9981604368				
180013	0.9931982893				
180016	0.9915101360				
180017	0.9927071902				
180018	1.0055780800				
180019	1.0047595815				
180020	1.0099263536				
180021	1.0202854760				
180024	0.9984162176				
180025	1.0074324908				
180027	0.9971884698				
180029	0.9971884698				
180035	1.0078801072				
180036	1.0057827047				
180038	0.9925844154				
180040	0.9956537850				
180043	1.0147222436				
180044	1.0045038007				
180045	0.9963699712				
180046	1.0037178560				
180048	0.9969838451				
180049	1.0062431101				
180050	1.0064477347				
180051	1.0024268606				
180053	1.0018692584				
180056	0.9947943615				
180064	0.9959223548				
180066	1.0026366008				
180067	0.9898731389				
180069	1.0166405996				
180070	1.0108855316				
180078	1.0012298064				
180079	0.9974570396				
180080	1.0007182448				
180087	1.0029179597				
180088	0.9941191002				
180092	1.0128934109				
180093	0.9993370285				
180101	0.9967792205				
180102	0.9957560973				
180103	0.9964211274				
180104	0.9923286346				
180105	1.0014855872				
180106	0.9993753956				
180115	1.0133793944				
180116	1.0040945514				
180124	1.0031532780				
180127	0.9974749443				
180128	1.0069592964				
180130	0.9971884698				
180132	0.9967792205				
180138	1.0034039432				
180139	0.9959223548				
180141	0.9933006016				
180143	0.9991324039				
180149	1.0106936960				
190002	1.0044526445				
190004	1.0070104525				
190005	0.9900266074				
190006	1.0027133351				
190007	1.0105018604				
190008	1.0016902119				
190011	0.9920728538				
190013	1.0079312634				
190014	1.0043631212				
190015	0.9971884698				
190017	0.9970861575				
190019	0.9919193853				
190020	0.9980581245				
190026	0.9939144755				
190027	0.9950910672				
190034	1.0016390557				
190036	0.9990300915				
190039	1.0020994611				
190040	1.0053734554				
190041	0.9991835600				
190044	0.9982627491				
190045	1.0076754826				
190046	1.0037364583				
190050	1.0049386280				
190053	0.9957305192				
190054	1.0003806142				
190060	0.9982627491				
190064	0.9969326890				
190065	0.9972396259				
190079	1.0017646208				
190086	0.9906916375				
190088	1.0012937516				
190098	0.9907427936				
190099	0.9982243820				
190102	0.9966257520				
190111	0.9992347162				
190114	1.0066651484				
190116	0.9993753956				
190118	0.9964978616				
190125	1.0053222992				
190128	1.0006261637				
190144	1.0064477347				
190146	0.9999509024				
190151	0.9959223548				
190160	1.0017413680				
190164	1.0000020586				
190167	1.0051688307				
190176	1.0021506173				
190177	1.0066012032				
190183	1.0194925556				
190190	1.0279937793				
190201	1.0055098718				
190202	1.0042480199				
190204	0.9983139053				
190205	1.0018948365				
190208	1.0190647040				
190236	0.9983650615				
190242	0.9973419383				
190246	1.0098565952				
190250	1.0067035156				
190255	1.0307841153				
190259	1.0118098304				
190263	1.0112692028				
190266	1.0134840320				
190270	1.0168324352				
190274	0.9935052263				
190278	1.0106936960				
190297	1.0059501248				
190298	1.0123678976				
190303	1.0095775616				
190308	1.0005647763				
190312	0.9945795056				
200001	1.0025598666				
200008	1.0034806775				
200009	0.9962676589				
200018	1.0115249836				
200019	1.0007182448				
200020	1.0116656631				
200021	1.0047084253				
200024	0.9951422234				
200031	1.0144792519				
200033	0.9883896102				
