Tract,Heart.Diseases
12017451502,202.87
12017451601,194.81
12017451602,313.01
12017451700,322.66
12019030102,87.14
12019030103,98.94
12019030104,113.7
12019030201,41.85
12019030202,45.29
12019030203,25.07
12019030301,60.13
12019030303,84.03
12019030304,91.33
12019030400,133.93
12019030500,113.15
12019030600,192.69
12019030701,81.01
12019030702,38.11
12019030703,47.85
12019030801,102.13
12019030802,81.55
12019030902,62.93
12019030903,87.57
12019030904,87.92
12019031101,93.98
12019031104,101.96
12019031105,104.46
12019031106,122.18
12019031107,154.64
12019031108,190.14
12019031200,78.96
12019031300,67.35
12019031400,151.66
12019031500,121.23
12021000101,125
12021000102,266.27
12021000200,196.34
12021000301,120.3
12021000302,94.73
12021000401,159.51
12021000402,120.8
12021000500,76.2
12021000600,60.61
12021000700,30.14
12021010102,94.08
12021010105,175.21
12021010106,339.02
12021010107,62.67
12021010108,128.03
12021010109,80.79
12021010110,78.83
12021010205,72.6
12021010208,180.33
12021010209,97.72
12021010210,380.21
12021010211,145.01
12021010212,224.87
12021010213,170.43
12021010215,246.2
12021010300,83.08
12021010401,60.22
12021010405,105.64
12021010408,64.14
12021010410,30.92
12021010411,47.27
12021010412,86.02
12021010413,44.16
12021010414,42.73
12021010415,51.25
12021010416,89.93
12021010417,89.01
12021010418,69.36
12021010419,37.39
12021010420,26.48
12021010505,75.14
12021010506,106.82
12021010507,52.11
12021010508,248.19
12021010509,108.83
12021010510,255.75
12021010601,78.74
12021010602,91.9
12021010604,141.95
12021010605,121.62
12021010606,137.09
12021010701,108.33
12021010702,76.27
12021010801,493.7
12021010802,73.32
12021010803,129.09
12021010902,102.18
12021010903,107.79
12021010904,123.46
12021010905,131.78
12021011001,188.21
12021011002,168.33
12021011102,90.44
12021011103,103.92
12021011105,84.24
12021011106,51.07
12021011201,94.93
12021011202,41.27
12021011204,27.81
12021011205,43.2
12021011301,28.23
12021011302,20.64
12021011400,26.37
12023110201,120.68
12023110202,105.41
12023110300,71.66
12023110400,179.32
12023110500,149.09
12023110601,123.06
12023110602,86.19
12023110700,164.15
12023110800,124.57
12023110901,114.58
12023110903,86
12023110904,109.91
12027010101,140.06
12027010102,68.04
12027010200,96.17
12027010301,50.95
12027010302,167.62
12027010403,152.88
12027010404,70.34
12027010405,161.68
12027010406,96.83
12029970101,80.39
12029970102,166.05
12029970200,113.29
12031000100,160.7
12031000200,96.55
12031000300,150.2
12031000600,87.44
12031000700,80.1
12031000800,71.97
12031001000,199.19
12031001100,89.05
12031001200,93.76
12031001300,108.64
12031001400,128.4
12031001500,104.64
12031001600,143.29
12031002101,40.42
12031002102,61.39
12031002200,82.43
12031002300,168.21
12031002400,97.09
12031002501,168.94
12031002502,107.32
12031002600,136.91
12031002701,111.63
12031002702,89.8
12031002801,167.63
12031002802,122.35
12031002901,148.32
12031002902,182.66
12031010101,112.96
12031010102,64.03
12031010103,74.16
12031010201,76.64
12031010202,138.43
12031010301,84.69
12031010303,77.62
12031010304,90.26
12031010401,70.62
12031010402,73.42
12031010500,80.75
12031010600,103.63
12031010700,144.02
12031010800,147.5
12031010900,109.02
12031011000,114.83
12031011100,101.98
12031011200,191.32
12031011300,105.33
12031011400,209.85
12031011500,125.24
12031011600,181.54
12031011700,115.78
12031011800,136.8
12031011901,108.49
12031011902,71.08
12031011903,67.63
12031012000,143.66
12031012100,163.93
12031012200,94.99
12031012300,99.59
12031012400,129.6
12031012500,122.51
12031012601,99.63
12031012602,115.4
12031012702,67.46
12031012703,111.78
12031012704,62.13
12031012800,93.32
12031012900,99.45
12031013000,89.39
12031013100,126.11
12031013200,13.6
12031013300,61.64
12031013402,95.11
12031013403,83.15
12031013404,103.35
12031013502,72.81
12031013503,69.01
12031013504,80.71
12031013521,78.77
12031013522,68.41
12031013721,39.61
12031013723,56.71
12031013726,70.7
12031013727,62.74
12031013800,16.92
12031013901,34.85
12031013902,65.31
12031013904,64.32
12031013905,42.47
12031013906,156.03
12031014001,92.95
12031014002,103.99
12031014101,92.45
12031014102,72.41
12031014202,64.94
12031014203,98.08
12031014204,98.17
12031014311,75.64
12031014312,45.89
12031014326,54.04
12031014328,51.5
12031014329,66.23
12031014330,61.62
12031014331,63.76
12031014332,52.57
12031014333,59
12031014334,43.04
12031014335,48.45
12031014336,47.85
12031014337,37.86
12031014338,79.47
12031014401,40.7
12031014404,22.98
12031014406,52.14
12031014408,117.04
12031014409,38.12
12031014410,147.91
12031014411,34.64
12031014412,42.54
12031014413,62.93
12031014500,67.3
12031014601,90.01
12031014603,94.11
12031014604,124.39
12031014701,48.07
12031014702,84.03
12031014800,90.43
12031014901,69.08
12031014902,77.16
12031015001,109.26
12031015002,91.52
12031015100,108.92
12031015200,84.99
12031015300,89.29
12031015400,105.49
12031015501,85.34
12031015502,105.65
12031015600,102.26
12031015700,112.08
12031015801,119.79
12031015802,62.1
12031015922,56.78
12031015923,42.59
12031015924,130.8
12031015925,21.5
12031015926,162.56
12031016000,130.16
12031016100,111
12031016200,163.38
12031016300,118.61
12031016400,110.04
12031016500,122
12031016601,196.97
12031016603,94.02
12031016604,106.34
12031016711,121.01
12031016722,83.52
12031016724,97.11
12031016725,52.67
12031016726,75.85
12031016727,261.83
12031016728,57.32
12031016729,68.68
12031016801,100.33
12031016803,84.02
12031016804,75.5
12031016805,76.47
12031016806,50.39
12031016807,52.18
12031016808,98.17
12031017100,126.31
12031017200,116.5
12031017300,84.63
12031017400,145.78
12033000100,261.89
12033000300,116.38
12033000400,220.81
12033000500,109.29
12033000600,165.34
12033000800,113.16
12033000900,107.61
12033001001,111.54
12033001002,108.9
12033001101,140.12
12033001103,85.11
12033001104,139.93
12033001201,137.36
12033001202,101.55
12033001300,134.24
12033001401,8.97
12033001402,94.84
12033001500,155.04
12033001600,94.49
12033001700,148.49
12033001800,137.56
12033001900,124.81
12033002000,149.18
12033002100,151.44
12033002200,95.29
12033002300,167.47
12033002400,3.18
12033002500,58.56
12033002601,55.37
12033002602,97.56
12033002603,61.78
12033002604,89.79
12033002605,44.02
12033002701,61.69
12033002703,136.99
12033002704,83.13
12033002801,153.28
12033002802,121.45
12033002803,112.99
12033002804,18.6
12033002900,126.95
12033003000,115.88
12033003100,121.51
12033003201,154.33
12033003203,220.84
12033003204,64.04
12033003301,88.58
12033003305,72.71
12033003306,106.31
12033003307,77.17
12033003308,97.16
12033003309,135.26
12033003400,133.77
12033003503,113.92
12033003505,87.03
12033003506,72.67
12033003507,136.09
12033003508,87.11
12033003603,77.16
12033003607,247.56
12033003608,93.33
12033003609,108.91
12033003610,88.95
12033003611,121.93
12033003612,88.31
12033003613,100.68
12033003614,80.22
12033003700,96.89
12033003800,127.99
12033003900,179.64
12033004000,206.21
12035060103,270.39
12035060104,120.83
12035060105,165.17
12035060106,173.6
12035060107,152.64
12035060204,79.98
12035060205,133.38
12035060206,136.93
12035060207,143.43
12035060208,68.88
12035060209,120.4
12035060210,138.7
12035060211,139.45
12035060212,99.06
12035060213,157.21
12035060214,95
12035060301,128.06
12035060302,151.47
12035060303,168.79
12035060304,201.41
12037970100,78.59
12037970200,103.96
12037970302,110.74
12037970304,89.64
12039020101,146.23
12039020102,127.28
12039020300,125.8
12039020400,92.71
12039020500,103.31
12039020600,60.02
12039020701,66.99
12039020702,105.95
12039020800,101.25
12041950100,121
12041950201,92.82
12041950202,88.31
12041950203,108.92
12041950204,82.5
12043000100,193.78
12043000200,92.67
12043000300,68.77
12045960100,90.46
12045960200,138.89
12045960300,144.66
12047960100,97.06
12047960200,144.89
12047960300,215.33
12049970101,84.43
12049970102,113.77
12049970201,63.29
12049970202,113.64
12049970300,63.91
12049970400,99.92
12051000100,89.87
12051000200,66.08
12051000300,61.56
12051000401,87.06
12051000402,108.95
12051000600,79.08
12053040101,133.93
12053040102,144.23
12053040201,129.25
12053040202,134.89
12053040301,107.98
12053040302,115.62
12053040303,109.4
12053040400,278.93
12053040501,225.85
12053040502,221.21
12053040601,162.23
12053040602,99.29
12053040701,85.46
12053040702,95.87
12053040801,235.23
12053040802,242.13
12053040901,156.95
12053040905,171.26
12053040906,103.06
12053040907,129.06
12053040908,101.28
12053040909,132.25
12053040910,110.01
12053040911,63.22
12053041003,219.81
12053041004,101.85
12053041005,115.24
12053041006,107.1
12053041103,128.81
12053041104,139.04
12053041105,130.44
12053041106,120.98
12053041201,123.49
12053041203,194.54
12053041204,176.13
12053041302,89.39
12053041303,283.98
12053041304,385.31
12053041305,263.16
12053041401,147.7
12053041402,149.77
12053041501,119.57
12053041502,198.85
12053041600,149.63
12055960101,131.9
12055960102,225.51
12055960103,150.53
12055960200,187.28
12055960300,93.23
12055960400,123.54
12055960501,196.97
12055960502,230.46
12055960601,159.97
12055960602,181.62
12055960700,175.26
12055960800,128.62
12055960900,173.64
12055961000,152.78
12055961100,300.29
12055961200,150.51
12055961301,172.71
12055961302,169.86
12055961400,248.01
12055961500,254.61
12055961601,114.29
12055961602,127.97
12055961603,130.24
12055961700,237.32
12057000101,34.56
12057000102,87.28
12057000201,114.56
12057000202,64.32
12057000300,81.19
12057000401,109.38
12057000402,112.72
12057000500,156.12
12057000601,54.17
12057000602,66.82
12057000700,115.49
12057000800,87.85
12057000901,46.68
12057000902,91.08
12057001001,89.45
12057001002,117.23
12057001100,84.81
12057001200,105.55
12057001300,120.11
12057001400,121.98
12057001500,60.98
12057001600,104.28
12057001700,104.12
12057001800,163.56
12057001900,100.64
12057002000,136.85
12057002100,70.23
12057002200,71.39
12057002300,80.25
12057002400,130.99
12057002500,119.11
12057002600,118.86
12057002700,159.19
12057002800,103.09
12057002900,98.68
12057003000,133.53
12057003100,79.91
12057003200,113.33
12057003300,126.64
12057003400,109.12
12057003500,181.61
12057003600,92.04
12057003700,83.33
12057003800,127.95
12057003900,114.19
12057004000,272.87
12057004100,219.16
12057004200,126.48
12057004300,73.21
12057004400,107.43
12057004500,128.27
12057004600,81.65
12057004700,120.7
12057004800,135.94
12057004900,58.18
12057005000,67.08
12057005101,110.65
12057005102,26.93
12057005301,6.45
12057005302,71.68
12057005401,87.87
12057005500,112.83
12057005700,90.66
12057005800,93.73
12057005900,57.52
12057006000,40.43
12057006101,42.51
12057006103,190.58
12057006200,66.97
12057006300,45.31
12057006400,75.21
12057006501,137.31
12057006502,120.71
12057006600,135.8
12057006700,69.72
12057006801,111.21
12057006802,180.52
12057006900,86.45
12057007001,128.55
12057007002,50.25
12057007102,30.9
12057007103,85.96
12057007200,74.16
12057007300,0
12057010103,111.98
12057010105,80.84
12057010106,105.44
12057010107,193.74
12057010108,92.93
12057010203,115.74
12057010204,59.71
12057010205,40.94
12057010209,27.11
12057010210,32.84
12057010211,43.75
12057010212,24.47
12057010213,114.75
12057010214,98.04
12057010303,84.13
12057010304,114.1
12057010305,72.43
12057010401,51.14
12057010402,41.85
12057010501,78.37
12057010502,56.66
12057010600,92.95
12057010701,59.03
12057010702,109.58
12057010805,64.64
12057010808,90.17
12057010809,40.51
12057010810,37.74
12057010811,46.93
12057010812,35.81
12057010813,174.22
12057010814,237.12
12057010815,101.6
12057010816,184.45
12057010817,114.94
12057010818,87.46
12057010900,0
12057011003,114.64
12057011005,51.85
12057011006,70.18
12057011007,141.58
12057011008,34.89
12057011010,55.11
12057011012,32.84
12057011013,12.73
12057011014,31.23
12057011015,33.69
12057011016,27.19
12057011103,75.63
12057011106,51.31
12057011107,64.25
12057011108,315.5
12057011109,80.65
12057011203,45.96
12057011204,165
12057011205,113.26
12057011206,243.81
12057011301,102.16
12057011303,97.91
12057011304,67.65
12057011407,95.72
12057011408,28.13
12057011409,59.73
12057011410,51.43
12057011411,57.14
12057011412,110.16
12057011413,81.75
12057011414,57.94
12057011415,61.13
12057011416,45.07
12057011417,60.57
12057011418,145.51
12057011504,110.14
12057011506,32.15
12057011507,102.24
12057011509,48.24
12057011510,45.35
12057011512,57.83
12057011514,59.3
12057011515,66.07
12057011516,95.1
12057011517,43.8
12057011518,82.81
12057011519,29.95
12057011520,34.38
12057011521,59.9
12057011522,53.54
12057011523,72.99
12057011524,96.94
12057011603,62.85
12057011605,89.5
12057011606,52.85
12057011607,90.94
12057011608,64.29
12057011610,208.33
12057011611,56.29
12057011612,82.03
12057011613,121.63
12057011614,55.17
12057011615,61.77
12057011706,63.62
12057011708,42.75
12057011709,36.36
12057011710,44.61
12057011712,49.34
12057011802,122.32
12057011803,50.71
12057011804,82.54
12057011901,48.48
12057011902,82.34
12057011904,48.78
12057011905,109.02
12057011906,83.54
12057012001,129.06
12057012002,72.96
12057012103,57.2
12057012104,84.5
12057012106,67.61
12057012107,60.59
12057012108,80.18
12057012206,53.42
12057012207,66.77
12057012208,60.5
12057012209,45.59
12057012210,120.59
12057012211,7.55
12057012212,36.35
12057012213,90.27
12057012301,105.26
12057012303,110.07
12057012304,59.74
12057012401,75.05
12057012402,70.19
12057012403,54.33
12057012501,105.31
12057012503,86.96
12057012504,58.5
12057012600,94.03
12057012701,78.14
12057012702,111.5
12057012800,104.74
12057012900,62.73
12057013001,89.31
12057013002,68.45
12057013003,73.62
12057013004,52.51
12057013100,97.59
12057013203,84.99
12057013204,192.13
12057013205,71.14
12057013206,59.8
12057013207,64.25
12057013208,59.43
12057013305,78.26
12057013307,150.24
12057013310,34.01
12057013311,97.18
12057013312,101.62
12057013313,103.7
12057013314,71.38
12057013315,27.08
12057013316,28.2
12057013317,0
12057013318,30.09
12057013319,23.23
12057013320,38.72
12057013321,61.18
12057013322,51.62
12057013406,147.49
12057013407,70.44
12057013409,65.16
12057013410,42.07
12057013411,148.56
12057013412,61.49
12057013413,60.27
12057013414,82.52
12057013415,61.68
12057013501,95.79
12057013503,93.51
12057013504,94.98
12057013505,98.87
12057013602,79.56
12057013604,74.07
12057013702,55.11
12057013703,61.4
12057013704,47.63
12057013801,122.39
12057013802,114.24
12057013803,142.49
12057013804,32.68
12057013806,89.84
12057013807,34.77
12057013903,109.32
12057013907,121.33
12057013908,89.35
12057013912,101.86
12057013913,65.48
12057013914,74.13
12057013915,29.39
12057013916,24.6
12057013917,25.11
12057013918,105.87
12057013919,49.61
12057013920,35.38
12057013921,47.43
12057013922,21.29
12057013923,24.18
12057014002,82.36
12057014003,132.54
12057014007,29.51
12057014008,525.22
12057014009,1026.44
12057014010,433.1
12057014011,434.54
12057014012,345.18
12057014013,115.66
12057014014,1115.28
12057014015,299.51
12057014016,253.3
12057014104,202.2
12057014106,163.88
12057014108,79.55
12057014109,61.32
12057014117,138.42
12057014118,100.32
12057014119,37.72
12057014121,59.8
12057014122,50.34
12057980300,200
12057980400,119.05
12057980500,526.32
12059960100,131.94
12059960200,185.22
12059960300,164.82
12059960400,177.5
12061050100,160.82
12061050200,135.67
12061050301,431.93
12061050302,124.08
12061050401,128.1
12061050402,178.24
12061050501,173.2
12061050503,138.11
12061050504,181.55
12061050505,144.18
12061050601,282.51
12061050602,99.87
12061050603,113.16
12061050604,245
12061050605,330.86
12061050606,61.57
12061050702,83.78
12061050703,87.94
12061050704,317.93
12061050705,289.33
12061050802,156.11
12061050804,129.15
12061050805,173.29
12061050806,147.84
12061050807,147.74
12061050808,171.83
12061050902,246.41
12061050903,91.53
12061050904,41.66
12063210100,96.56
12063210200,127.84
12063210300,123.64
12063210400,169.39
12063210500,119.53
12063210600,129.49
12063210700,145.38
12063210800,126.48
12063210900,101.19
12063211000,164.25
12063211100,137.32
12065250101,85.64
12065250102,144.37
12065250200,126.85
12067960100,24.87
12067960200,107.34
12069030102,163.1
12069030104,390.67
12069030105,105.22
12069030106,181.03
12069030107,118.44
12069030108,88.29
12069030203,105.64
12069030204,113.26
12069030206,140.33
12069030207,166.03
12069030208,86.86
12069030209,257.21
12069030302,160.46
12069030305,146.45
12069030306,245.96
12069030307,195.11
12069030308,191.63
12069030405,110.68
12069030406,180.07
12069030407,119.73
12069030408,372.74
12069030409,444.73
12069030410,127.26
12069030411,177.03
12069030502,153.98
12069030503,112.06
12069030504,145.83
12069030601,238.15
12069030602,154.59
12069030701,539.67
12069030702,69.38
12069030803,215.89
12069030804,313.48
12069030805,133.3
12069030806,211.56
12069030807,174.05
12069030902,65.66
12069030912,131.96
12069030913,531.52
12069030914,99.4
12069031000,105.69
12069031101,232.23
12069031102,229.32
12069031103,95.34
12069031202,102.1
12069031203,102.79
