Tract,County,Acute.Bronchitis...Bronchiolitis,Alzheimers.Disease,Anemias,Aortic.Aneurysm...Dissection,Appendix.Diseases,Atherosclerosis,Cerebrovascular.Diseases,Cholelithiasis...Other.Gallbladder.Disorders,Chronic.Liver.Disease...Cirrhosis,Chronic.Lower.Respiratory.Disease,Congenital.Malformations,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Female.Pelvic.Organs.Inflammatory.Diseases,Heart.Diseases,Hernia,Homicide,Hyperplasia.of.Prostate,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Influenza...Pneumonia,Kidney.Infections,Legal.Intervention,Malaria,Malignant.Neoplasm.or.Cancer,Medical...Surgical.Care.Complications,Meningitis,Meningococcal.Infection,Nephritis..Nephrotic.Syndrome..Nephrosis,Nutritional.Deficiencies,Other.Non.rankable.Cause.of.Death,Parkinsons.Disease,Peptic.Ulcer,Perinatal.Period.Conditions,Pneumoconiosis...Chemical.Effects,Pneumonitis.Due.To.Solids...Liquids,Pregnancy..Childbirth.and.the.Puerperium,Salmonella.Infections,Septicemia,Syphilis,Tuberculosis,Unintentional.Injury,Viral.Hepatitis
12001001517,Alachua,0,1.84,0,0,0,0,7.36,0,5.52,7.36,0,7.36,1.84,0,23.92,0,1.84,0,0,3.68,0,0,0,34.96,0,0,0,3.68,0,44.16,0,0,5.52,0,3.68,0,0,1.84,0,0,16.56,1.84
12001001519,Alachua,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,7.29,0,0,0,0,0,0,0,0,10.94,0,0,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0,7.29,0
12001001520,Alachua,0,0,0,0,0,0,17.53,0,4.38,13.15,4.38,13.15,13.15,0,35.06,0,4.38,4.38,0,0,0,0,0,21.91,0,0,0,0,0,70.11,13.15,0,13.15,0,0,0,0,8.76,0,0,13.15,4.38
12001001521,Alachua,0,2.26,0,0,0,0,6.77,0,2.26,0,4.51,11.28,0,0,27.08,0,0,0,0,0,0,0,0,38.37,0,0,0,2.26,0,15.8,0,0,2.26,0,0,0,0,2.26,0,0,6.77,0
12001001603,Alachua,0,13.4,0,6.7,0,0,13.4,0,6.7,0,0,13.4,20.09,0,46.89,0,0,0,0,0,0,0,0,100.47,6.7,0,0,6.7,0,46.89,0,0,0,0,0,0,0,0,0,0,13.4,0
12001001604,Alachua,0,6.22,1.24,0,0,0,13.68,0,4.97,13.68,0,11.19,2.49,0,57.2,1.24,0,0,2.49,3.73,0,0,0,47.25,0,0,0,2.49,0,63.42,2.49,0,2.49,0,1.24,0,0,1.24,0,0,17.41,1.24
12001001701,Alachua,0,26.92,0,1.68,0,0,45.42,0,3.36,18.51,5.05,11.78,13.46,0,171.6,0,0,0,3.36,5.05,0,0,0,129.54,1.68,0,0,10.09,0,180.01,16.82,0,1.68,0,1.68,0,0,5.05,0,0,37.01,1.68
12001001702,Alachua,0,13.35,0,0,0,0,40.05,0,3.81,15.26,3.81,15.26,3.81,0,83.91,0,0,0,3.81,13.35,0,0,0,110.6,1.91,0,0,7.63,1.91,106.79,15.26,0,3.81,0,1.91,0,0,7.63,0,0,26.7,1.91
12001001801,Alachua,0,3.89,1.3,0,0,0,19.44,0,6.48,16.84,5.18,15.55,6.48,0,75.15,0,0,0,3.89,5.18,0,0,0,95.88,1.3,0,0,7.77,1.3,98.47,2.59,0,2.59,0,2.59,0,0,5.18,0,0,27.21,0
12001001802,Alachua,0,8.02,0,4.01,0,0,28.08,0,20.06,40.11,8.02,24.07,16.04,0,120.34,0,0,0,4.01,4.01,0,0,0,124.35,4.01,0,0,0,0,84.24,0,4.01,4.01,0,4.01,0,0,4.01,0,0,48.13,4.01
