State,Tract,Acute Bronchitis & Bronchiolitis,Alzheimers Disease,Anemias,Aortic Aneurysm & Dissection,Appendix Diseases,Atherosclerosis,Cerebrovascular Diseases,Cholelithiasis & Other Gallbladder Disorders,Chronic Liver Disease & Cirrhosis,Chronic Lower Respiratory Disease,Congenital Malformations,Diabetes Mellitus,Essen Hypertension & Hypertensive Renal Dis,Female Pelvic Organs-Inflammatory Diseases,Heart Diseases,Hernia,Homicide,Hyperplasia of Prostate,"In Situ, Benign, Uncertain and Unknown Behavior Neoplasms",Influenza & Pneumonia,Kidney Infections,Legal Intervention,Malaria,Malignant Neoplasm or Cancer,Medical & Surgical Care Complications,Meningitis,Meningococcal Infection,"Nephritis, Nephrotic Syndrome, Nephrosis",Nutritional Deficiencies,Other Non-rankable Cause of Death,Parkinsons Disease,Peptic Ulcer,Perinatal Period Conditions,Pneumoconiosis & Chemical Effects,Pneumonitis Due To Solids & Liquids,"Pregnancy, Childbirth and the Puerperium",Salmonella Infections,Septicemia,Syphilis,Tuberculosis,Unintentional Injury,Viral Hepatitis
FL,12001001702,0,7,0,0,0,0,21,0,2,8,2,8,2,0,44,0,0,0,2,7,0,0,0,58,1,0,0,4,1,56,8,0,2,0,1,0,0,4,0,0,14,1
FL,12001001801,0,3,1,0,0,0,15,0,5,13,4,12,5,0,58,0,0,0,3,4,0,0,0,74,1,0,0,6,1,76,2,0,2,0,2,0,0,4,0,0,21,0
FL,12001001802,0,2,0,1,0,0,7,0,5,10,2,6,4,0,30,0,0,0,1,1,0,0,0,31,1,0,0,0,0,21,0,1,1,0,1,0,0,1,0,0,12,1
FL,12001001803,0,2,0,1,0,0,14,1,6,15,0,10,10,0,59,0,1,0,1,1,0,0,0,74,1,0,0,2,1,61,3,1,0,1,2,1,0,2,0,0,18,1
FL,12001001805,0,2,0,0,0,0,1,0,1,4,1,3,0,0,3,0,0,0,1,0,0,0,0,15,0,0,0,2,0,16,2,1,0,0,0,0,0,2,0,0,2,0
FL,12001001806,0,12,1,3,0,0,25,1,5,24,2,14,6,0,66,1,1,0,0,4,0,0,0,85,0,0,0,7,0,79,5,0,1,0,4,0,0,2,0,0,25,3
FL,12001001811,0,6,0,1,0,0,11,0,1,10,2,5,3,0,35,0,1,0,4,0,0,0,0,43,0,0,0,0,0,51,6,0,0,0,1,1,0,3,0,0,12,0
FL,12001001813,0,5,0,0,0,0,8,0,0,6,1,3,0,0,22,0,0,0,0,2,0,0,0,25,0,0,0,3,0,16,2,0,0,0,0,0,0,1,0,0,7,1
FL,12001001814,0,2,0,0,0,0,2,0,2,5,1,2,0,0,18,0,0,0,0,1,0,0,0,23,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,2,0
FL,12001001902,0,1,1,3,0,0,10,0,4,11,5,8,4,0,20,0,1,0,0,4,0,0,0,24,1,0,0,4,0,30,1,1,1,0,5,0,0,4,0,0,8,0
FL,12001001907,0,2,0,2,0,1,7,0,0,8,0,3,3,0,27,0,0,0,0,1,0,0,0,35,0,0,0,1,0,34,1,0,0,0,0,0,0,3,0,0,12,0
FL,12001001908,0,6,0,1,0,0,12,0,2,18,1,13,2,0,48,0,1,0,0,4,0,0,0,67,1,0,0,7,0,50,3,0,2,0,1,0,0,3,0,0,12,1
FL,12001002000,0,6,1,2,0,0,11,0,3,21,1,11,7,0,63,0,4,0,3,4,0,0,0,96,1,0,0,5,0,56,2,0,0,0,1,0,0,4,0,1,22,0
FL,12001002101,0,1,1,1,0,0,6,0,0,7,0,1,0,0,26,0,0,0,0,1,0,0,0,22,0,0,0,0,0,17,1,0,0,0,0,0,0,2,0,0,7,1
FL,12001002102,0,1,0,0,0,0,4,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,23,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,6,0
FL,12001002201,0,4,1,2,0,0,7,0,3,13,0,2,7,0,28,0,0,0,0,2,0,0,0,53,0,0,0,6,0,37,6,0,0,0,0,0,0,0,0,0,8,1
FL,12001002202,0,5,0,0,0,1,13,0,5,10,0,10,4,0,38,0,0,0,3,2,0,0,0,59,1,0,0,4,0,40,4,1,1,0,1,0,0,1,0,0,13,0
FL,12001002204,0,15,0,0,0,0,18,1,4,11,1,13,1,0,74,0,0,0,0,1,0,0,0,83,0,0,0,4,0,94,6,1,2,0,2,0,0,3,0,0,19,0
FL,12001002205,0,12,1,1,0,0,18,1,6,12,0,8,1,0,46,0,2,0,3,2,0,0,0,79,0,0,0,4,0,53,4,1,1,0,2,0,0,0,0,0,13,0
FL,12001002207,0,8,0,0,0,0,12,0,2,6,1,3,0,0,19,0,0,0,0,0,0,0,0,36,0,0,1,0,0,29,5,0,0,0,0,0,0,0,0,0,9,1
FL,12001002208,0,3,0,0,0,0,4,1,2,9,0,1,1,0,15,0,1,0,0,1,0,0,0,17,1,0,0,0,1,15,2,0,0,0,1,0,0,1,0,0,1,0
FL,12001002209,0,6,1,1,1,0,15,0,6,18,1,9,4,0,46,0,0,0,3,3,0,0,0,70,0,0,0,1,1,53,5,0,4,0,2,0,0,0,0,0,11,2
