GEOID,Diabetes.Mellitus,College.Educated
12021010506,5.34,18.80
12021010507,4.74,30.20
12021010508,12.93,28.80
12021010509,8.92,37.20
12021010510,29.14,28.00
12021010601,14.32,15.70
12021010602,8.62,30.40
12021010604,9.06,21.70
12021010605,15.20,21.10
12021010606,15.23,42.60
12021010701,7.22,24.10
12021010702,9.15,29.10
12021010801,23.63,35.90
12021010802,13.09,28.30
12021010803,9.22,30.20
12021010902,8.29,30.00
12021010903,3.72,44.70
12021010904,11.76,50.20
12021010905,9.19,39.90
12021011001,12.55,57.70
12021011002,0.00,59.50
12021011102,10.77,28.80
12021011103,27.98,10.00
12021011105,7.02,31.30
12021011106,12.02,33.80
12021011201,8.63,52.70
12021011202,4.32,31.00
12021011204,11.59,0.50
12021011205,10.80,4.40
12021011301,8.92,8.30
12021011302,8.85,3.50
12021011400,13.18,10.10
12023110201,32.49,25.30
12023110202,21.08,11.20
12023110300,10.86,7.10
12023110400,28.13,16.90
12023110500,29.26,24.40
12023110601,23.22,20.40
12023110602,12.31,16.20
12023110700,30.64,19.70
12023110800,23.47,13.20
12023110901,21.15,17.00
12023110903,19.66,14.20
12023110904,18.60,14.30
12027010101,16.90,15.80
12027010102,4.39,9.20
12027010200,22.19,10.20
12027010301,13.41,5.40
12027010302,30.88,7.70
12027010403,14.99,21.30
12027010404,16.88,5.40
12027010405,32.34,25.40
12027010406,29.59,12.70
12029970101,13.73,6.70
12029970102,24.33,9.90
12029970200,16.52,10.90
12031000100,17.47,10.00
12031000200,29.71,6.40
12031000300,31.86,4.90
12031000600,23.54,21.50
12031000700,7.51,60.10
12031000800,3.60,54.40
12031001000,36.22,6.60
12031001100,26.19,31.00
12031001200,32.82,27.80
12031001300,21.20,11.10
12031001400,30.21,13.00
12031001500,16.65,8.10
12031001600,60.33,4.10
12031002101,3.37,44.30
12031002102,7.22,60.90
12031002200,18.84,56.90
12031002300,29.00,47.80
12031002400,5.39,56.10
12031002501,19.07,16.20
12031002502,24.15,24.00
12031002600,29.13,5.60
12031002701,13.61,7.00
12031002702,21.13,5.00
12031002801,30.09,9.30
12031002802,23.08,7.40
12031002901,34.23,9.40
12031002902,21.67,10.40
12031010101,13.03,21.70
12031010102,5.91,28.90
12031010103,9.47,28.80
12031010201,10.81,16.90
12031010202,15.05,13.80
12031010301,16.13,21.50
12031010303,6.69,16.90
12031010304,16.76,28.10
12031010401,8.47,10.90
12031010402,16.58,11.90
12031010500,14.79,17.00
12031010600,22.45,11.40
12031010700,35.08,18.20
12031010800,39.21,12.60
12031010900,29.46,20.30
12031011000,31.10,11.00
12031011100,18.00,14.80
12031011200,36.79,18.70
12031011300,18.06,10.30
12031011400,36.50,16.60
12031011500,23.35,6.90
12031011600,15.34,10.90
12031011700,36.39,9.80
12031011800,20.52,5.30
12031011901,17.41,16.80
12031011902,17.99,19.20
12031011903,9.66,14.00
12031012000,18.74,7.10
12031012100,22.61,14.20
12031012200,14.93,6.70
12031012300,11.07,16.40
12031012400,17.51,16.70
12031012500,31.23,10.00
12031012601,11.07,8.20
12031012602,3.61,12.00
12031012702,10.94,10.90
12031012703,17.74,15.20
12031012704,15.98,17.20
12031012800,30.19,19.00
12031012900,27.43,13.70
12031013000,8.13,56.50
12031013100,9.34,48.20
12031013200,0.00,17.90
12031013300,19.67,15.50
12031013402,11.65,17.80
12031013403,6.40,17.50
12031013404,6.26,21.00
12031013502,11.20,15.90
12031013503,14.24,17.40
12031013504,16.14,15.50
12031013521,16.94,22.70
12031013522,7.60,22.80
12031013721,7.20,17.90
12031013723,8.10,21.30
12031013726,14.14,20.80
12031013727,10.24,29.40
12031013800,2.82,18.50
12031013901,3.32,12.60
12031013902,7.46,28.10
12031013904,4.76,10.80
12031013905,2.36,69.70
12031013906,27.95,54.10
12031014001,4.32,50.70
12031014002,12.48,49.30
12031014101,6.45,39.40
12031014102,13.41,48.90
12031014202,13.43,42.10
12031014203,4.17,61.00
12031014204,9.62,55.80
12031014311,19.39,13.10
12031014312,4.17,35.40
12031014326,6.93,44.20
12031014328,4.29,33.00
12031014329,6.31,30.50
12031014330,4.25,42.60
12031014331,10.28,33.00
12031014332,5.01,42.40
12031014333,8.85,33.10
12031014334,9.78,34.80
12031014335,5.91,34.40
12031014336,4.35,33.20
12031014337,4.85,29.60
12031014338,13.25,17.70
12031014401,4.91,36.90
12031014404,1.15,45.60
12031014406,4.01,63.30
12031014408,7.32,46.60
12031014409,4.43,51.70
12031014410,8.07,51.80
12031014411,1.24,53.10
12031014412,6.50,56.00
12031014413,1.91,56.70
12031014500,17.45,21.70
12031014601,10.39,36.50
12031014603,14.32,22.70
12031014604,26.51,30.40
12031014701,4.93,22.70
12031014702,6.72,36.50
12031014800,12.62,17.80
12031014901,16.85,20.30
12031014902,11.87,27.80
12031015001,1.85,16.10
12031015002,7.23,24.60
12031015100,18.54,12.00
12031015200,9.44,12.00
12031015300,19.84,18.60
12031015400,12.66,20.10
12031015501,18.29,12.90
12031015502,14.22,8.80
12031015600,24.35,36.50
12031015700,17.39,12.00
12031015801,10.61,23.40
12031015802,13.21,30.10
12031015922,9.46,38.70
12031015923,5.07,53.10
12031015924,9.91,29.60
12031015925,0.00,27.20
12031015926,13.14,38.90
12031016000,14.32,17.10
12031016100,6.38,17.80
12031016200,9.61,10.20
12031016300,40.90,13.30
12031016400,6.67,47.80
12031016500,5.90,48.00
12031016601,13.94,21.10
12031016603,18.20,39.00
12031016604,6.38,32.90
12031016711,7.26,60.40
12031016722,14.58,37.10
12031016724,22.41,29.10
12031016725,10.03,29.00
12031016726,2.45,30.30
12031016727,18.93,26.30
12031016728,10.62,41.80
12031016729,6.11,26.30
12031016801,16.72,44.90
12031016803,7.64,36.10
12031016804,9.27,54.70
12031016805,7.78,45.20
12031016806,5.11,37.80
12031016807,4.74,34.80
12031016808,19.09,27.40
12031017100,16.84,47.40
12031017200,19.42,45.20
12031017300,17.46,16.70
12031017400,35.46,5.80
12033000100,62.03,32.70
12033000300,25.86,14.00
12033000400,33.27,8.10
12033000500,7.81,51.20
12033000600,18.37,18.50
12033000800,11.09,48.30
12033000900,15.94,56.10
12033001001,5.23,50.00
12033001002,21.78,42.00
12033001101,14.75,47.20
12033001103,0.00,51.30
12033001104,5.89,34.10
12033001201,20.81,31.20
12033001202,16.58,19.70
12033001300,32.06,17.90
12033001401,3.59,51.10
12033001402,18.44,17.80
12033001500,21.14,9.80
12033001600,18.90,2.40
12033001700,29.70,4.50
12033001800,12.51,9.90
12033001900,24.96,7.90
12033002000,41.15,8.40
12033002100,27.96,15.60
12033002200,14.01,13.70
12033002300,25.24,25.40
12033002400,0.00,37.70
12033002500,0.00,55.70
12033002601,9.23,35.60
12033002602,27.87,51.70
12033002603,9.15,40.80
12033002604,11.22,33.40
12033002605,10.57,23.00
12033002701,12.34,29.20
12033002703,33.21,8.70
12033002704,14.78,20.10
12033002801,29.99,16.40
12033002802,18.53,22.00
12033002803,12.55,8.60
12033002804,7.97,23.70
12033002900,31.18,8.30
12033003000,23.86,15.30
12033003100,25.58,13.20
12033003201,23.26,31.10
12033003203,36.14,13.60
12033003204,19.21,26.80
12033003301,6.99,28.50
12033003305,11.48,26.70
12033003306,15.43,17.00
12033003307,12.19,11.70
12033003308,7.67,24.50
12033003309,26.13,24.70
12033003400,19.39,20.20
12033003503,13.72,33.90
12033003505,10.61,27.00
12033003506,3.82,29.00
12033003507,12.50,32.50
12033003508,16.08,20.60
12033003603,7.35,28.60
12033003607,9.17,28.10
12033003608,12.28,38.40
12033003609,8.38,23.20
12033003610,7.41,37.00
12033003611,15.48,29.60
12033003612,4.21,37.40
12033003613,19.05,19.90
12033003614,15.14,17.60
12033003700,2.55,20.70
12033003800,21.73,18.50
12033003900,17.47,16.60
12033004000,6.65,4.50
12035060103,18.33,25.80
12035060104,22.38,18.40
12035060105,12.14,38.00
12035060106,7.23,41.50
12035060107,23.48,18.80
12035060204,11.07,21.10
12035060205,20.33,18.50
12035060206,26.97,8.60
12035060207,24.86,25.80
12035060208,14.35,15.10
12035060209,12.18,22.90
12035060210,20.46,19.30
12035060211,28.19,22.00
12035060212,25.18,18.60
12035060213,16.21,12.70
12035060214,9.87,20.60
12035060301,10.98,31.70
12035060302,11.02,34.20
12035060303,3.75,54.80
12035060304,17.67,33.60
12037970100,28.58,12.80
12037970200,16.77,14.90
12037970302,14.77,9.60
12037970304,16.81,44.80
12039020101,23.58,23.50
12039020102,18.45,15.70
12039020300,21.29,19.00
12039020400,40.03,12.00
12039020500,21.01,20.70
12039020600,11.54,27.80
12039020701,13.40,9.80
12039020702,30.97,10.70
12039020800,19.47,10.40
12041950100,24.91,8.80
12041950201,29.31,14.30
12041950202,9.14,11.80
12041950203,24.60,14.20
12041950204,8.84,15.90
12043000100,20.19,15.50
12043000200,13.83,9.80
12043000300,11.46,9.20
12045960100,30.15,10.90
12045960200,41.42,25.90
12045960300,30.33,25.00
12047960100,14.56,6.90
12047960200,9.06,15.60
12047960300,25.33,13.20
12049970101,29.80,8.80
12049970102,28.44,7.20
12049970201,11.72,5.10
