HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
030501011106,4.0,1.95536743e+11,6459729120.0,535.717104,17.697888
080703000101,13.0,1.9448237e+11,6729034300.0,532.828411,18.43571
110702040101,1.0,1.9433841e+11,5741311880.0,532.434,15.729622
030402010606,13.0,1.93128051e+11,5363227660.0,529.117949,14.693774
041000010104,5.0,1.92335086e+11,5578972440.0,526.94544,15.284856
150100120604,18.0,1.92243834e+11,7264548860.0,526.695437,19.902874
010600031005,1.0,1.903986e+11,5624918640.0,521.64,15.410736
103001021605,1.0,1.8944814e+11,5596839340.0,519.036,15.333806
050200020602,3.0,1.89354128e+11,6255480960.0,518.778432,17.138304
050100070804,7.0,1.87320813e+11,6194886290.0,513.207706,16.972291
180701040500,14.0,1.854696e+11,6863044780.0,508.135891,18.802862
170200160601,1.0,1.8396e+11,5434704000.0,504.0,14.8896
111403050204,3.0,1.82710123e+11,6035990400.0,500.57568,16.53696
070400010102,2.0,1.8184446e+11,5372204900.0,498.204,14.71837
031501070304,6.0,1.81690536e+11,6027454660.0,497.782291,16.513574
020301030906,26.0,1.811424e+11,6742893490.0,496.280549,18.473681
050200030309,3.0,1.80818427e+11,5973496560.0,495.392952,16.365744
020301020105,32.0,1.80386111e+11,6345766780.0,494.208523,17.385662
031700060302,8.0,1.78130034e+11,6189952660.0,488.027491,16.958774
031300020101,18.0,1.78067074e+11,6559428430.0,487.854998,17.971037
030402010305,17.0,1.75876111e+11,6508051030.0,481.852358,17.830277
010900010502,8.0,1.75415622e+11,5049148370.0,480.590746,13.833283
071402040908,3.0,1.74783457e+11,5774125970.0,478.858786,15.819523
071300090204,1.0,1.7450139e+11,5155269640.0,478.086,14.124026
050301061202,3.0,1.7351925e+11,5732361790.0,475.395206,15.705101
010900040804,11.0,1.73507753e+11,4616105650.0,475.363706,12.646865
031001010302,14.0,1.72648839e+11,6388630330.0,473.010518,17.503097
031002060402,5.0,1.72388802e+11,5711730240.0,472.298088,15.648576
040900010407,14.0,1.71627243e+11,5809233420.0,470.211624,15.915708
120701030306,2.0,1.70695548e+11,5639078300.0,467.659037,15.44953
140801050403,4.0,1.70529448e+11,5633591040.0,467.203968,15.434496
150701010408,12.0,1.68225779e+11,6224961120.0,460.892544,17.054688
020401050603,15.0,1.66112002e+11,6188476600.0,455.101375,16.95473
110100040706,2.0,1.66100112e+11,5487264000.0,455.0688,15.0336
111102070603,2.0,1.66100112e+11,5487264000.0,455.0688,15.0336
080903010307,5.0,1.65759464e+11,6133698560.0,454.135517,16.804654
120701030403,2.0,1.65675634e+11,5473240990.0,453.905846,14.995181
080402010801,12.0,1.64964536e+11,6104283360.0,451.957632,16.724064
102300060602,7.0,1.638621e+11,5168114420.0,448.937261,14.159218
020502061102,3.0,1.63802394e+11,5411356850.0,448.773682,14.825635
150200020101,7.0,1.62996681e+11,5435476630.0,446.566248,14.891717
071402040302,2.0,1.62962665e+11,5383615680.0,446.473056,14.749632
041401010101,2.0,1.62577225e+11,1895944320.0,445.417056,5.194368
030801011303,10.0,1.61553819e+11,5978074540.0,442.613203,16.378286
051302010604,12.0,1.60886651e+11,5493816480.0,440.785344,15.051552
050400040301,3.0,1.59576069e+11,5271736460.0,437.194709,14.443114
080702010307,2.0,1.58979656e+11,4719211730.0,435.5607,12.929347
