HUC_12,BW_Demand
010200020403,97.0948616266
010200020404,76.6346793771
010200020405,194.015534639
010200020406,190.980155587
010200020407,232.442572474
010200020408,415.299844265
010200020501,143.11619246
010200020502,646.086128891
010200020503,180.796672761
010200020504,267.116568744
010200020505,297.552066743
010200020506,170.637619436
010200020507,657.593720436
010200030101,202.454984307
010200030102,126.842488706
010200030103,182.327979743
010200030104,198.629882753
010200030105,236.505449891
010200030106,208.889769554
010200030107,495.759949446
010200030108,256.834620178
010200030109,321.904365897
010200030110,228.05623889
010200030111,193.834615707
010200030112,308.75440675
010200030113,190.361206114
010200030201,410.41882956
010200030202,252.944519818
010200030203,68.5819379687
010200030204,278.600986898
010200030205,551.407115221
010200030301,404.924833953
010200030302,155.657666743
010200030303,361.708460033
010200030401,1507.34637541
010200030402,557.893103957
010200030403,336.378422618
010200030404,266.747409463
010200030501,205.857379735
010200030502,430.560887516
010200030503,703.677148342
010200030504,143.694816351
010200030505,168.73358351
010200030506,137.941391885
010200030507,130.695886612
010200030508,248.99731338
010200030509,259.812122464
010200030510,209.7477808
010200030511,623.316159189
010200030601,185.162386775
010200030602,193.329992473
010200030603,366.95763737
010200030604,413.553123534
010200030605,148.181816816
010200030606,462.148995459
010200030607,729.769156694
010200030701,179.164801955
010200030702,529.611116767
010200030703,713.933846951
010200030704,603.798421144
010200040101,380.942897916
010200040102,324.13544178
010200040103,765.793244004
010200040104,315.475296497
010200040105,452.901724696
010200040106,468.774713039
010200040107,790.668016911
010200040108,377.000214338
010200040109,633.864598751
010200040110,954.606545448
010200040111,1014.71329618
010200040201,818.958416224
010200040202,1205.50034523
010200040203,970.654258251
010200040204,1375.80002689
010200040205,1484.13531923
010200040301,480.647008538
010200040302,580.639547586
010200040303,267.420639515
010200040304,490.181230187
010200040305,608.6229316
010200040306,604.202465057
010200040307,874.788802028
010200040308,546.11079514
010200040309,385.998066425
010200040310,499.209105968
010200040311,1588.59344625
010200040312,671.042949677
010200040401,535.869363308
010200040402,670.634818316
010200040403,436.056505322
010200040404,443.011242151
010200040405,576.313844085
010200040406,231.616333485
010200040407,414.55835402
010200040408,481.182944536
010200040409,1145.8275578
010200040410,882.40529418
010200040501,1027.50112557
010200040502,717.259876847
010200040503,897.544218659
010200040504,329.660709143
010200040601,1413.64812183
010200040602,994.07230258
010200040603,301.240342855
010200040604,1387.81673622
010200050101,480.662598133
010200050102,294.299369693
010200050103,605.916500092
010200050104,696.878123164
010200050201,718.846862793
010200050202,348.076697469
010200050203,396.589745522
010200050204,883.347522497
010200050205,717.806801796
010200050206,853.091516972
010200050207,813.644045115
010200050208,1093.46604753
010200050301,410.41525054
010200050302,319.257873535
010200050303,910.58289814
010200050304,341.26597178
010200050305,1558.57634449
010200050306,1109.08476865
010200050307,1181.92479694
010200050308,447.217763662
010200050309,460.627369881
010200050310,1125.8903501
010200050311,1216.98770785
010200050401,851.990210772
010200050402,1690.1037724
010200050403,582.316340446
010200050404,675.519913435
010200050405,1495.62006307
010200050406,839.459722996
010200050407,1211.98731446
010200050408,1627.94957423
010200050501,1023.24836946
010200050502,1134.47078848
010200050503,1361.91547608
010200050504,1461.64863348
010200050505,1612.43552399
010200050506,1346.38479948
010200050507,1920.50118709
010200050508,720.619532108
010200050509,1338.1795404
010200050510,672.503677368
010200050601,1923.99503899
010200050602,2365.61863804
010200050603,1819.85512733
010200050701,1224.05924726
010200050702,774.198614597
010200050703,1697.69127464
010200050704,1443.72243643
010200050705,1108.45877218
010200050706,2229.7715435
010200050707,2624.39256001
010200050801,1840.27432537
010200050802,1300.13002205
010200050803,1690.54800463
010200050804,2451.14070129
010200050805,1832.31755972
010200050901,2396.42507362
010200050902,2639.71628904
010200050903,1585.69286966
010200050904,1917.96205091
010200050905,1265.52848768
010200050906,641.667293549
010200051001,1071.40945864
010200051002,1201.71005487
010200051003,2469.17723656
010200051004,1904.33420086
010200051005,1316.97527885
010200051006,1924.33259916
010200051007,3351.46379709
010200051008,1208.83932543
010200051009,2183.85010672
010300010101,194.537677228
010300010102,258.704866946
010300010201,135.926907182
010300010202,103.086791247
010300010203,123.80212307
010300010204,209.083786577
010300010205,148.706729829
010300010206,426.400154412
010300010301,179.608356833
010300010302,156.181496412
010300010303,332.232969463
010300010304,104.083655417
010300010305,98.5792938471
010300010306,194.530604899
010300010307,159.188000381
010300010308,307.986458838
010300010309,237.399310172
010300010310,188.915353924
010300010401,129.798576593
010300010402,79.6396259367
010300010403,296.820064902
010300010404,519.609364301
010300010501,69.8896198273
010300010502,155.942536473
010300010503,128.196932673
010300010504,165.268521011
010300010505,258.729570627
010300010506,419.386904597
010300010507,297.24861598
010300010508,153.749719322
010300010509,150.445327401
010300010510,3114.16829264
010300010601,336.76118499
010300010602,426.724137068
010300010603,592.251783729
010300010604,218.304418921
010300010605,444.354099393
010300010606,270.560988426
010300010607,1094.26674175
010300010608,305.111185074
010300010609,566.854526341
010300010610,401.876242042
010300020101,313.58710891
010300020102,274.934765995
010300020103,252.953081965
010300020104,690.880721807
010300020105,269.408263087
010300020106,594.734360218
010300020201,371.150770426
010300020202,1069.04181266
010300020203,743.937094808
010300020204,925.85655725
010300020301,686.609953523
010300020302,500.623330832
010300020303,943.803833365
010300020304,1050.22883177
010300020401,199.03605336
010300020402,251.636896133
010300020403,425.68420589
010300020404,222.597583711
010300020405,373.004861057
010300020406,419.131852627
010300020501,351.736510396
010300020502,516.647481441
010300020503,192.985772192
010300020504,363.723395884
010300020505,319.899855316
010300020506,544.921063185
010300030101,570.711399317
010300030102,531.993275881
010300030103,383.649784565
010300030104,372.908075213
010300030105,579.828727245
010300030106,1080.99225259
010300030201,442.874595404
010300030202,823.34805274
010300030203,1193.19122529
010300030301,848.985002756
010300030302,1158.60680246
010300030303,691.611040115
010300030304,1510.78066254
010300030401,910.647664189
010300030402,1336.20873666
010300030501,749.439005375
010300030502,424.434118509
010300030503,1340.01186419
010300030601,1467.3890667
010300030602,1191.73595309
010300030701,837.689585805
010300030702,1020.02248335
010300030703,1261.60083961
010300030801,688.283544302
010300030802,872.371188164
010300030803,712.255259752
010300030804,669.713731289
010300030901,800.177134991
010300030902,1157.92815304
010300030903,1731.80141068
010300030904,838.922581196
010300030905,1874.9140656
010300031001,1513.47085786
010300031002,1023.19655418
010300031003,1810.57923985
010300031004,2474.57283473
010300031101,1578.10548019
010300031102,2886.20247173
010300031103,2787.50299454
010300031201,1445.47601795
010300031202,1114.05595016
010300031203,797.877425671
010300031204,1938.67739391
010300031205,743.216487885
010300031206,3877.12033701
010300031301,1300.83005381
010300031302,3183.54977703
010300031401,1078.87179232
010300031402,916.913215637
010300031403,881.551499367
010300031404,2359.85538411
010300031405,1268.41375303
010300031501,1175.57466316
010300031502,1531.35335398
010300031503,1127.11068773
010300031504,769.740986347
010300031505,1378.16991997
010300031506,3535.11612749
010300031507,2186.11756229
010300031601,1139.68659377
010300031602,2079.36201382
010300031603,780.894872665
010300031604,1361.63932753
010300031605,1996.22387385
010300031606,1747.38624573
010300031701,1861.13973856
010300031702,2625.22216225
010300031801,483.482110739
010300031802,996.181905746
010300031803,671.13837862
010300031804,1028.67392397
010300031805,1518.55335665
010300031806,1487.14908695
010300031901,3468.21917295
010300031902,904.280109406
010300031903,1248.08957529
010300031904,2533.14175129
010300032001,1282.86452055
010300032002,2124.78395987
010300032003,2509.90600729
010300032004,2277.51276159
010300032005,988.835379601
010300032101,4961.77391624
010300032102,1356.22505903
010300032103,1932.11589384
010300032104,2717.45936489
010300032105,1429.09953737
010300032106,3904.39060211
010300032201,2037.31043482
010300032202,4148.11300421
010300032203,3381.63350153
010300032204,4537.15585661
010300032205,2348.57586336
010300032301,2826.51491785
010300032302,1565.98855114
010300032303,3729.17604256
010300032304,1825.03376579
010300032305,2632.41873169
010300032306,1690.11532879
010300032307,1515.14109612
010300032308,2406.71986294
010300032309,3436.77812386
010300032401,1153.35338497
010300032402,1534.0945015
010300032403,1805.73694754
010300032404,5201.9861784
010300032405,2037.4762392
010300032406,1400.35890007
010300032407,2180.75052261
010300032408,4826.35371399
010300032409,7725.42871189
010400010101,990.470987797
010400010102,686.737102509
010400010103,787.323209286
010400010104,756.333467603
010400010105,581.893865108
010400010106,497.746310472
010400010107,1452.04140842
010400010108,389.106847405
010400010109,2275.19061732
010400010110,2192.78043771
010400010201,1422.50738025
010400010202,1054.59612417
010400010203,1873.8875792
010400010301,203.833994091
010400010302,251.647343099
010400010303,675.626745522
010400010304,338.417248368
010400010305,1448.81750512
010400010306,654.009258389
010400010401,426.548275709
010400010402,264.822856665
010400010403,610.984942079
010400010404,940.396561027
010400010405,806.653173923
010400010406,1171.27451849
010400010501,457.242907524
010400010502,1262.38495588
010400010601,975.768519163
010400010602,1047.66155386
010400010603,1726.41073179
010400010604,1968.30404425
010400010605,1709.36146235
010400010606,1962.36212659
010400010607,1570.95295882
010400020101,2007.77419853
010400020102,2885.79208755
010400020103,3627.63768196
010400020201,4327.53814077
010400020202,1574.5808177
010400020203,2947.52627087
010400020204,1865.77466059
010400020205,2604.70192051
010400020206,2050.47639728
010400020207,2235.07110023
010400020301,1261.78828049
010400020302,728.900630713
010400020303,2185.41169477
010400020304,1316.3835113
010400020305,1738.59013605
010400020401,2109.67641354
010400020402,808.599292755
010400020403,1664.71688008
010400020404,1250.67703652
010400020405,1489.61722612
010400020406,2769.16505527
010400020501,3571.03097391
010400020502,3150.1009841
010400020503,1542.69306564
010400020504,1807.47178078
010400020505,4451.44795084
010400020601,2600.20203781
010400020602,2724.20579672
010400020603,2675.16668081
010400020604,2043.07405186
010400020605,2858.28596067
010400020606,3286.47156382
010400020701,4495.36866999
010400020702,3454.30437422
010400020703,3161.19734049
010400020704,4104.41782904
010400020801,3808.81207561
010400020802,2160.05133629
010400020803,3103.39245701
010400020901,2796.98429728
010400020902,2820.87544632
010400020903,1909.43606997
010400020904,3732.59946585
010400020905,4984.02450037
010400020906,1745.16637421
010400020907,2312.20190239
010400020908,2999.24871635
010400020909,4593.41257572
010400020910,6650.15744972
010400021001,3396.58084679
010400021002,5061.91093445
010400021003,3325.38093185
010400021004,2019.69260788
010400021005,6582.03948975
010400021006,6038.11390877
010400021007,5107.87557602
010500010101,238.500551879
010500010102,463.203602433
010500010207,306.530008316
010500010301,288.839045763
010500010302,312.229559779
010500010303,675.75652051
010500010304,395.469702601
010500010305,745.472180367
010500010306,537.426486969
010500010307,750.63198936
010500010401,236.547564268
010500010402,433.390461564
010500010403,512.019200087
010500010404,203.679428697
010500010501,202.489652693
010500010502,242.712902784
010500010503,390.521849275
010500010504,281.014733732
010500010505,253.662901402
010500010506,265.470271826
010500010601,353.410645127
010500010602,508.33904326
010500010603,293.715328217
010500010604,798.502392888
010500010605,276.466840506
010500010606,555.324918866
010500010701,152.987367034
010500010702,104.286810935
010500010705,155.214943051
010500010706,152.419324636
010500010707,111.69560945
010500010708,200.416564167
010500010801,324.162650228
010500010802,177.761100769
010500010804,153.490427256
010500010806,462.578874826
010500010809,94.3704576492
010500010810,266.720543742
010500020101,434.672026277
010500020102,740.159110427
010500020103,309.404511929
010500020104,813.901299953
010500020201,510.16349721
010500020202,469.469187379
010500020203,773.715266943
010500020204,786.210980415
010500020205,178.669719219
010500020301,1269.44903517
010500020302,824.844910145
010500020401,1078.82751286
010500020402,378.35421598
010500020403,681.350295424
010500020501,335.612876296
010500020502,594.712935925
010500020503,1000.50402069
010500020601,1439.54375398
010500020602,838.161178946
010500020603,247.611897349
010500020604,994.484049678
010500020701,648.663193583
010500020702,29.8444139957
010500020703,24.9973887205
010500020801,1201.17493451
010500020802,567.096746206
010500020803,1016.23876095
010500020804,156.904079914
010500020805,43.558583498
010500020901,355.372021675
010500020902,1073.5815233
010500020903,468.116452217
010500020904,883.932493091
010500020905,629.225555301
010500020906,613.271689177
010500020907,11.9390774965
010500020908,25.8160685301
010500021001,2044.3465867
010500021002,460.321676731
010500021003,483.733973265
010500021004,1885.95777535
010500021005,1656.72613931
010500021006,142.111191511
010500021007,29.4617494345
010500021008,18.192622304
010500021101,590.818336487
010500021102,776.043348789
010500021103,1181.53501344
010500021105,18.5804076195
010500021106,321.167619705
010500021108,6.24488091469
010500021109,472.196885109
010500021110,4.38634872437
010500021111,6.63716077805
010500021201,841.554617643
010500021202,764.323040724
010500021203,1630.54069233
010500021204,850.73236227
010500021205,1506.3516252
010500021206,370.856686831
010500021207,1075.23859501
010500021208,1548.13963819
010500021209,1355.17131901
010500021210,1185.12963486
010500021211,435.295567513
010500021212,835.960135221
010500021213,1066.45544314
010500021214,1613.59611702
010500021215,2006.34617519
010500021301,1586.0632
010500021302,1541.00252271
010500021303,1657.00152349
010500021304,725.183385611
010500021401,802.838726521
010500021402,1857.88474941
010500021403,27.161490202
010500021404,375.340023279
010500021405,1177.51273966
010500021406,433.873648882
010500021407,818.646129847
010500021408,1561.83875847
010500021409,72.9589018822
010500021410,112.484419584
010500021501,1124.26288486
010500021502,422.84053278
010500021503,1522.06930494
010500021504,534.552233696
010500021505,378.744027138
010500021506,551.382440567
010500021507,1487.85816956
010500021508,594.800546169
010500021509,181.901437521
010500021601,1860.64898252
010500021602,2182.48581362
010500021701,947.113445044
010500021702,1525.6841104
010500021703,174.371856213
010500021801,3005.17466354
010500021802,1354.10002995
010500021803,1738.16014862
010500021901,463.905203819
010500021902,1175.10265017
010500021903,2379.64725876
010500021904,2214.43264341
010500021905,653.977104664
010500021906,918.706954479
010500021907,4875.89581394
010500021908,3366.39473176
010500021909,833.516295433
010500030101,1928.03030634
010500030102,2714.63134527
010500030103,3547.24857664
010500030104,3578.26258993
010500030105,1833.50106382
010500030106,3671.8947072
010500030107,2832.53196573
010500030201,4156.19555664
010500030202,1739.1899085
010500030203,4030.25431776
010500030204,1281.24584723
010500030205,396.404182434
010500030206,300.807511806
010500030301,3775.36873055
010500030302,4845.27611685
010500030303,506.667947769
010500030304,3131.25287914
010500030305,857.175533772
010500030306,29.0225968361
010500030307,90.1881465912
010500030401,3487.95953846
010500030402,4278.18286133
010500030403,4098.61699009
010500030404,2430.08548737
010500030405,2404.20252609
010500030406,4700.25753498
010500030501,1328.58844471
010500030502,1304.26972008
010500030503,4525.26816177
010500030504,0.0
010500030601,2137.69288445
010500030602,2708.39216518
010500030603,4959.94260693
010500030604,541.69626236
010500030605,8.23037624359
010500030606,0.0
010500040203,91.7117840052
010500040204,282.203423142
010500040401,663.588534951
010500040402,326.596886396
010500040403,195.439656377
010500040404,782.48944819
010500040501,588.692676544
010500040502,169.396965742
010500040601,253.992224932
010500040602,246.787451029
010500040603,222.142497361
010500040604,268.340698838
010500040605,172.03543961
010500040606,833.972562909
010500040702,3.28646063805
010500040901,75.1714584827
010500040902,335.058169544
010500040904,8.16906768084
010600010101,3144.07541752
010600010102,4224.65245152
010600010103,1645.11395121
010600010104,3970.13734388
010600010105,6147.8978219
010600010106,6036.9529438
010600010107,3867.83141613
010600010108,1106.91720295
010600010109,2959.54083157
010600010110,13973.3412485
010600010201,6431.90238953
010600010202,2502.1050806
010600010203,3612.22007561
010600010204,3232.23920631
010600010205,2721.95186043
010600010206,3229.56077862
010600010301,6905.99832916
010600010302,8148.19620991
010600010303,3055.41333294
010600010304,5893.20902157
010600010305,3263.51959229
010600010306,5120.25943661
010600010401,4989.95055676
010600010402,4470.20392227
010600010501,1703.84780693
010600010502,2162.29371929
010600010503,4698.20792961
010600010504,1217.68748093
010600010505,4981.22807884
010600010506,28.9057197571
010600010507,59.9539194107
010600010601,2173.9988966
010600010602,9806.65069103
010600010603,2200.41467953
010600010606,1172.62653446
010600010607,1204.60515881
010600020101,3126.02077389
010600020102,1740.66859341
010600020103,1596.26991558
010600020104,1579.02331257
010600020105,2295.78665829
010600020106,3059.70278311
010600020201,2781.10480499
010600020202,2626.5973525
010600020203,2698.69531822
010600020204,2113.80460978
010600020301,2897.05574942
010600020302,3301.25793505
010600020303,3422.27131367
010600020304,2381.40691996
010600020401,5748.43782139
010600020402,4100.22005463
010600020403,4509.61238384
010600020404,2035.54016256
010600020405,2871.77204323
010600020406,4407.45148182
010600020501,3270.13763618
010600020502,4601.22946358
010600020503,2112.597085
010600020504,2740.03429508
010600020601,2551.29084969
010600020602,3193.25788879
010600020603,4650.50265884
010600020604,2284.7761507
010600020605,3351.68460846
010600020701,1896.07411766
010600020702,2865.24835205
010600020703,8266.05705261
010600020801,2760.3711586
010600020802,2174.90943623
010600020803,2098.8869381
010600020804,3114.0576849
010600020901,2402.92823505
010600020902,4386.94406509
010600020903,4578.352355
010600020904,4646.21722412
010600021001,3578.24951363
010600021002,7752.29491806
010600021003,3557.87024403
010600021004,2684.99085331
010600021005,4182.97824955
010600021006,3363.92677498
010600021007,4612.60970497
010600021101,7849.5103054
010600021102,6821.77520561
010600021103,6888.24797821
010600021104,6101.96190834
010600021105,9738.86875725
010600021106,350.830197334
010600030101,4408.74580002
010600030102,7764.34918213
010600030104,0.0
010600030201,5889.49104691
010600030202,4071.07824707
010600030203,3763.33592319
010600030204,6227.61452103
010600030205,4251.99463272
010600030207,0.0
010600030301,4464.13412857
010600030302,0.0
010600030303,18.5440216064
010600030401,9335.04510307
010600030402,14454.1506634
010600030501,5266.0639925
010600030502,5904.52086639
010600030503,5051.18124008
010600030504,5086.68996811
010600030505,13366.7645931
010600030506,16479.2843685
010600030507,6657.63648033
010600030601,10631.8713818
010600030602,3354.46067238
010600030603,9340.7023468
010600030604,4465.49063301
010600030605,8850.89695358
010600030606,4726.73186493
010600030607,5287.81010246
010600030608,8540.35182953
010600030701,12800.4457989
010600030702,6916.59069824
010600030703,7784.69617844
010600030704,17243.0426559
010600030705,8445.6191597
010600030706,5524.02853775
010600030707,7490.63529968
010600030708,9346.06933212
010600030709,8394.32468414
010600030801,15862.6155472
010600030802,7619.56242371
010600030803,10540.1202164
010600030804,6915.10961533
010600030805,9111.33343887
010600030806,8739.1931572
010600030901,7173.97835541
010600030902,11004.7818623
010600030903,11632.3617687
010600030904,7459.04394913
010600031001,14618.833004
010600031002,6261.44113922
010600031003,10662.8647041
010600031004,0.0
010600031005,13354.7033997
010600031101,7309.01468658
010600031102,16340.2333164
010600031103,10734.2775211
010600031104,1107.82839012
010600031105,0.0
010600031106,57.8324260712
010700010101,1015.60830069
010700010102,2168.78872442
010700010103,1631.01216888
010700010104,3130.21417856
010700010201,2334.98923826
010700010202,1998.65356922
010700010203,1268.52686262
010700010204,1864.05513477
010700010205,3821.97491789
010700010206,3201.18652582
010700010301,1838.33968973
010700010302,2777.65000582
010700010303,2363.1823864
010700010304,4304.59528637
010700010305,1859.41475725
010700010306,3356.34689045
010700010307,4196.46975136
010700010401,5727.65709972
010700010402,3378.73773289
010700010403,2162.6167984
010700010404,2830.6282692
010700010501,5509.19367123
010700010502,2853.52188206
010700010601,3565.45633507
010700010602,5289.81105614
010700010603,4821.12107277
010700010701,7342.1828537
010700010702,7326.07177258
010700010801,6384.29153824
010700010802,4713.73007965
010700010803,7535.4473877
010700010804,4674.40180016
010700020101,10150.5589342
010700020102,11222.5487614
010700020103,6295.99748135
010700020104,6975.39347744
010700020105,4470.85562325
010700020106,11232.360465
010700020107,4956.08058167
010700020108,1950.90432835
010700020109,2203.44835281
010700020110,4072.47708893
010700020201,10219.6070471
010700020202,13722.0049438
010700030101,16489.9507141
010700030102,6438.33595657
010700030103,10171.604723
010700030104,17557.9490585
010700030105,5593.5384388
010700030106,6022.18372726
010700030107,6167.28750992
010700030108,12034.5752087
010700030201,7578.68139076
010700030202,5983.22407532
010700030203,8868.20863914
010700030204,10917.487339
010700030301,7516.78286171
010700030302,5762.98326492
010700030303,7596.51016617
010700030401,4371.58186531
010700030402,11430.9708519
010700030403,5216.47654724
010700030404,15412.700016
010700030501,6800.8602705
010700030502,6946.98648071
010700030503,10962.869936
010700030504,4099.61211205
010700030601,8409.54137611
010700030602,5252.20372009
010700030603,6361.07759476
010700040101,22205.7241096
010700040102,23797.4748802
010700040103,27760.5049438
010700040201,33653.0720367
010700040202,23471.1855888
010700040203,22529.2445641
010700040204,11565.8387871
010700040205,37671.0906601
010700040301,22442.2438393
010700040302,16038.1147957
010700040401,32608.3452187
010700040402,34396.9661484
010700050101,26676.9080963
010700050102,30850.5101395
010700050103,35667.809227
010700050104,36706.3371658
010700050201,28139.7409668
010700050202,35659.5540924
010700050203,34294.0175018
010700050204,30991.4133911
010700050205,20210.2674446
010700050206,26356.9091644
010700060101,7413.10601807
010700060102,9218.58438683
010700060201,8537.53645515
010700060202,17313.187727
010700060301,12962.3331127
010700060302,20864.7391052
010700060401,17157.9573956
010700060402,8209.36451721
010700060501,15451.6123219
010700060502,13161.7872562
010700060503,22139.1732712
010700060601,9643.98563766
