NativeAquaticAtRisk,NativeAqRarityIndexNorm,NativeVulnIndexAquatic,TotalAquaticSpeciesRich,HUC_12
2,0.0,0.0384615384615,66,010100041112
2,0.0,0.0384615384615,66,010100041113
2,0.0,0.0384615384615,69,010100050101
2,0.0,0.0384615384615,69,010100050102
2,0.0,0.0384615384615,69,010100050201
2,0.0,0.0384615384615,69,010100050202
2,0.0,0.0384615384615,69,010100050203
2,0.0,0.0384615384615,69,010100050301
2,0.0,0.0384615384615,69,010100050302
2,0.0,0.0384615384615,69,010100050303
2,0.0,0.0384615384615,69,010100050304
2,0.0,0.0384615384615,69,010100050305
2,0.0,0.0384615384615,69,010100050306
2,0.0,0.0384615384615,69,010100050307
2,0.0,0.0384615384615,69,010100050308
2,0.0,0.0384615384615,66,010100060101
2,0.0,0.0384615384615,66,010100060102
2,0.0,0.0384615384615,66,010100060103
2,0.0,0.0384615384615,66,010100060104
2,0.0,0.0384615384615,66,010100060105
2,0.0,0.0384615384615,62,010100060106
2,0.0,0.0384615384615,66,010100060107
2,0.0,0.0384615384615,66,010100060108
2,0.0,0.0384615384615,66,010100060109
2,0.0,0.0384615384615,71,010100060201
2,0.0,0.0384615384615,71,010100060202
2,0.0,0.0384615384615,71,010100060203
2,0.0,0.0384615384615,71,010100060204
2,0.0,0.0384615384615,71,010100060205
2,0.0,0.0384615384615,66,010100060206
2,0.0,0.0384615384615,66,010100060207
2,0.0,0.0384615384615,71,010100060208
1,0.0,0.0192307692308,68,010100060305
1,0.0,0.0192307692308,67,010100060306
1,0.0,0.0192307692308,67,010100060307
1,0.0,0.0192307692308,69,010100060312
1,0.0,0.0192307692308,67,010100060313
2,0.0,0.0384615384615,63,010100070101
2,0.0,0.0384615384615,63,010100070102
2,0.0,0.0384615384615,63,010100070103
1,0.0,0.0192307692308,68,010100070204
1,0.0,0.0192307692308,68,010100070205
1,0.0,0.0192307692308,68,010100070206
1,0.0,0.0192307692308,68,010100070207
1,0.0,0.0192307692308,68,010100070208
1,0.0,0.0192307692308,68,010100070209
1,0.0,0.0192307692308,68,010100070301
1,0.0,0.0192307692308,68,010100070302
1,0.0,0.0192307692308,68,010100070303
1,0.0,0.0192307692308,68,010100070304
1,0.0,0.0192307692308,68,010100070305
1,0.0,0.0192307692308,68,010100070306
2,0.0,0.0384615384615,63,010100070401
2,0.0,0.0384615384615,63,010100070402
2,0.0,0.0384615384615,63,010100070403
2,0.0,0.0384615384615,63,010100070404
2,0.0,0.0384615384615,63,010100070405
2,0.0,0.0384615384615,68,010100070502
2,0.0,0.0384615384615,70,010100070503
2,0.0,0.0384615384615,70,010100070504
2,0.0,0.0384615384615,70,010100070505
2,0.0,0.0384615384615,70,010100070506
2,0.0,0.0384615384615,70,010100070507
2,0.0,0.0384615384615,70,010100070601
2,0.0,0.0384615384615,70,010100070602
2,0.0,0.0384615384615,70,010100070603
2,0.0,0.0384615384615,70,010100070604
2,0.0,0.0384615384615,70,010100070605
2,0.0,0.0384615384615,70,010100070606
2,0.0,0.0384615384615,70,010100070607
2,0.0,0.0384615384615,70,010100070701
2,0.0,0.0384615384615,70,010100070702
2,0.0,0.0384615384615,70,010100070703
2,0.0,0.0384615384615,63,010100080101
