HUC_12,AWDBYHUC,AWD_MGAL
010200010805,0,0.0
010200010901,0,0.0
010200010902,0,0.0
010200010903,0,0.0
010200010904,0,0.0
010200010905,0,0.0
010200010906,0,0.0
010200010907,0,0.0
010200011001,0,0.0
010200011002,0,0.0
010200011003,0,0.0
010200011004,0,0.0
010200011005,0,0.0
010200011006,0,0.0
010200011007,0,0.0
010200020101,0,0.0
010200020102,0,0.0
010200020103,0,0.0
010200020104,0,0.0
010200020105,0,0.0
010200020106,0,0.0
010200020107,0,0.0
010200020108,0,0.0
010200020201,0,0.0
010200020202,0,0.0
010200020203,0,0.0
010200020204,0,0.0
010200020205,0,0.0
010200020301,0,0.0
010200020302,0,0.0
010200020303,0,0.0
010200020304,0,0.0
010200020401,0,0.0
010200020402,0,0.0
010200020403,0,0.0
010200020404,0,0.0
010200020405,0,0.0
010200020406,0,0.0
010200020407,0,0.0
010200020408,0,0.0
010200020501,0,0.0
010200020502,0,0.0
010200020503,0,0.0
010200020504,0,0.0
010200020505,0,0.0
010200020506,0,0.0
010200020507,0,0.0
010200030101,0,0.0
010200030102,0,0.0
010200030103,0,0.0
010200030104,16640,0.01664
010200030105,0,0.0
010200030106,12928,0.012928
010200030107,29137,0.029137
010200030108,20800,0.0208
010200030109,64,6.4e-05
010200030110,4288,0.004288
010200030111,0,0.0
010200030112,0,0.0
010200030113,0,0.0
010200030201,896,0.000896
010200030202,17792,0.017792
010200030203,0,0.0
010200030204,0,0.0
010200030205,0,0.0
010200030301,0,0.0
010200030302,0,0.0
010200030303,0,0.0
010200030401,0,0.0
010200030402,19758,0.019758
010200030403,1517,0.001517
010200030404,2826,0.002826
010200030501,0,0.0
010200030502,0,0.0
010200030503,0,0.0
010200030504,0,0.0
010200030505,0,0.0
010200030506,0,0.0
010200030507,0,0.0
010200030508,0,0.0
010200030509,0,0.0
010200030510,0,0.0
010200030511,0,0.0
010200030601,0,0.0
010200030602,4416,0.004416
010200030603,16384,0.016384
010200030604,0,0.0
