HUC_12,FF_Demand
010200030505,312.356195211
010200030506,255.162880182
010200030507,242.465997696
010200030508,463.760680914
010200030509,484.332958698
010200030510,388.5267272
010200030511,1152.83697236
010200030601,336.436665416
010200030602,354.297589183
010200030603,665.956076741
010200030604,755.718806028
010200030605,274.802815676
010200030606,854.923627496
010200030607,1342.99818087
010200030701,327.295004368
010200030702,987.731844664
010200030703,1317.55940318
010200030704,1115.74444175
010200040101,704.940950394
010200040102,614.065726995
010200040103,1441.20573449
010200040104,583.144513369
010200040105,852.811099529
010200040106,884.569656849
010200040107,1512.71843743
010200040108,721.824664593
010200040109,1217.46674871
010200040110,1831.82226562
010200040111,1919.7935214
010200040201,1551.27077055
010200040202,2256.8419404
010200040203,1805.36188364
010200040204,2574.2640028
010200040205,2770.52220154
010200040301,885.452321529
010200040302,1078.29964256
010200040303,501.440299034
010200040304,925.963016033
010200040305,1152.44286966
010200040306,1146.99457312
010200040307,1653.91601491
010200040308,1043.24530315
010200040309,735.551643848
010200040310,949.450094223
010200040311,3007.48139191
010200040312,1253.87568951
010200040401,986.600727558
010200040402,1258.60482764
010200040403,820.516268969
010200040404,844.299352884
010200040405,1097.64658594
010200040406,430.668467522
010200040407,771.904448509
010200040408,911.576246977
010200040409,2158.53776145
010200040410,1651.76349163
010200040501,1927.10186696
010200040502,1331.18522358
010200040503,1687.51461315
010200040504,613.422393322
010200040601,2644.93049645
010200040602,1883.47962308
010200040603,571.082625151
010200040604,2582.46687078
010200050101,863.063978434
010200050102,518.590548992
010200050103,1101.9329561
010200050104,1249.22434711
010200050201,1304.27755475
010200050202,624.425064087
010200050203,719.644610882
010200050204,1604.23266912
010200050205,1287.51765752
010200050206,1580.7070086
010200050207,1486.1499958
010200050208,1976.81236124
010200050301,764.208135605
010200050302,606.237401485
010200050303,1721.89674091
010200050304,652.129171133
010200050305,2988.46019721
010200050306,2069.31774426
010200050307,2230.06635189
010200050308,827.27185607
010200050309,846.96612978
010200050310,2056.49992394
010200050311,2234.80276251
010200050401,1549.25394964
010200050402,3049.34000635
010200050403,1066.16813469
010200050404,1227.96643925
010200050405,2632.67776012
010200050406,1471.25450611
010200050407,2009.91551018
010200050408,2804.54586458
010200050501,1850.54800367
010200050502,1928.50640869
010200050503,2506.39461756
010200050504,2667.33534908
010200050505,2903.1655426
010200050506,2370.60036469
010200050507,2912.66714478
010200050508,1250.04001045
010200050509,2140.81580925
010200050510,967.296007156
010200050601,3202.14177036
010200050602,3816.07300425
010200050603,2647.00864458
010200050701,2247.27596998
010200050702,1418.07503748
010200050703,3139.27738619
010200050704,2498.69149828
010200050705,1801.48151064
010200050706,3817.4923377
010200050707,3791.46756363
010200050801,3299.87060547
010200050802,2342.95581913
010200050803,2942.35514164
010200050804,4188.68353271
010200050805,2780.93882656
010200050901,4498.21460533
010200050902,4930.52761173
010200050903,2917.61018467
010200050904,3423.54141998
010200050905,2309.62787819
010200050906,1157.12331772
010200051001,1600.35107756
010200051002,1907.1051054
010200051003,3335.50277519
010200051004,3183.14574862
010200051005,2399.98492813
010200051006,3424.58195877
010200051007,5594.44346619
010200051008,2095.68662262
010200051009,3940.93447399
010300010101,317.088054836
010300010102,433.554976225
010300010201,228.404880702
010300010202,168.12128979
010300010203,206.494500816
010300010204,343.867111564
010300010205,252.857432663
010300010206,746.182887673
010300010301,309.244378567
010300010302,254.156115472
010300010303,545.811636865
010300010304,170.275229454
010300010305,164.980770409
010300010306,331.279343545
010300010307,281.12157023
010300010308,537.80723846
010300010309,399.481452584
010300010310,322.181961119
010300010401,219.120631516
010300010402,134.943466067
010300010403,513.651188016
010300010404,871.377774298
010300010501,110.549931705
010300010502,253.483099341
010300010503,212.119869292
010300010504,285.200957537
010300010505,472.544385076
010300010506,761.405589104
010300010507,527.664130449
010300010508,276.159018517
010300010509,273.317275763
010300010510,5450.38952589
010300010601,587.398972511
010300010602,775.501945853
010300010603,1057.72036779
010300010604,386.419643998
010300010605,837.367681265
010300010606,503.753634691
010300010607,2023.37397265
010300010608,557.646423578
010300010609,1002.68007088
010300010610,722.392076492
010300020101,522.489566684
010300020102,466.080116034
010300020103,435.233894587
010300020104,1178.09702361
010300020105,472.496234298
010300020106,1033.46356297
010300020201,675.349025011
010300020202,1913.7145505
010300020203,1339.97319603
010300020204,1629.16077185
010300020301,1235.30652308
010300020302,895.96921432
010300020303,1687.15534687
010300020304,1903.51008129
010300020401,348.214694977
010300020402,437.185178399
010300020403,741.474241853
010300020404,390.933281064
010300020405,671.298498154
010300020406,755.147010326
010300020501,639.338007212
010300020502,942.576389313
010300020503,347.179789186
010300020504,649.750199437
010300020505,567.221390843
010300020506,978.340915561
010300030101,1042.78930879
010300030102,966.984579802
010300030103,714.130151033
010300030104,686.373749018
010300030105,1076.72320557
010300030106,2010.80813789
010300030201,844.061463356
010300030202,1571.9916687
010300030203,2243.84527326
010300030301,1581.87607479
010300030302,2181.76008415
010300030303,1287.20930815
010300030304,2803.07675457
010300030401,1652.16519833
010300030402,2428.18972921
010300030501,1371.74170303
010300030502,774.933347702
010300030503,2458.60507774
010300030601,2710.12445498
010300030602,2199.18804836
010300030701,1539.28621411
010300030702,1881.79233265
010300030703,2332.10790396
010300030801,1274.97266912
010300030802,1621.66876364
010300030803,1317.49162245
010300030804,1235.88847876
010300030901,1461.21414614
010300030902,2121.41712618
010300030903,3187.55144238
010300030904,1539.71433544
010300030905,3413.04951143
010300031001,2780.81676006
010300031002,1849.72759771
010300031003,3245.12872648
010300031004,4422.558043
010300031101,2841.20675468
010300031102,5218.74730492
010300031103,4983.31566525
010300031201,2634.05290031
010300031202,2018.50828171
010300031203,1450.80870056
010300031204,3574.82317352
010300031205,1366.52710867
010300031206,7051.25127506
010300031301,2357.80152941
010300031302,5718.01315308
010300031401,2036.86628819
010300031402,1738.74643183
010300031403,1613.4598484
010300031404,4326.52916241
010300031405,2338.35402298
010300031501,2102.90546799
010300031502,2843.04334545
010300031503,2096.4024229
010300031504,1406.47994328
010300031505,2506.07399845
010300031506,6243.91348553
010300031507,3699.66818428
010300031601,2138.72582388
010300031602,3959.85069036
010300031603,1487.57181644
010300031604,2560.91733742
010300031605,3781.11490917
010300031606,3283.48950768
010300031701,3482.63454628
010300031702,4867.11371326
010300031801,897.198118687
010300031802,1845.03099918
010300031803,1242.43737555
010300031804,1913.53375816
010300031805,2765.91422653
010300031806,2738.82275486
010300031901,6471.96284389
010300031902,1674.51127052
010300031903,2314.73614216
010300031904,4717.13379955
010300032001,2414.25597191
010300032002,4001.03879166
010300032003,4727.50897598
010300032004,4259.49756336
010300032005,1844.513731
010300032101,9104.02392578
010300032102,2466.08475018
010300032103,3380.01565838
010300032104,4877.88109303
010300032105,2464.74549675
010300032106,6936.37693596
010300032201,3645.00037575
010300032202,7377.5079689
010300032203,6112.47837639
010300032204,7972.86957073
010300032205,3883.1626091
010300032301,5002.84067917
010300032302,2752.1851759
010300032303,6439.34870243
010300032304,3068.45294476
010300032305,4535.55769157
010300032306,2846.12188911
010300032307,2582.7964735
010300032308,4124.28141117
010300032309,5848.58471107
010300032401,2012.81333542
010300032402,2729.53122139
010300032403,3172.09917831
010300032404,8866.63753223
010300032405,3447.90030956
010300032406,2465.24604702
010300032407,3771.23528767
010300032408,8552.66442013
010300032409,13164.9543648
010400010101,1681.81815279
010400010102,1153.56802201
010400010103,1362.37548614
010400010104,1308.21114469
010400010105,1055.841887
010400010106,890.654355049
010400010107,2556.06797147
010400010108,673.425751209
010400010109,3975.47233796
010400010110,3783.62301493
010400010201,2466.73359585
010400010202,1828.65297699
010400010203,3196.20446396
010400010301,338.98552525
010400010302,424.938721657
010400010303,1133.72520316
010400010304,583.196715832
010400010305,2479.82956457
010400010306,1114.18038034
010400010401,742.946704149
010400010402,461.625025988
010400010403,1031.56976223
010400010404,1586.58096457
010400010405,1381.3567791
010400010406,1979.44644856
010400010501,778.239589214
010400010502,2142.39374924
010400010601,1659.52425766
010400010602,1774.79497147
010400010603,2930.54697704
010400010604,3343.01315546
010400010605,2907.95948505
010400010606,3229.81966496
010400010607,2559.52653408
010400020101,3420.78452158
010400020102,5026.29206276
010400020103,6308.75324297
010400020201,7730.34251404
010400020202,2858.22892284
010400020203,5303.17376614
010400020204,3387.3387394
010400020205,4605.99626732
010400020206,3641.11817646
010400020207,4025.64437962
010400020301,2255.55367088
010400020302,1287.22972918
010400020303,3851.84175396
010400020304,2348.71552134
010400020305,3117.71502733
010400020401,3828.48419857
010400020402,1458.54787874
010400020403,2968.75224876
010400020404,2254.93276691
010400020405,2634.77005672
010400020406,4914.93979168
010400020501,6477.2565999
010400020502,5651.55596161
010400020503,2780.94377422
010400020504,3270.48465633
010400020505,8031.86964512
010400020601,4669.86185551
010400020602,4877.0963068
010400020603,4865.88951206
010400020604,3670.16352081
010400020605,5050.06298542
010400020606,5898.47296333
010400020701,8069.25777912
010400020702,6230.6985445
010400020703,5642.41942215
010400020704,7124.76723003
010400020801,6483.91577244
010400020802,3511.34622097
010400020803,4658.51753426
010400020901,5094.61688232
010400020902,5091.61813545
010400020903,3402.22163486
010400020904,6558.31945419
010400020905,8630.69850254
010400020906,2947.64344406
010400020907,3815.04198456
010400020908,5155.7296772
010400020909,7868.56477928
010400020910,10532.5281687
010400021001,5644.85527611
010400021002,7833.15292931
010400021003,5335.33142471
010400021004,3406.64720917
010400021005,10073.1450996
010400021006,9729.55347252
010400021007,7830.26028252
010500010101,441.077175021
010500010102,846.95985651
010500010207,553.226732373
010500010301,547.38639307
010500010302,591.096495867
010500010303,1274.71670556
010500010304,756.125579596
010500010305,1411.64665127
010500010306,1026.94364452
010500010307,1424.022331
010500010401,443.820160747
010500010402,812.358191729
010500010403,968.085474014
010500010404,381.825831175
010500010501,369.73790884
010500010502,446.879663467
010500010503,714.818818927
010500010504,520.650637388
010500010505,469.851258516
010500010506,490.234494328
010500010601,691.375906229
010500010602,981.075004101
010500010603,573.246683836
010500010604,1517.30095387
010500010605,512.082851887
010500010606,1006.23523235
010500010701,276.540892601
010500010702,186.942883968
010500010705,282.936597347
010500010706,280.42278564
010500010707,204.606019139
010500010708,367.316388488
010500010801,565.312802553
010500010802,310.147351742
010500010804,261.740695238
010500010806,765.827035785
010500010809,150.593134642
010500010810,459.011196017
010500020101,791.386358976
010500020102,1408.82644582
010500020103,612.904313087
010500020104,1601.20393348
010500020201,986.236283541
010500020202,908.957870483
010500020203,1477.16510844
010500020204,1489.7578938
010500020205,314.63604641
010500020301,2452.38065791
010500020302,1602.16967392
010500020401,2095.269696
010500020402,748.394673824
010500020403,1354.70287871
010500020501,663.412483692
010500020502,1176.28007698
010500020503,1988.44456601
010500020601,2851.03768158
010500020602,1663.73519516
010500020603,445.638457537
010500020604,1827.54473877
010500020701,1222.60650444
010500020702,58.5094411373
010500020703,47.4718186855
010500020801,2301.84167314
010500020802,1066.85856533
010500020803,1878.86104059
010500020804,298.838762045
010500020805,81.8447618484
010500020901,695.750485897
010500020902,2123.73656821
010500020903,923.721696615
010500020904,1682.35251808
010500020905,1188.38007641
010500020906,1169.38090205
010500020907,22.9616987705
010500020908,49.2064945698
010500021001,3937.75968575
010500021002,905.536111832
010500021003,924.879398823
010500021004,3653.76071215
010500021005,3202.9576273
010500021006,270.439904928
010500021007,57.1156504154
010500021008,35.0056886673
010500021101,1128.03036356
010500021102,1484.12953949
010500021103,2244.7673645
010500021105,35.3172645569
010500021106,610.786501884
010500021108,12.0481221676
010500021109,892.501167297
010500021110,8.47545814514
010500021111,12.720723629
010500021201,1595.46468973
010500021202,1428.23994398
010500021203,3043.82013559
010500021204,1570.98334312
010500021205,2700.13242054
010500021206,712.052648067
010500021207,2062.98394775
010500021208,2917.49013662
010500021209,2539.22475338
010500021210,2218.71054506
010500021211,775.094690323
010500021212,1457.98644733
010500021213,1862.23670864
010500021214,2856.53932095
010500021215,3647.63779497
010500021301,2822.12565184
010500021302,2693.5677495
010500021303,2984.57123947
010500021304,1302.89825821
010500021401,1504.23494339
010500021402,3396.49244547
010500021403,49.1094164848
010500021404,697.853162766
010500021405,2101.71858549
010500021406,767.541821957
010500021407,1443.0206995
010500021408,2849.22991276
010500021409,134.29613781
010500021410,203.585604668
010500021501,2017.88701057
010500021502,765.262594223
010500021503,2747.56167698
010500021504,975.18461895
010500021505,689.564126968
010500021506,1001.36925411
010500021507,2709.72690535
010500021508,1097.20496035
010500021509,332.766410828
010500021601,3399.71491432
010500021602,3994.47519493
010500021701,1734.16035366
010500021702,2812.1111517
010500021703,321.238871098
010500021801,5552.9469986
010500021802,2466.4827776
010500021803,3172.03039074
010500021901,838.08307457
010500021902,2124.98811054
010500021903,4333.8278513
010500021904,3938.38196564
010500021905,1119.90079403
010500021906,1531.46661758
010500021907,8596.66646004
010500021908,6099.59970713
010500021909,1505.12948656
010500030101,3604.69211483
010500030102,5047.51681328
010500030103,6531.31864357
010500030104,6405.74791145
010500030105,3142.03584099
010500030106,6491.47413254
010500030107,4841.05042267
010500030201,7678.12436771
010500030202,3092.55704594
010500030203,7278.22516727
010500030204,2295.98293686
010500030205,715.628058434
010500030206,541.869534492
010500030301,6764.60195732
010500030302,8880.34141541
010500030303,894.695660591
010500030304,5543.57606316
010500030305,1470.47915745
010500030306,51.2729558945
010500030307,157.914302826
010500030401,6496.89416122
010500030402,7773.63878345
010500030403,7514.53207493
010500030404,4428.64842701
010500030405,4293.37181568
010500030406,8423.15986729
010500030501,2287.03389359
010500030502,2263.47832203
010500030503,7701.58902931
010500030504,0.0
010500030601,3653.42261791
010500030602,4560.42831612
010500030603,8088.368783
010500030604,904.452425957
010500030605,13.9987773895
010500030606,0.0
010500040203,159.93653965
010500040204,493.637512326
010500040401,1205.15765953
010500040402,625.685973644
010500040403,371.201475143
010500040404,1463.87042189
010500040501,1054.74325871
010500040502,298.746230602
010500040601,482.465395212
010500040602,475.275827408
010500040603,436.583436728
010500040604,507.622186422
010500040605,314.045937061
010500040606,1506.55656052
010500040702,5.64842092991
010500040901,149.85097611
010500040902,656.997198582
010500040904,16.095741272
010600010101,5751.54116058
010600010102,7653.46126842
010600010103,2981.80224609
010600010104,7155.38110447
010600010105,10892.5482922
010600010106,10520.7435513
010600010107,6404.6074295
010600010108,1958.76179695
010600010109,5170.10234261
010600010110,22896.8135338
010600010201,10217.2719383
010600010202,3945.41327667
010600010203,5554.33204651
010600010204,5036.71040344
010600010205,4011.66461945
010600010206,4723.53688622
010600010301,10548.6722031
010600010302,11855.8034096
010600010303,4138.05837059
010600010304,8216.4222908
010600010305,4572.07132149
010600010306,6414.13619614
010600010401,6675.12162971
010600010402,5094.15985107
010600010501,2107.20997238
010600010502,2877.59444237
010600010503,6240.19307137
010600010504,1612.46504211
010600010505,6525.70630264
010600010506,39.7116413116
010600010507,80.5249710083
010600010601,3449.28943348
010600010602,13931.9463396
010600010603,3324.2518425
010600010606,1634.47217941
010600010607,1783.7023592
010600020101,5541.2439909
010600020102,3086.13645458
010600020103,2832.69517231
010600020104,2809.54393959
010600020105,4066.44885445
010600020106,5435.38302135
010600020201,4919.2886095
010600020202,4663.21632195
010600020203,4785.67033386
010600020204,3748.4577589
010600020301,5190.98458672
010600020302,5840.72527409
010600020303,6103.80176926
010600020304,4271.39122963
010600020401,10396.1609364
010600020402,7480.65398502
010600020403,8227.47932148
010600020404,3695.00432491
010600020405,5177.66885376
010600020406,7980.05928516
010600020501,5920.17228985
010600020502,8264.84085083
010600020503,3757.71030617
010600020504,4824.65981293
010600020601,4426.72035217
010600020602,5583.40546703
010600020603,8218.83312798
010600020604,4050.39804363
010600020605,5878.67222023
010600020701,3313.25068665
010600020702,4981.44713593
010600020703,14384.7734528
010600020801,4907.46505737
010600020802,3808.6935463
010600020803,3755.94666672
010600020804,5506.13199615
010600020901,4282.85378647
010600020902,7707.28765488
010600020903,8134.01792717
010600020904,8191.93603897
010600021001,6116.68079948
010600021002,13182.224865
010600021003,5885.41214752
010600021004,4621.44451523
010600021005,7117.80442047
010600021006,5523.63773727
010600021007,7630.76405525
010600021101,13238.3299847
010600021102,10773.1257534
010600021103,10658.5793476
010600021104,9249.11528969
010600021105,13777.6918335
010600021106,503.344436646
010600030101,6796.35581589
010600030102,11583.8238201
010600030104,0.0
010600030201,9645.4796524
010600030202,6329.46398544
010600030203,5999.24892807
010600030204,9778.69939804
010600030205,6435.18902206
010600030207,0.0
010600030301,6576.18591309
010600030302,0.0
010600030303,28.0027275085
010600030401,14314.939724
010600030402,21756.7409363
010600030501,8866.43739128
010600030502,9672.66798973
010600030503,8492.49067497
010600030504,8229.50457382
010600030505,20827.4683838
010600030506,25104.1334763
010600030507,9758.07133484
010600030601,17062.9500198
010600030602,5142.71881485
010600030603,14162.1394234
010600030604,6972.38101578
010600030605,13716.2628975
010600030606,7341.12984467
010600030607,7960.47737503
010600030608,12315.3448029
010600030701,19341.2484093
010600030702,10190.1709366
010600030703,11672.7936249
010600030704,24987.6200333
010600030705,12845.3167877
010600030706,8141.74041367
010600030707,11225.7683067
010600030708,13346.2807465
010600030709,12123.2808495
010600030801,21732.7963905
010600030802,10794.7881317
010600030803,14664.1879158
010600030804,9705.13138962
010600030805,12514.2469406
010600030806,12277.0701866
010600030901,10088.132946
010600030902,15952.1327286
010600030903,17061.9515114
010600030904,10647.6722794
010600031001,20955.5268517
010600031002,8934.90032578
010600031003,14577.4964867
010600031004,0.0
010600031005,18235.6190872
010600031101,11169.8020058
010600031102,24860.8748131
010600031103,15878.8366203
010600031104,1644.28199387
010600031105,0.0
010600031106,87.2725067139
010700010101,1795.58458328
010700010102,3839.39359379
010700010103,2864.26682091
010700010104,5471.72057152
010700010201,4076.83065224
010700010202,3468.83623981
010700010203,2190.68181896
010700010204,3238.92654133
010700010205,6551.97087288
010700010206,5407.13411427
010700010301,3159.60637569
010700010302,4711.9627161
010700010303,3973.06070137
010700010304,7067.18563461
010700010305,3134.48672867
010700010306,5556.38373566
010700010307,6876.59867954
010700010401,9931.22625065
010700010402,5748.78001213
010700010403,3587.65002346
010700010404,4613.26407623
010700010501,9276.73549271
010700010502,4704.7330761
010700010601,5808.62958336
010700010602,8468.49054718
010700010603,7799.2275753
010700010701,11472.866621
010700010702,11554.4719944
010700010801,10342.0458908
010700010802,7497.08469009
010700010803,11940.197443
010700010804,7319.29323578
010700020101,17170.7773266
010700020102,18363.7352219
010700020103,10815.2563114
010700020104,11922.8558369
010700020105,7512.38912582
010700020106,18686.6002884
010700020107,8103.62035942
010700020108,3202.97400665
010700020109,3617.24029541
010700020110,6484.25134468
010700020201,16279.4486103
010700020202,21619.1881847
010700030101,25755.5917549
010700030102,10091.0272636
010700030103,15930.8035736
010700030104,27273.3837891
010700030105,8697.66171265
010700030106,9427.5058403
010700030107,9676.98316956
010700030108,18857.5297089
010700030201,11878.5250549
010700030202,9405.93997955
010700030203,13921.4163742
010700030204,17155.1731796
010700030301,11759.0171471
010700030302,9027.35329437
010700030303,11844.6090088
010700030401,6807.21478653
010700030402,17918.9914265
010700030403,8112.07736015
010700030404,24105.0688267
010700030501,10592.6449184
010700030502,10809.2371883
010700030503,17199.5726967
010700030504,6392.24605942
010700030601,13009.0901756
010700030602,8168.82387924
010700030603,9743.63915253
010700040101,33208.7926865
010700040102,34730.8909531
010700040103,39144.1339188
010700040201,48693.0494385
010700040202,33878.1192017
010700040203,30986.0287704
010700040204,15755.1407166
010700040205,52038.6352386
010700040301,33414.1612778
010700040302,22836.425148
010700040401,46721.3744125
010700040402,46123.4911499
010700050101,33983.8446045
010700050102,38217.8562927
010700050103,40255.4829178
010700050104,42346.5074081
010700050201,37073.7017975
010700050202,46255.0814362
010700050203,41955.290741
010700050204,38074.7550964
010700050205,23317.2075348
010700050206,29040.6397324
010700060101,11604.529829
010700060102,14361.4228363
010700060201,13575.1074715
010700060202,26761.9161224
