HUC_12,MeanPrecip
010300010101,49.2972259521
010300010102,52.6438941956
010300010201,46.8689002991
010300010202,45.2126731873
010300010203,42.7352981567
010300010204,43.9093589783
010300010205,46.6507987976
010300010206,43.4277000427
010300010301,42.6707000732
010300010302,44.8234786987
010300010303,43.5881385803
010300010304,45.2253990173
010300010305,44.4589996338
010300010306,43.4775009155
010300010307,48.884601593
010300010308,44.3898010254
010300010309,41.8661003113
010300010310,43.0
010300010401,43.625
010300010402,43.8490982056
010300010403,42.8791007996
010300010404,42.5231018066
010300010501,43.1363983154
010300010502,43.6105003357
010300010503,43.4142990112
010300010504,43.0793991089
010300010505,45.7431983948
010300010506,45.7691993713
010300010507,43.9603996277
010300010508,46.743598938
010300010509,51.1175994873
010300010510,42.7136001587
010300010601,41.6736984253
010300010602,43.0110015869
010300010603,40.4765014648
010300010604,40.2807006836
010300010605,47.2541999817
010300010606,46.6046981812
010300010607,43.4650993347
010300010608,41.2332992554
010300010609,42.8540000916
010300010610,39.4699020386
010300020101,46.7372665405
010300020102,49.5338592529
010300020103,45.8955001831
010300020104,49.8618011475
010300020105,44.4179000854
010300020106,43.7916984558
010300020201,48.8666992188
010300020202,43.7697982788
010300020203,46.2038993835
010300020204,43.2014007568
010300020301,45.5463981628
010300020302,41.6981010437
010300020303,42.0251998901
010300020304,44.0407981873
010300020401,46.5
010300020402,48.7262001038
010300020403,48.2355041504
010300020404,42.875
010300020405,43.0777015686
010300020406,42.3485984802
010300020501,42.8596000671
010300020502,41.9519004822
010300020503,43.1702003479
010300020504,45.0213012695
010300020505,43.5
010300020506,41.064201355
010300030101,41.25
010300030102,43.0471000671
010300030103,46.3137016296
010300030104,44.9388008118
010300030105,47.0555992126
010300030106,45.6666984558
010300030201,48.6274986267
010300030202,48.1394996643
010300030203,48.1333007812
010300030301,44.6389007568
010300030302,46.0736999512
010300030303,44.2857017517
010300030304,42.6666984558
010300030401,57.115398407
010300030402,51.2364997864
010300030501,61.7367973328
010300030502,51.625
010300030503,51.875
010300030601,45.9599990845
010300030602,46.0
010300030701,47.2370986938
010300030702,48.9896011353
010300030703,45.5942993164
010300030801,44.1110992432
010300030802,44.8260993958
010300030803,42.673500061
010300030804,42.7727012634
010300030901,54.7778015137
010300030902,54.4463996887
010300030903,57.7135009766
010300030904,48.2058982849
010300030905,48.6904983521
010300031001,46.9640007019
010300031002,47.0508003235
010300031003,49.4388008118
010300031004,46.7388000488
010300031101,50.7159996033
010300031102,47.6491012573
010300031103,47.0542984009
010300031201,47.8833007812
010300031202,46.7368011475
010300031203,45.7778015137
010300031204,44.706401825
010300031205,42.5475997925
010300031206,45.4840011597
010300031301,41.426700592
010300031302,42.2547988892
010300031401,45.1851997375
010300031402,45.75
010300031403,42.226398468
010300031404,43.0844993591
010300031405,43.123298645
010300031501,43.0
010300031502,44.0
010300031503,43.4127006531
010300031504,43.6585006714
010300031505,43.3087997437
010300031506,43.1949996948
010300031507,42.5617980957
010300031601,43.3889007568
010300031602,45.1491012573
010300031603,44.7705001831
010300031604,45.3852996826
010300031605,44.6118011475
010300031606,43.2767982483
010300031701,44.1596984863
010300031702,43.9440994263
010300031801,45.0
010300031802,44.2089996338
010300031803,44.0
010300031804,44.0
010300031805,44.0
010300031806,44.0
010300031901,44.3942985535
010300031902,44.0
010300031903,44.0
010300031904,44.0
010300032001,44.0469017029
010300032002,44.4118003845
010300032003,45.6110992432
010300032004,45.4454994202
010300032005,44.3829994202
010300032101,45.5550003052
010300032102,43.4768981934
010300032103,44.3562011719
010300032104,45.5446014404
010300032105,43.5800018311
010300032106,43.6870994568
010300032201,44.2528991699
010300032202,44.3312988281
010300032203,45.9301986694
010300032204,44.0760002136
010300032205,42.5475997925
010300032301,45.0728988647
010300032302,45.8958015442
010300032303,44.9553985596
010300032304,46.4166984558
010300032305,44.1795005798
010300032306,46.5778007507
010300032307,45.3953018188
010300032308,45.0666999817
010300032309,46.5745010376
010300032401,43.9486999512
010300032402,44.9614982605
010300032403,44.1474990845
010300032404,43.2849006653
010300032405,43.1666984558
010300032406,45.1590995789
010300032407,45.4477996826
010300032408,46.6643981934
010300032409,46.0133018494
010400010101,50.0418281555
010400010102,55.7745628357
010400010103,47.5447998047
010400010104,45.0573997498
010400010105,52.3064002991
010400010106,46.2291984558
010400010107,41.5405006409
010400010108,43.0391998291
010400010109,42.2471008301
010400010110,41.9346008301
010400010201,45.4057006836
010400010202,42.3333015442
010400010203,40.3098983765
010400010301,55.2542190552
010400010302,53.6402511597
010400010303,51.9450302124
010400010304,51.6026000977
010400010305,46.2655982971
010400010306,44.6180000305
010400010401,51.9770011902
010400010402,49.4166984558
010400010403,50.6627998352
010400010404,46.5339012146
010400010405,46.3050994873
010400010406,41.845500946
010400010501,47.2041015625
010400010502,45.9347991943
010400010601,41.7927017212
010400010602,43.1515007019
010400010603,43.8926010132
010400010604,45.1805992126
010400010605,46.2090988159
010400010606,43.9915008545
010400010607,44.4043006897
010400020101,51.4123001099
010400020102,60.7000007629
010400020103,49.2727012634
010400020201,54.8087997437
010400020202,47.8648986816
010400020203,48.560798645
010400020204,45.6744003296
010400020205,54.375
010400020206,53.6977005005
010400020207,46.942199707
010400020301,51.7221984863
010400020302,49.9258995056
010400020303,50.3056983948
010400020304,46.5975990295
010400020305,47.7058982849
010400020401,47.1041984558
010400020402,59.3651008606
010400020403,54.8213996887
010400020404,51.1707000732
010400020405,46.1786003113
010400020406,45.7899017334
010400020501,51.5569992065
010400020502,45.9879989624
010400020503,46.4492988586
010400020504,50.7352981567
010400020505,47.8777008057
010400020601,47.8728981018
010400020602,48.5237998962
010400020603,47.3461990356
010400020604,46.6478996277
010400020605,47.0859985352
010400020606,48.2565994263
010400020701,48.2125015259
010400020702,50.3077011108
010400020703,50.4721984863
010400020704,49.1549987793
010400020801,47.8273010254
010400020802,47.7257995605
010400020803,46.4109992981
010400020901,44.2845001221
010400020902,44.2631988525
010400020903,45.0793991089
010400020904,46.6585006714
010400020905,48.5245018005
010400020906,48.6521987915
010400020907,48.9297981262
010400020908,48.2000007629
010400020909,49.0071983337
010400020910,47.6847991943
010400021001,46.9681015015
010400021002,47.3525009155
010400021003,48.5713996887
010400021004,47.6363983154
010400021005,48.0262985229
010400021006,48.3529014587
010400021007,48.4916992188
010500010101,43.2935752869
010500010102,44.0556526184
010500010207,44.9571990967
010500010301,45.2573814392
010500010302,45.2062988281
010500010303,45.5555610657
010500010304,45.0102729797
010500010305,45.4802017212
010500010306,45.0007362366
010500010307,45.0
010500010401,45.0343055725
010500010402,45.0494880676
010500010403,45.0088920593
010500010404,45.0929985046
010500010501,44.9780502319
010500010502,44.9999732971
010500010503,45.1216392517
010500010504,45.028137207
010500010505,45.4462013245
010500010506,46.0
010500010601,46.0180702209
010500010602,45.0542755127
010500010603,47.071975708
010500010604,45.5126914978
010500010605,45.7391014099
010500010606,46.2744903564
010500010701,45.0
010500010702,45.570098877
010500010705,45.6110992432
010500010706,46.045501709
010500010707,46.7042007446
010500010708,46.4062995911
010500010801,46.9999008179
010500010802,47.0
010500010804,47.0241584778
010500010806,48.2793197632
010500010809,48.1515007019
010500010810,49.8650627136
010500020101,46.8539009094
010500020102,46.9789009094
010500020103,49.0
010500020104,48.74168396
010500020201,48.2210998535
010500020202,49.5059013367
010500020203,50.2593002319
010500020204,50.251701355
010500020205,51.0
010500020301,45.5400009155
010500020302,45.7720985413
010500020401,46.551700592
010500020402,47.8112983704
010500020403,48.0942993164
010500020501,48.0178833008
010500020502,49.0918006897
010500020503,48.4818992615
010500020601,48.1666984558
010500020602,49.2187995911
010500020603,51.0
010500020604,50.7627983093
010500020701,50.1851997375
010500020702,49.5832977295
010500020703,48.9592018127
010500020801,50.0760993958
010500020802,50.0
010500020803,50.379901886
010500020804,49.4286003113
010500020805,49.2089004517
010500020901,47.8443984985
010500020902,49.0284004211
010500020903,49.3442993164
010500020904,50.0
010500020905,50.0964012146
010500020906,50.0
010500020907,50.0
010500020908,49.6666984558
010500021001,46.4978981018
010500021002,49.3273010254
010500021003,48.8636016846
010500021004,48.5867004395
010500021005,49.2962989807
010500021006,51.0
010500021007,50.0
010500021008,49.5262985229
010500021101,50.3636016846
010500021102,50.6866989136
010500021103,51.645198822
010500021104,None
010500021105,51.8787956238
010500021106,51.4000015259
010500021107,None
010500021108,51.1764984131
010500021109,52.0461997986
010500021110,50.0
010500021111,49.5028991699
010500021201,45.1428985596
010500021202,45.0
010500021203,45.1006011963
010500021204,44.9739990234
010500021205,44.8609008789
010500021206,46.5365982056
010500021207,47.2233009338
010500021208,45.9160995483
010500021209,46.8661003113
010500021210,48.0699996948
010500021211,45.354801178
010500021212,45.051700592
010500021213,45.5872993469
010500021214,46.5555992126
010500021215,47.5036010742
010500021301,46.645198822
010500021302,48.0404014587
010500021303,47.7999992371
010500021304,49.095199585
010500021401,49.4583015442
010500021402,49.0648994446
010500021403,49.6363983154
010500021404,51.242401123
010500021405,49.7368011475
010500021406,49.5
010500021407,54.4000015259
010500021408,52.3660011292
010500021409,53.5
010500021410,52.7913017273
010500021501,54.292098999
010500021502,55.4856987
010500021503,53.1221008301
010500021504,48.393901825
010500021505,48.1363983154
010500021506,49.0
010500021507,49.7020988464
010500021508,51.5357017517
010500021509,51.0553016663
010500021601,48.990398407
010500021602,48.0362014771
010500021701,50.1029014587
010500021702,51.0962982178
010500021703,50.3011016846
010500021801,47.4408988953
010500021802,47.0153999329
010500021803,47.4103012085
010500021901,47.8095016479
010500021902,48.0
010500021903,48.7332992554
010500021904,50.6957015991
010500021905,52.0385017395
010500021906,52.9762001038
010500021907,49.8628005981
010500021908,50.7028007507
010500021909,49.9160003662
010500030101,46.9874992371
010500030102,47.6227989197
010500030103,48.7153015137
010500030104,50.9264984131
010500030105,52.6521987915
010500030106,51.1295013428
010500030107,51.4725990295
010500030201,48.0625
010500030202,50.1096000671
010500030203,49.085899353
010500030204,48.6922988892
010500030205,48.5625
010500030206,48.1692008972
010500030301,48.4444007874
010500030302,47.6321983337
010500030303,48.454498291
010500030304,48.1136016846
010500030305,48.0312995911
010500030306,48.0
010500030307,48.0
010500030401,46.2993011475
010500030402,45.8255004883
010500030403,46.3213996887
010500030404,47.4737014771
010500030405,48.0
010500030406,47.5741996765
010500030501,48.0
010500030502,48.0
010500030503,48.0
010500030504,48.0
010500030601,47.0175018311
010500030602,48.0
010500030603,48.0
010500030604,48.0
010500030605,47.9999961853
010500030606,48.0
010500040203,49.6897010803
010500040204,49.6970024109
010500040401,47.2347984314
010500040402,48.2458992004
010500040403,49.5526008606
010500040404,48.7616004944
010500040501,49.0322990417
010500040502,49.6666984558
010500040601,50.2653007507
010500040602,50.0351524353
010500040603,49.155544281
010500040604,50.0
010500040605,49.5429000854
010500040606,48.1088981628
010500040701,47.5000190735
010500040702,47.5227012634
010500040901,50.1851997375
010500040902,47.7754173279
010500040903,0.00154901226051
010500040904,46.8314933777
010600010101,47.1893997192
010600010102,46.743598938
010600010103,48.9107017517
010600010104,49.5564002991
010600010105,48.8198013306
010600010106,48.8801994324
010600010107,49.0878982544
010600010108,49.1379013062
010600010109,49.0946006775
010600010110,48.7048988342
010600010201,48.6216011047
010600010202,49.0
010600010203,49.0
010600010204,48.9458999634
010600010205,49.0
010600010206,48.9552001953
010600010301,49.0135002136
010600010302,49.3916015625
010600010303,48.5833015442
010600010304,48.7211990356
010600010305,48.8386993408
010600010306,48.1957015991
010600010401,48.4118003845
010600010402,47.4286003113
010600010501,47.8965988159
010600010502,48.0
010600010503,48.1467018127
010600010504,48.0
010600010505,48.0
010600010506,48.0
010600010507,48.0056991577
010600010601,48.0
010600010602,48.0387992859
010600010603,48.9818000793
010600010606,47.7072982788
010600010607,47.6170005798
010600020101,65.3332977295
010600020102,60.2238998413
010600020103,60.4614982605
010600020104,59.957698822
010600020105,60.0999984741
010600020106,53.8558998108
010600020201,58.8041000366
010600020202,58.1428985596
010600020203,51.6375007629
010600020204,55.887298584
010600020301,56.5345001221
010600020302,52.8447990417
010600020303,50.4432983398
010600020304,49.7733001709
010600020401,49.8268013
010600020402,47.8181991577
010600020403,48.135799408
010600020404,47.3562011719
010600020405,50.3372993469
010600020406,48.2578010559
010600020501,49.4104995728
010600020502,49.0400009155
010600020503,49.5892982483
010600020504,49.7058982849
010600020601,50.8507003784
010600020602,58.1809005737
010600020603,56.784198761
010600020604,52.2647018433
010600020605,52.2644004822
010600020701,51.1189994812
010600020702,47.2787017822
010600020703,46.6083984375
010600020801,50.1948013306
010600020802,55.0769004822
010600020803,50.5369987488
010600020804,47.851398468
010600020901,49.6315994263
010600020902,48.3370018005
010600020903,49.6389007568
010600020904,49.4614982605
010600021001,48.5758018494
010600021002,49.9361991882
010600021003,51.2373008728
010600021004,50.0400009155
010600021005,50.4166984558
010600021006,51.6271018982
010600021007,50.4175987244
010600021101,49.3630981445
010600021102,50.5726013184
010600021103,50.73279953
010600021104,49.4239006042
010600021105,48.4725990295
010600021106,48.7778015137
010600030101,49.6393013
010600030102,49.1946983337
010600030103,None
010600030104,50.0
010600030201,50.5746994019
010600030202,51.1379013062
010600030203,51.2000007629
010600030204,51.0
010600030205,49.3620986938
010600030206,None
010600030207,50.0
010600030301,49.4118003845
010600030302,50.0
010600030303,49.5074996948
010600030401,49.6074981689
010600030402,48.2104988098
010600030501,46.9412002563
010600030502,47.5374984741
010600030503,48.5243988037
010600030504,49.1142997742
010600030505,50.3647994995
010600030506,49.5192985535
010600030507,47.4917984009
010600030601,46.3768997192
010600030602,49.7058982849
010600030603,49.3077011108
010600030604,46.813999176
010600030605,47.2625007629
010600030606,48.5
010600030607,48.8235015869
010600030608,47.0821990967
010600030701,45.9216003418
010600030702,44.9799995422
010600030703,46.75
010600030704,46.3967018127
010600030705,46.8857002258
010600030706,46.7619018555
010600030707,46.6949005127
010600030708,46.7778015137
010600030709,45.9230995178
010600030801,46.1263008118
010600030802,45.7254981995
010600030803,47.1805992126
010600030804,47.2173995972
010600030805,48.1930007935
010600030806,47.9333000183
010600030901,49.4906005859
010600030902,45.4786987305
010600030903,46.484500885
010600030904,47.8605003357
010600031001,48.3147010803
010600031002,49.0
010600031003,49.0149002075
010600031004,48.1265983582
010600031005,49.0555992126
010600031101,49.2747001648
010600031102,49.189201355
010600031103,48.4799995422
010600031104,48.0909004211
010600031105,48.0000038147
010600031106,48.5783004761
010700010101,66.5768966675
010700010102,60.8722991943
010700010103,66.2152023315
010700010104,55.9760017395
010700010201,59.0094947815
010700010202,53.4938011169
010700010203,50.8478012085
010700010204,55.5285987854
010700010205,50.8526992798
010700010206,49.4183998108
010700010301,54.4558982849
010700010302,44.862701416
010700010303,43.8658981323
010700010304,49.0484008789
010700010305,52.6842002869
010700010306,48.8333015442
010700010307,46.2075004578
010700010401,55.2742004395
010700010402,50.67029953
010700010403,46.4832992554
010700010404,46.0161018372
010700010501,46.9393997192
010700010502,46.0634994507
010700010601,51.8488006592
010700010602,55.4562950134
010700010603,51.2254981995
010700010701,44.0
010700010702,48.0242004395
010700010801,47.5573997498
010700010802,46.7027015686
010700010803,46.7541999817
010700010804,46.2380981445
010700020101,44.9460983276
010700020102,44.6757011414
010700020103,48.4897003174
010700020104,45.2700996399
010700020105,44.9110984802
010700020106,44.0656013489
010700020107,44.9146003723
010700020108,45.9267997742
010700020109,45.0999984741
010700020110,45.0
010700020201,45.3291015625
010700020202,45.3086013794
010700030101,48.2440986633
010700030102,49.0175018311
010700030103,49.0
010700030104,48.375
010700030105,47.9024009705
010700030106,48.2156982422
010700030107,48.528301239
010700030108,47.9732017517
010700030201,51.5929985046
010700030202,49.3134002686
010700030203,49.7857017517
010700030204,49.4505004883
010700030301,48.2597007751
010700030302,47.8889007568
010700030303,47.1408004761
010700030401,49.75
010700030402,49.7720985413
010700030403,47.9014015198
010700030404,48.0568008423
010700030501,45.6414985657
010700030502,46.8776016235
010700030503,47.4473991394
010700030504,47.8372001648
010700030601,45.9879989624
010700030602,47.4642982483
010700030603,45.3386993408
010700040101,48.4146003723
010700040102,47.9925003052
010700040103,46.8946990967
010700040201,49.0117988586
010700040202,47.8521995544
010700040203,46.9244995117
010700040204,47.0357017517
010700040205,46.8875999451
010700040301,48.1741981506
010700040302,47.0
010700040401,47.207901001
010700040402,46.8333015442
010700050101,48.5047988892
010700050102,48.545501709
010700050103,48.4961013794
010700050104,48.0
010700050201,47.2392997742
