HUC_12,SUM_INDGAL,IWD_MGAL,Ind_Facilities
010100030202,103738.912134,0.103738912134,2
010100030203,51869.4560669,0.0518694560669,1
010100030206,51869.4560669,0.0518694560669,1
010100030302,51869.4560669,0.0518694560669,1
010100030310,51869.4560669,0.0518694560669,1
010100030403,518694.560669,0.518694560669,10
010100040901,51869.4560669,0.0518694560669,1
010100040903,51869.4560669,0.0518694560669,1
010100040904,570564.016736,0.570564016736,11
010100040909,51869.4560669,0.0518694560669,1
010100041001,155608.368201,0.155608368201,3
010100041007,51869.4560669,0.0518694560669,1
010100041008,1867300.41841,1.86730041841,36
010100041009,778041.841004,0.778041841004,15
010100041101,674302.92887,0.67430292887,13
010100041102,155608.368201,0.155608368201,3
010100041106,51869.4560669,0.0518694560669,1
010100041108,103738.912134,0.103738912134,2
010100041109,207477.824268,0.207477824268,4
010100041110,51869.4560669,0.0518694560669,1
010100041112,155608.368201,0.155608368201,3
010100041113,985519.665271,0.985519665271,19
010100050101,51869.4560669,0.0518694560669,1
010100050102,155608.368201,0.155608368201,3
010100050202,51869.4560669,0.0518694560669,1
010100050203,51869.4560669,0.0518694560669,1
010100050302,363086.192468,0.363086192468,7
010100050303,155608.368201,0.155608368201,3
010100050305,51869.4560669,0.0518694560669,1
010100050307,726172.384937,0.726172384937,14
010100080504,363086.192468,0.363086192468,7
010100081107,311216.736401,0.311216736401,6
010100081108,726172.384937,0.726172384937,14
010100090601,259347.280334,0.259347280334,5
010100090603,155608.368201,0.155608368201,3
010100090604,363086.192468,0.363086192468,7
010100090605,155608.368201,0.155608368201,3
010100100101,51869.4560669,0.0518694560669,1
010100100201,363086.192468,0.363086192468,7
010100100203,155608.368201,0.155608368201,3
010100100204,103738.912134,0.103738912134,2
010100100205,207477.824268,0.207477824268,4
010200010904,7723.52941176,0.00772352941176,1
010200011005,1368632.3185,1.3686323185,15
010200011007,729937.236534,0.729937236534,8
010200020504,182484.309133,0.182484309133,2
010200020507,182484.309133,0.182484309133,2
010200030103,207477.824268,0.207477824268,4
010200030105,91242.1545667,0.0912421545667,1
010200030107,924918.303234,0.924918303234,11
010200030110,103738.912134,0.103738912134,2
010200030202,51869.4560669,0.0518694560669,1
010200030402,650649.006624,0.650649006624,4
010200030404,162662.251656,0.162662251656,1
010200030509,91242.1545667,0.0912421545667,1
010200030601,51869.4560669,0.0518694560669,1
010200030602,91242.1545667,0.0912421545667,1
010200030603,207477.824268,0.207477824268,4
010200030607,51869.4560669,0.0518694560669,1
010200030702,91242.1545667,0.0912421545667,1
010200030703,182484.309133,0.182484309133,2
010200030704,91242.1545667,0.0912421545667,1
010200040104,23170.5882353,0.0231705882353,3
010200040105,7723.52941176,0.00772352941176,1
010200040106,7723.52941176,0.00772352941176,1
010200040107,7723.52941176,0.00772352941176,1
010200040111,61788.2352941,0.0617882352941,8
010200040201,7723.52941176,0.00772352941176,1
010200040202,15447.0588235,0.0154470588235,2
010200040203,108129.411765,0.108129411765,14
010200040204,15447.0588235,0.0154470588235,2
010200040205,77235.2941176,0.0772352941176,10
010200040301,15447.0588235,0.0154470588235,2
010200040304,7723.52941176,0.00772352941176,1
010200040305,15447.0588235,0.0154470588235,2
010200040312,61788.2352941,0.0617882352941,8
010200040409,7723.52941176,0.00772352941176,1
010200040410,23170.5882353,0.0231705882353,3
010200040504,91242.1545667,0.0912421545667,1
010200040601,91242.1545667,0.0912421545667,1
010200040604,182484.309133,0.182484309133,2
010200050101,91242.1545667,0.0912421545667,1
010200050102,182484.309133,0.182484309133,2
010200050104,91242.1545667,0.0912421545667,1
010200050201,273726.4637,0.2737264637,3
010200050202,182484.309133,0.182484309133,2
010200050204,91242.1545667,0.0912421545667,1
010200050205,364968.618267,0.364968618267,4
010200050208,638695.081967,0.638695081967,7
010200050308,182484.309133,0.182484309133,2
010200050310,182484.309133,0.182484309133,2
010200050401,91242.1545667,0.0912421545667,1
010200050402,182484.309133,0.182484309133,2
010200050405,182484.309133,0.182484309133,2
010200050407,91242.1545667,0.0912421545667,1
010200050408,821179.3911,0.8211793911,9
010200050501,91242.1545667,0.0912421545667,1
010200050503,364968.618267,0.364968618267,4
010200050504,91242.1545667,0.0912421545667,1
010200050505,273726.4637,0.2737264637,3
010200050506,182484.309133,0.182484309133,2
010200050507,273726.4637,0.2737264637,3
010200050508,91242.1545667,0.0912421545667,1
010200050509,91242.1545667,0.0912421545667,1
010200050510,1551116.62763,1.55111662763,17
010200050601,182484.309133,0.182484309133,2
010200050602,456210.772834,0.456210772834,5
010200050603,2463538.1733,2.4635381733,27
010200050701,182484.309133,0.182484309133,2
010200050702,364968.618267,0.364968618267,4
010200050703,273726.4637,0.2737264637,3
010200050704,364968.618267,0.364968618267,4
010200050705,273726.4637,0.2737264637,3
010200050706,1003663.70023,1.00366370023,11
010200050707,4105896.9555,4.1058969555,45
010200050801,182484.309133,0.182484309133,2
010200050803,552244.873709,0.552244873709,7
010200050804,182484.309133,0.182484309133,2
010200050805,1733600.93677,1.73360093677,19
010200050901,28751.6778523,0.0287516778523,6
010200050902,23959.7315436,0.0239597315436,5
010200050903,4791.94630872,0.00479194630872,1
010200050904,9583.89261744,0.00958389261744,2
010200050905,14375.8389262,0.0143758389262,3
010200050906,4791.94630872,0.00479194630872,1
010200051001,821179.3911,0.8211793911,9
010200051002,638695.081967,0.638695081967,7
010200051003,8485520.3747,8.4855203747,93
010200051004,126756.745314,0.126756745314,2
010200051005,390660.49822,0.39066049822,11
010200051006,106543.772242,0.106543772242,3
010200051007,1225409.35859,1.22540935859,20
010200051008,248602.135231,0.248602135231,7
