HUC_12,R45Canopy
010200020403,61.1299145299
010200020404,56.1085003455
010200020405,59.9249526515
010200020406,61.76
010200020407,66.3229349736
010200020408,66.5019261274
010200020501,78.4901960784
010200020502,72.0502757743
010200020503,68.5972515856
010200020504,68.8157666262
010200020505,66.7382118011
010200020506,63.1896831844
010200020507,64.0611378116
010200030101,68.3579353594
010200030102,77.8982511924
010200030103,69.2000833681
010200030104,68.6515816209
010200030105,69.0502774508
010200030106,59.2959685349
010200030107,60.5954881724
010200030108,55.6767612369
010200030109,69.1813165906
010200030110,64.1511387164
010200030111,57.6924528302
010200030112,60.571942446
010200030113,58.0706806283
010200030201,71.507330637
010200030202,57.7373955244
010200030203,63.0853432282
010200030204,59.2515606936
010200030205,63.9632424275
010200030301,62.1756882874
010200030302,58.1029822926
010200030303,56.8863153421
010200030401,61.4763554583
010200030402,61.2210062536
010200030403,62.4041907913
010200030404,56.4941768131
010200030501,63.0903614458
010200030502,60.7121159218
010200030503,60.2735053654
010200030504,68.5457809695
010200030505,58.5346938776
010200030506,66.2865554465
010200030507,59.01411161
010200030508,68.6420005103
010200030509,58.989034312
010200030510,57.9764560099
010200030511,60.3167671501
010200030601,59.7586496121
010200030602,50.7413465196
010200030603,61.3030109925
010200030604,65.2106112206
010200030605,62.14185884
010200030606,61.1597051597
010200030607,63.2895291637
010200030701,61.5916784203
010200030702,61.6103369201
010200030703,58.7018312725
010200030704,62.487012987
010200040101,62.3209672077
010200040102,64.5603889458
010200040103,72.7280350922
010200040104,61.4157228514
010200040105,72.6717023675
010200040106,68.5017783858
010200040107,69.659561753
010200040108,70.2979057592
010200040109,73.8205267445
010200040110,73.1615986099
010200040111,65.644406013
010200040201,69.3279179136
010200040202,63.6697375768
010200040203,61.8741308611
010200040204,66.2754445293
010200040205,60.0348767288
010200040301,68.6768018018
010200040302,73.4354866494
010200040303,71.5967871486
010200040304,70.1311084625
010200040305,69.0634582624
010200040306,68.3164225135
010200040307,74.0706467662
010200040308,64.4735969035
010200040309,71.4015175466
010200040310,64.9578180212
010200040311,68.4596802427
010200040312,63.2040185471
010200040401,74.5758981837
010200040402,77.6485059402
010200040403,72.9670043415
010200040404,69.0842224745
010200040405,67.5257208388
010200040406,76.0494623656
010200040407,72.456899884
010200040408,77.2503973159
010200040409,71.1539316918
010200040410,67.0074335391
010200040501,67.2654761905
010200040502,66.0759626955
010200040503,67.218903437
010200040504,52.8722139673
010200040601,64.6
010200040602,62.5694153495
010200040603,62.1986654534
010200040604,64.8289535985
010200050101,57.3080298376
010200050102,63.1823378108
010200050103,65.3197368421
010200050104,60.6266013564
010200050201,62.9927962085
010200050202,65.9480519481
010200050203,57.6968590212
010200050204,65.3507219982
010200050205,59.2104247104
010200050206,67.8140077821
010200050207,65.8926618705
010200050208,60.8382494169
010200050301,66.9021906819
010200050302,68.4794824399
010200050303,61.4096027719
010200050304,70.648525135
010200050305,70.4098863075
010200050306,65.4879384535
010200050307,68.501284718
010200050308,66.4543726236
010200050309,68.1165289256
010200050310,58.7409771127
010200050311,64.3334754192
010200050401,58.6802964477
010200050402,64.9426781704
010200050403,65.9500905094
010200050404,69.7361411087
010200050405,59.263995371
010200050406,66.1905130188
010200050407,46.128501827
010200050408,59.1652878609
010200050501,62.7374674008
010200050502,59.9992875801
010200050503,66.1935715139
010200050504,63.624141315
010200050505,67.6056847545
010200050506,61.0721289456
010200050507,51.3358932902
010200050508,61.8948571429
010200050509,56.81529337
010200050510,64.26
010200050601,64.3299206921
010200050602,61.3878321256
010200050603,57.8631578947
010200050701,67.0683333333
010200050702,68.7930170098
010200050703,70.1623759889
010200050704,57.6809733665
010200050705,55.600564573
010200050706,56.6220164341
010200050707,52.166
010200050801,59.9005535785
010200050802,62.3636074944
010200050803,62.5579812207
010200050804,59.4586568323
010200050805,50.2547121752
010200050901,71.0394823716
010200050902,69.6491307806
010200050903,65.6595876289
010200050904,55.4699627858
010200050905,67.9773447016
010200050906,61.0725126476
010200051001,58.0399361022
010200051002,64.5412816692
010200051003,44.3943269007
010200051004,67.8091079226
010200051005,66.4237119554
010200051006,66.5390405716
010200051007,63.3391768293
010200051008,60.2556109726
010200051009,62.3116629044
010300010101,70.5211267606
010300010102,71.7282282282
010300010201,64.3438016529
010300010202,69.0273758311
010300010203,60.1205236812
010300010204,62.9285485934
010300010205,72.8981042654
010300010206,63.5900826446
010300010301,69.2567466267
010300010302,72.6544970986
010300010303,68.0616308008
010300010304,71.4759519038
010300010305,75.6705882353
010300010306,66.4686716792
010300010307,61.5669291339
010300010308,69.4823529412
010300010309,58.4812568908
010300010310,70.5792969831
010300010401,71.4694621696
010300010402,73.2837189
010300010403,65.9974354277
010300010404,59.6908793647
010300010501,64.6671476671
010300010502,71.292113159
010300010503,69.7874501269
010300010504,63.493555724
010300010505,63.8601694915
010300010506,70.230003827
010300010507,65.2148299573
010300010508,78.0503565062
010300010509,73.5555555556
010300010510,61.6967251101
010300010601,66.7214331143
010300010602,65.2319048595
010300010603,67.3910553586
010300010604,69.304047976
010300010605,65.814028611
010300010606,68.1298151002
010300010607,67.4251801611
010300010608,69.3137516689
010300010609,69.994632964
010300010610,63.0720661877
010300020101,69.6585421936
010300020102,68.5398230088
010300020103,68.6525096525
010300020104,77.1665996785
010300020105,71.5775667119
010300020106,68.6018860189
010300020201,70.2579150579
010300020202,71.3425543381
010300020203,72.9676356008
010300020204,71.6710409647
010300020301,69.9859909353
010300020302,64.9323671498
010300020303,57.9458644457
010300020304,63.4443799012
010300020401,69.1043819024
010300020402,65.3027316249
010300020403,71.2485508927
010300020404,64.4244298415
010300020405,69.7149294082
010300020406,62.9768999769
010300020501,65.2459324155
010300020502,66.8556562605
010300020503,69.6607142857
010300020504,69.9030113414
010300020505,69.7885420019
010300020506,72.1508608112
010300030101,67.7436433299
010300030102,71.0318228987
010300030103,69.8656438866
010300030104,74.1517615176
010300030105,77.3817317846
010300030106,71.2984029753
010300030201,68.0823345492
010300030202,66.7095
010300030203,70.016221374
010300030301,63.7593495935
010300030302,71.6517835477
010300030303,68.9451804477
010300030304,61.6580172987
010300030401,65.2401140007
010300030402,71.9798681014
010300030501,75.9940007499
010300030502,75.1510832383
010300030503,70.3249770712
010300030601,62.9646588814
010300030602,59.4270941055
010300030701,71.7308139535
010300030702,72.3238289206
010300030703,72.048151751
010300030801,72.9189189189
010300030802,70.4503049874
010300030803,65.4559585492
010300030804,59.5684351315
010300030901,76.7971698113
010300030902,72.8051443824
010300030903,74.6406031401
010300030904,65.9326683292
010300030905,63.0756413647
010300031001,71.7978227061
010300031002,71.0162412993
010300031003,69.48791019
010300031004,57.2149321267
010300031101,68.7357992074
010300031102,63.8925306577
010300031103,64.6979189015
010300031201,64.5158469945
010300031202,72.1058482359
010300031203,68.3953488372
010300031204,69.8680688337
010300031205,69.2892322549
010300031206,66.7372691179
010300031301,61.6130410023
010300031302,67.2798930481
010300031401,71.8948296122
010300031402,71.444789357
010300031403,45.5550161812
010300031404,67.8491620112
010300031405,64.0249291785
010300031501,65.2026819923
010300031502,61.8833437305
010300031503,67.1015775298
010300031504,69.1410628019
010300031505,60.2401106501
010300031506,68.7914973739
010300031507,55.4738553915
010300031601,66.3592901123
010300031602,70.9050005113
010300031603,71.5035971223
010300031604,69.8862757732
010300031605,69.3834459459
010300031606,69.0719905586
010300031701,69.7322383499
010300031702,64.3357834558
010300031801,64.0419189567
010300031802,59.8963573287
010300031803,64.8084663428
010300031804,67.3053097345
010300031805,66.4992788462
010300031806,59.9257609503
010300031901,68.3253875212
010300031902,63.7217217217
010300031903,54.197776926
010300031904,62.0467692308
010300032001,62.7098857427
010300032002,66.0325799226
010300032003,75.2954728101
010300032004,73.2683594344
010300032005,69.6825008732
010300032101,69.4780479423
010300032102,57.1337827327
010300032103,66.3686884725
010300032104,56.5633719205
010300032105,64.5928593799
010300032106,62.2124779282
010300032201,64.4133138259
010300032202,65.6223483717
010300032203,69.1268354076
010300032204,63.4918442515
010300032205,59.0235500879
010300032301,61.7041360061
010300032302,62.2230408573
010300032303,61.276406163
010300032304,50.1136467366
010300032305,56.1794350282
010300032306,63.845960863
010300032307,57.7497378539
010300032308,59.265379113
010300032309,61.4896710023
010300032401,65.6544428773
010300032402,62.498265896
010300032403,64.5815258995
010300032404,60.8437123947
010300032405,60.9450704225
010300032406,61.5803846154
010300032407,59.9633173844
010300032408,64.6655821749
010300032409,56.2524546828
010400010101,74.7070934534
010400010102,73.2414380322
010400010103,75.077598414
010400010104,70.8998486377
010400010105,71.067721519
010400010106,74.8707317073
010400010107,58.2277992278
010400010108,71.6353046595
010400010109,59.2215358697
010400010110,65.558921102
010400010201,75.4294836202
010400010202,71.7018712337
010400010203,61.7537910699
010400010301,75.1094402673
010400010302,74.5494021397
010400010303,73.6684543191
010400010304,63.4764839442
010400010305,62.8670861693
010400010306,67.7159663866
010400010401,79.3797909408
010400010402,80.5489762037
010400010403,74.7380554627
010400010404,71.9475772173
010400010405,74.7040546496
010400010406,58.2520946279
010400010501,72.3852848101
010400010502,70.6418134938
010400010601,68.3254475703
010400010602,57.8152990264
010400010603,66.6385516045
010400010604,64.2895261845
010400010605,69.6704594246
010400010606,56.6810362694
010400010607,59.1347596555
010400020101,74.9452325373
010400020102,69.6406772987
010400020103,78.0099077554
010400020201,76.9103028547
010400020202,73.6854318865
010400020203,65.5156174916
010400020204,56.2695924765
010400020205,77.1324826421
010400020206,70.8818232977
010400020207,59.819478603
010400020301,76.7420577091
010400020302,78.5031424581
010400020303,75.3171070932
010400020304,72.7058983419
010400020305,65.0343758805
010400020401,68.2109439124
010400020402,75.234620887
010400020403,74.1610608021
010400020404,59.9338235294
010400020405,61.0660116672
010400020406,50.9133081444
010400020501,74.8342112194
010400020502,69.33126733
010400020503,65.5104210974
010400020504,68.2852128126
010400020505,64.1401143192
010400020601,68.7081377152
010400020602,59.3400275103
010400020603,67.3429854097
010400020604,61.9145436956
010400020605,52.5269773145
010400020606,62.3531285552
010400020701,69.9806430971
010400020702,68.009828629
010400020703,63.7393604232
010400020704,62.0070167978
010400020801,64.9142857143
010400020802,62.4369652025
010400020803,52.2719849246
010400020901,69.511472983
010400020902,64.1937946319
010400020903,58.4700052165
010400020904,66.936495492
010400020905,64.7016881827
010400020906,60.8488453464
010400020907,64.8225490196
010400020908,67.4758891929
010400020909,67.8405076316
010400020910,65.0568360773
010400021001,52.762526096
010400021002,59.3289297339
010400021003,68.3380046015
010400021004,71.0050632911
010400021005,64.268105232
010400021006,64.738221579
010400021007,56.3975627413
010500010101,62.8692493947
010500010102,60.0125202875
010500010207,51.9896661367
010500010301,67.3596594245
010500010302,66.1093387471
010500010303,67.9103971585
010500010304,71.6484240688
010500010305,71.9878930818
010500010306,65.2328505056
010500010307,64.7500998004
010500010401,64.2889891018
010500010402,71.2238781792
010500010403,69.8085630679
010500010404,44.0026274304
010500010501,67.5570098163
010500010502,68.7426518615
010500010503,57.9352471049
010500010504,63.7825617006
010500010505,61.0377647359
010500010506,66.8206707734
010500010601,55.9663865546
010500010602,65.1334415584
010500010603,50.1557317952
010500010604,66.5598279107
010500010605,60.4613918017
010500010606,65.9243027888
010500010701,70.4643552785
010500010702,66.0164410058
010500010705,66.8499359795
010500010706,64.6110860748
010500010707,68.1733391993
010500010708,65.2278987117
010500010801,65.3085817061
010500010802,64.3440073193
010500010804,59.7289190719
010500010806,56.4773399015
010500010809,48.9004878049
010500010810,60.6469732247
010500020101,57.6823354775
010500020102,53.7264890282
010500020103,63.1232032854
010500020104,64.856678487
010500020201,70.3804195804
010500020202,54.3700520244
010500020203,59.367071525
010500020204,59.2168504745
010500020205,50.9321901793
010500020301,66.6899906842
010500020302,66.0265183918
010500020401,67.4542253521
010500020402,69.6227203647
010500020403,68.2261445119
010500020501,57.0272199911
010500020502,67.1787240312
010500020503,70.0053551049
010500020601,63.9790663391
010500020602,67.1838871188
010500020603,57.5726786582
010500020604,58.1032883642
010500020701,56.1110566716
010500020703,27.0714285714
010500020801,58.2264850136
010500020802,44.7786016949
010500020803,50.3304439746
010500020805,22.25
010500020901,69.813655761
010500020902,58.7002038736
010500020903,62.4804291099
010500020904,53.854244763
010500020905,52.5151768893
010500020906,59.8005401235
010500020908,13.0
010500021001,66.6825871242
010500021002,59.3139909736
010500021003,69.174276024
010500021004,68.6725573244
010500021005,64.9040506329
010500021006,53.6153846154
010500021008,0.0
010500021101,69.0083573487
010500021102,64.513028169
010500021103,62.1258859264
010500021105,4.72972972973
010500021106,48.6294871795
010500021108,13.0
010500021109,58.1269787807
010500021111,20.2727272727
010500021201,62.1513836137
010500021202,70.8422800221
010500021203,67.4238792209
010500021204,71.6645733284
010500021205,74.2227669497
010500021206,69.5866217517
010500021207,68.7105435494
010500021208,67.1121253238
010500021209,64.1816662688
010500021210,60.7900884956
010500021211,73.6283470189
010500021212,68.9554794521
010500021213,64.7052096569
010500021214,63.5646045419
010500021215,59.5758360302
010500021301,70.1133368477
010500021302,60.4333014963
010500021303,69.6755492713
010500021304,71.9471989697
010500021401,67.2345233574
010500021402,62.69714809
010500021403,14.5862068966
010500021404,64.4683026585
010500021405,61.4158220721
010500021406,62.5601241272
010500021407,61.9931668238
010500021408,65.0901912616
010500021410,6.18181818182
010500021501,68.8897595726
010500021502,72.8107839894
010500021503,65.8411131059
010500021504,65.9030448718
010500021505,58.4233176839
010500021506,55.1473354232
010500021507,61.9034737166
010500021508,71.9339774557
010500021509,12.5257731959
010500021601,54.6362645349
010500021602,59.0768947756
010500021701,60.3617300131
010500021702,61.8976767177
010500021703,18.2777777778
010500021801,65.0244600883
010500021802,54.67006456
010500021803,63.6590867746
010500021901,68.6473891072
010500021902,73.1606543624
010500021903,73.3453954999
010500021904,70.5037522172
010500021905,63.3019981835
010500021906,31.7106003752
010500021907,68.8916899163
010500021908,61.5459032577
010500021909,5.68656716418
010500030101,69.0388773389
010500030102,69.5822283189
010500030103,70.9453483521
010500030104,66.7107507634
010500030105,69.4580062794
010500030106,58.1272022551
010500030107,47.0046875
010500030201,66.2804518164
010500030202,56.0328022493
010500030203,59.0412133891
010500030204,65.6346846847
010500030205,47.4309623431
010500030206,16.1234567901
010500030301,64.1644198895
010500030302,65.5864925446
010500030303,55.0585296217
010500030304,59.4960819009
010500030305,42.4406077348
010500030306,73.3333333333
010500030307,31.8
010500030401,70.1361691091
010500030402,67.1119946985
010500030403,65.1165004013
010500030404,58.2620653866
010500030405,62.7787316048
010500030406,66.7923936054
010500030501,61.2876595745
010500030502,63.4577649528
010500030503,54.9403100775
010500030601,46.7560483871
010500030602,69.1247009569
010500030603,52.753533495
010500030604,30.8003037206
010500030606,0.666666666667
010500040203,57.9655172414
010500040204,58.4178890877
010500040401,64.1366293636
010500040402,62.9712364587
010500040403,68.6861086376
010500040404,66.5009136838
010500040501,61.7163807778
010500040502,58.2589016295
010500040601,66.2421185372
010500040602,59.1773692387
010500040603,54.0252579153
010500040604,60.3555956679
010500040605,67.9120521173
010500040606,63.470800451
010500040702,30.6
010500040901,41.8681081081
010500040902,57.4144465806
010500040904,9.55555555556
010600010101,70.1193727871
010600010102,71.9000579374
010600010103,69.9673060157
010600010104,67.0344202899
010600010105,67.142773035
010600010106,68.4690934878
010600010107,69.2351760628
010600010108,70.007252216
010600010109,69.2377911993
010600010110,64.5359845879
010600010201,65.2407939767
010600010202,68.8414671112
010600010203,71.8425909173
010600010204,64.7973719576
010600010205,64.4981691079
010600010206,66.1131150755
010600010301,67.2514313758
010600010302,70.4890788906
010600010303,62.3207203929
010600010304,61.5008826645
010600010305,68.6547298696
010600010306,62.3894215404
010600010401,67.6348455741
010600010402,43.6377340141
010600010501,35.0120282041
010600010502,54.1911764706
010600010503,60.4537737305
010600010504,39.4768653606
010600010505,45.7465850727
010600010507,4.93333333333
010600010601,57.5846124692
010600010602,62.3082352941
010600010603,66.9340263046
010600010606,0.0
010600010607,14.5977011494
010600020101,73.822367038
010600020102,79.4418966187
010600020103,72.7516025641
010600020104,74.4890380313
010600020105,71.0955024986
010600020106,61.7288688237
010600020201,78.9241815049
010600020202,79.9430204364
010600020203,65.7102033339
010600020204,71.4611896506
010600020301,77.9013259328
010600020302,64.0498464873
010600020303,70.2957471713
010600020304,63.6737759087
010600020401,72.7965023847
010600020402,68.7405377186
010600020403,67.4204875218
010600020404,44.8814180929
010600020405,75.5146814404
010600020406,64.842184747
010600020501,64.8700999231
010600020502,70.8786279683
010600020503,68.5973451327
010600020504,72.170396545
010600020601,71.1204206242
010600020602,78.3821554569
010600020603,80.751643304
010600020604,74.0095386412
010600020605,72.7070366396
010600020701,75.2663076002
010600020702,72.4167541465
010600020703,67.5993589744
010600020801,69.024742268
010600020802,80.3575076609
010600020803,68.3840732911
010600020804,58.6056485356
010600020901,69.109540636
010600020902,68.977928425
010600020903,68.0368351503
010600020904,67.9593650041
010600021001,64.67360698
010600021002,69.575269696
010600021003,67.4615132119
010600021004,72.2115587429
010600021005,65.5126233071
010600021006,68.614075349
010600021007,73.4957653124
010600021101,73.3235230313
010600021102,71.2669109637
010600021103,71.6086552278
010600021104,65.709006654
010600021105,60.9732191094
010600021106,50.9013157895
010600030101,74.8163364729
010600030102,67.0527050611
010600030104,0.0
010600030201,68.5671774091
010600030202,66.8329901624
010600030203,69.6195596518
010600030204,71.4643816345
010600030205,64.6125588129
010600030206,0.0
010600030207,0.0
010600030301,60.2858340319
010600030302,0.0
010600030303,6.39285714286
010600030401,74.200913242
010600030402,73.1080711354
010600030501,68.4206306788
010600030502,71.7280669145
010600030503,66.5715448809
010600030504,59.0525265957
010600030505,70.2563028469
010600030506,68.2606489423
010600030507,65.0291052821
010600030601,65.8449632073
010600030602,74.3584821429
010600030603,62.8576500968
010600030604,67.0447703589
010600030605,73.3763532764
010600030606,71.6754285714
010600030607,68.1948794432
010600030608,59.1907036561
010600030701,69.0634226999
010600030702,70.1651785714
010600030703,70.653455487
010600030704,65.6614435534
010600030705,70.6221862785
010600030706,72.9385419259
010600030707,69.3981063051
010600030708,65.233675475
010600030709,65.3961439078
010600030801,66.7642355694
010600030802,66.4523952096
010600030803,68.0415834997
010600030804,56.0660792952
010600030805,68.9594180704
010600030806,54.900566394
010600030901,54.6066433566
010600030902,61.9232179973
010600030903,64.4746865959
010600030904,51.4009151707
010600031001,46.3568521031
010600031002,42.8485041375
010600031003,54.6993451082
010600031004,0.0
010600031005,28.8429993364
010600031101,75.4611747851
010600031102,63.8892180095
010600031103,59.395808944
010600031104,34.4305019305
010600031106,0.947368421053
010700010101,78.3526208305
010700010102,76.6771813788
010700010103,81.122734139
010700010104,65.140030776
010700010201,70.6604719148
010700010202,80.8488960442
010700010203,67.0556492411
010700010204,83.4719884588
010700010205,75.2866558886
010700010206,73.1917673504
010700010301,81.3716137995
010700010302,74.2831810854
010700010303,69.6777959374
010700010304,76.6155244307
010700010305,77.7339873053
010700010306,71.2894242804
010700010307,66.7151171043
010700010401,78.6588508503
010700010402,76.7494743652
010700010403,73.7530728709
010700010404,68.6154255319
010700010501,71.215271786
010700010502,64.224566179
010700010601,72.3406746032
010700010602,72.6820693119
010700010603,63.7911787666
010700010701,68.383161512
010700010702,69.7794720446
010700010801,71.4802051822
010700010802,73.067292912
010700010803,75.9637556464
010700010804,63.4862584378
010700020101,68.814686659
010700020102,62.3270485859
010700020103,69.3646216769
010700020104,67.4718263825
010700020105,57.1864092091
010700020106,65.1008818342
010700020107,57.7454585248
010700020108,64.8791832104
010700020109,48.0530918176
010700020110,41.5689716947
010700020201,64.0632800799
010700020202,62.741725218
010700030101,65.8749646793
010700030102,72.147250699
010700030103,71.3625230666
010700030104,68.1279197582
010700030105,61.2678725237
010700030106,68.8204081633
010700030107,73.7700862895
010700030108,69.4965388419
010700030201,76.5217230542
010700030202,71.7140848671
010700030203,72.1722870532
010700030204,73.7848060518
010700030301,66.9826939717
010700030302,72.9795214486
010700030303,68.3464961068
010700030401,75.46116414
010700030402,73.3161784588
010700030403,66.8980838071
010700030404,69.4275220372
010700030501,68.6978051392
010700030502,68.0800990917
010700030503,74.2895184136
010700030504,70.2483271375
010700030601,61.7726610848
010700030602,66.3500447628
010700030603,65.3584628923
010700040101,64.2958045672
010700040102,64.7674364084
010700040103,66.1374532859
010700040201,72.376492921
010700040202,74.3176998369
010700040203,60.4972499491
010700040204,64.3813784764
010700040205,63.3358675853
