HUC_12,HUC12_Pop
010100020101,0.0
010100020102,0.0
010100020103,0.0
010100020104,0.0
010100020105,0.0
010100020201,0.0
010100020202,0.0
010100020203,0.0
010100020204,0.0
010100020301,0.728022809122
010100020302,0.745874391298
010100020303,0.429891007967
010100020304,0.0
010100020305,0.0
010100020306,0.0
010100020307,0.0
010100020308,0.0
010100020401,0.0
010100020402,0.0
010100020403,0.0
010100020404,0.0
010100020405,0.0
010100020406,0.0
010100020501,0.0
010100020502,0.0
010100020503,0.0
010100020504,0.163613319699
010100020505,0.0201881383709
010100020601,0.0
010100020602,0.500300230151
010100020701,0.0
010100020702,0.0
010100020703,0.0
010100020704,0.0
010100020705,0.309079998166
010100020706,0.0
010100020707,0.0
010100020708,0.0
010100020709,0.00681833358067
010100020710,0.0
010100020711,48.2669573967
010100030101,0.0
010100030102,0.0
010100030103,0.0
010100030104,0.0
010100030105,0.0
010100030201,0.480400730739
010100030202,0.0
010100030203,322.933971924
010100030204,0.0
010100030205,0.0
010100030206,5.6647325363
010100030207,231.932606564
010100030301,66.1768165665
010100030302,1181.10396848
010100030303,70.7845675641
010100030304,124.498762169
010100030305,113.861419615
010100030306,179.172687811
010100030307,0.0
010100030308,0.0
010100030309,5.25727851748
010100030310,922.160379304
010100030401,75.3930865034
010100030402,777.561495241
010100030403,2005.6650614
010100040101,0.0
010100040102,0.0
010100040103,0.0625746746778
010100040104,0.0532949253557
010100040201,0.0
010100040202,0.0
010100040203,0.0
010100040301,0.0
010100040302,0.0
010100040303,0.0
010100040304,0.0
010100040305,0.0
010100040306,0.0
010100040401,5.68351879772
010100040402,13.7170902292
010100040501,0.289843023151
010100040502,0.0
010100040503,0.0
010100040504,0.0
010100040505,12.5852367113
010100040506,48.9102330063
010100040601,0.192613702772
010100040602,0.0
010100040603,14.719667086
010100040604,0.596021555019
010100040605,9.35576448921
010100040606,142.821558652
010100040701,0.0
010100040702,0.0
010100040703,0.0
010100040801,0.0
010100040802,0.0
010100040803,0.340977016836
010100040804,0.00504674180411
010100040805,73.4897058114
010100040901,289.898442239
010100040902,8.24386229206
010100040903,15.5109140312
010100040904,1201.01138623
010100040905,7.93524663557
010100040906,0.0
010100040907,36.6488880101
010100040908,1.99889467913
010100040909,201.585764007
010100041001,1673.29463278
010100041002,0.0
010100041003,0.0
010100041004,9.39679239801
010100041005,28.5606662648
010100041006,263.912055969
010100041007,1488.0868499
010100041008,8273.77858253
010100041009,4112.87299364
010100041101,3978.96359717
010100041102,814.027980837
010100041103,136.132909803
010100041104,101.00026642
010100041105,8.97426677158
010100041106,228.218640597
010100041107,94.8901160647
010100041108,760.197758809
010100041109,1825.5850364
010100041110,1158.90758148
010100041111,74.3943567963
010100041112,1682.98095669
010100041113,4458.13058131
010100050101,87.9368989629
010100050102,1225.0901875
010100050201,1.52909852259
010100050202,180.397615789
010100050203,592.907819983
010100050301,146.755358758
010100050302,589.321761807
010100050303,1126.72763171
010100050304,250.417412236
010100050305,842.252192622
010100050306,420.250624261
010100050307,5952.4314873
010100050308,174.693972471
010100060101,0.0
010100060102,0.0
010100060103,0.0
010100060104,0.0
010100060105,0.0
010100060106,0.0
010100060107,0.0
010100060108,0.0619600416449
010100060109,0.0
010100060201,0.570289612932
010100060202,0.232369087898
010100060203,0.338965493595
010100060204,0.755748322842
010100060205,0.215113292558
010100060206,0.0
010100060207,0.0962117248637
010100060208,0.0
010100060305,0.0
010100060306,0.0
010100060307,0.0
010100060312,0.0
010100060313,0.0
010100070101,0.0
010100070102,0.0
010100070103,0.0
010100070204,0.608432034176
010100070205,2.33122065269
010100070206,0.0
010100070207,0.0
010100070208,2.52637935364
010100070209,0.362073489465
010100070301,0.171653542668
010100070302,0.0
010100070303,0.0
010100070304,0.0
010100070305,0.0
010100070306,0.0
010100070401,0.0
010100070402,0.0
010100070403,0.0
010100070404,0.0
010100070405,0.0
010100070502,0.0
010100070503,0.0
010100070504,0.0
010100070505,0.0
010100070506,0.0
010100070507,0.0
010100070601,0.0
010100070602,0.0
010100070603,0.0
010100070604,0.0
010100070605,0.0
010100070606,0.0
010100070607,31.8260348684
010100070701,0.0
010100070702,0.0880529422284
010100070703,14.897662323
010100080101,6.79944725898
010100080102,331.961371936
010100080401,0.0350931576104
010100080403,0.0
010100080404,0.0
010100080405,2.96490682958
010100080406,0.0
010100080407,0.469969079932
010100080408,0.0
010100080503,499.643660226
010100080504,720.166736721
010100081107,1690.91116144
010100081108,2852.18670361
010100090601,1904.37794534
010100090603,606.257072924
010100090604,1212.94738066
010100090605,139.789933744
010100090607,546.999860064
010100090608,114.061276047
010100100101,229.673588029
010100100102,47.2748151997
010100100201,1344.90144563
010100100202,1257.32388552
010100100203,332.778989482
010100100204,417.128195555
010100100205,540.623416948
010100100206,909.210976765
010100100207,9.25639759717
010100110103,211.898562248
010200010101,0.120372287938
010200010102,0.115968403625
010200010103,0.235831899851
010200010104,1.50710805126
010200010105,3.36838238907
010200010106,0.147654182283
010200010201,8.9999998171
010200010202,0.139504298803
010200010203,0.0888373341295
010200010204,0.0947394872746
010200010205,0.0
010200010206,0.0284946520736
010200010207,0.0485625048392
010200010208,0.0
010200010209,0.0
010200010210,13.1008584262
010200010301,0.0
010200010302,0.0
010200010303,0.0
010200010304,0.0
010200010305,0.0
010200010306,0.0
010200010307,4.32106461841
010200010308,4.98552396433
010200010401,0.0
010200010402,0.0
010200010403,0.0
010200010404,0.0
010200010501,0.0
010200010502,0.0
010200010503,0.0
010200010504,0.0
010200010505,0.0
010200010506,0.0
010200010507,0.112420171994
010200010508,0.360473342036
010200010509,2.10450300809
010200010601,0.101115522468
010200010602,0.295971450125
010200010701,0.0
010200010702,0.814986663761
010200010703,0.0
010200010704,0.0
010200010801,0.193821325913
010200010802,0.177582600751
010200010803,0.269029767391
010200010804,0.0850636023679
010200010805,0.0
010200010901,0.0517225306176
010200010902,0.0769211844326
010200010903,0.0
010200010904,0.16110874617
010200010905,139.328830375
010200010906,0.0
010200010907,15.3386252461
010200011001,0.0294341329063
010200011002,0.0
010200011003,0.0
010200011004,47.4600747929
010200011005,4180.64084889
010200011006,0.000329693459207
010200011007,2485.65470025
010200020101,0.0
010200020102,0.0
010200020103,0.0
010200020104,0.236168419749
010200020105,0.434982148019
010200020106,1.32889874341
010200020107,0.0664807775047
010200020108,0.0
010200020201,0.0
010200020202,0.0
010200020203,0.0
010200020204,0.131621852912
010200020205,1.14713876153
010200020301,0.396903623987
010200020302,5.86231681251
010200020303,0.0
010200020304,0.24894833347
010200020401,0.19060714533
010200020402,0.0870241141888
010200020403,0.0594253336994
010200020404,0.583668932848
010200020405,0.361749106279
010200020406,0.0210379975556
010200020407,108.619087732
010200020408,7.65108729396
010200020501,0.0
010200020502,0.0
010200020503,0.0
010200020504,87.5126967758
010200020505,8.70285063053
010200020506,0.0
010200020507,317.964253962
010200030101,0.312092723318
010200030102,0.30780436339
010200030103,44.9277182864
010200030104,16.74355796
010200030105,177.522806698
010200030106,128.145886773
010200030107,1165.11110628
010200030108,111.161955552
010200030109,248.723803746
010200030110,224.777531716
010200030111,284.641168744
010200030112,8.46415556187
010200030113,1.26589605227
010200030201,130.431630963
010200030202,1054.08998839
010200030203,74.4746645554
010200030204,72.3282415017
010200030205,83.6675661736
010200030301,86.224089278
010200030302,1.55767205104
010200030303,118.584609854
010200030401,232.203975341
010200030402,305.462377273
010200030403,30.357172428
010200030404,382.080090989
010200030501,0.675440751498
010200030502,40.2737930711
010200030503,362.281120492
010200030504,3.09475980843
010200030505,0.0
010200030506,61.0803045555
010200030507,2.90897428894
010200030508,11.7990749321
010200030509,75.4555780166
010200030510,4.84529774952
010200030511,163.331641708
010200030601,418.327290395
010200030602,204.872200909
010200030603,570.585102449
010200030604,42.0217453392
010200030605,118.891134018
010200030606,16.117503333
010200030607,243.865696999
010200030701,388.94674187
010200030702,211.548690589
010200030703,643.776700513
010200030704,352.697775838
010200040101,5.33055650921
010200040102,0.0
010200040103,3.45697520226
010200040104,121.391545408
010200040105,124.131504625
010200040106,247.751750551
010200040107,102.800810329
010200040108,9.27667872843
010200040109,37.9869538728
010200040110,209.834356576
010200040111,1131.52171104
010200040201,669.646311086
010200040202,1053.96750227
010200040203,3028.03290236
010200040204,624.714738432
010200040205,2114.84567343
010200040301,85.2489466978
010200040302,144.956902426
010200040303,19.3593746895
010200040304,427.505374703
010200040305,285.431503822
010200040306,78.8361076476
010200040307,2.4954898688
010200040308,2.00006379167
010200040309,1.73822267936
010200040310,13.7359926174
010200040311,440.144248827
010200040312,1655.54968203
010200040401,0.457990897878
010200040402,0.0
010200040403,0.0358580575848
010200040404,0.0
010200040405,1.27385956124
010200040406,0.0
010200040407,0.0283987985604
010200040408,10.7970201102
010200040409,41.2202498972
010200040410,1554.76108378
010200040501,15.980157313
010200040502,18.3305377918
010200040503,6.81491965315
010200040504,58.9905031061
010200040601,492.718644316
010200040602,155.115049381
010200040603,3.71086923335
010200040604,927.282545344
010200050101,148.581793503
010200050102,29.3403735875
010200050103,47.7501048822
010200050104,1043.05461378
010200050201,1095.28280189
010200050202,447.591791737
010200050203,184.135825843
010200050204,167.329667679
010200050205,2447.52210383
010200050206,5.08328841315
010200050207,33.6796342184
010200050208,2475.3931244
010200050301,91.2252008086
010200050302,0.0
010200050303,0.469210749172
010200050304,0.201182041084
010200050305,0.461886466626
010200050306,129.651987439
010200050307,117.487184786
010200050308,195.847296608
010200050309,8.60626241151
010200050310,1168.85030867
010200050311,301.82997096
010200050401,804.663521575
010200050402,527.333053215
010200050403,35.8655819825
010200050404,54.7313272071
010200050405,430.641227817
010200050406,3.0262062451
010200050407,50.9567449722
010200050408,1447.06693434
010200050501,405.136450407
010200050502,621.94610707
010200050503,638.712306431
