HUC_12,Terrestrial_Acres,Rare_Acres,Protected_Rare_Acres,Percent_of_HUC_Rare,Percent_Rare_Area_Protected
010100060202,12140,0.222393954,0.0,0.00183191065898,0.0
010100060203,4375,13.34363724,0.0,0.304997422629,0.0
010100060204,33076,0.0,None,0.0,None
010100060205,19870,0.0,None,0.0,None
010100060206,13541,0.0,None,0.0,None
010100060207,22873,0.0,None,0.0,None
010100060208,38499,0.0,None,0.0,None
010100060305,2820,540.639702174,0.0,19.1716206445,0.0
010100060306,870,195.261891612,0.0,22.4438955876,0.0
010100060307,319,20.237849814,10.00772793,6.34415354671,49.4505494505
010100060312,7236,94.072642542,12.454061424,1.30006415896,13.2387706856
010100060313,29814,509.504548614,273.099775512,1.70894394786,53.6010475775
010100070101,22189,0.0,None,0.0,None
010100070102,14578,8.450970252,0.0,0.0579707110166,0.0
010100070103,29847,0.0,None,0.0,None
010100070204,617,2.22393954,0.0,0.360444009724,0.0
010100070205,4896,139.885797066,0.0,2.85714454792,0.0
010100070206,15069,61.825519212,0.0,0.410282827075,0.0
010100070207,9293,890.242997862,0.0,9.5797158922,0.0
010100070208,24748,753.693110106,0.0,3.04547078595,0.0
010100070209,20919,0.222393954,0.0,0.0010631194321,0.0
010100070301,3765,69.831701556,0.0,1.85475966948,0.0
010100070302,3562,67.385368062,0.0,1.89178461713,0.0
010100070303,11067,62.492701074,0.0,0.564676073679,0.0
010100070304,21433,29.356001928,0.0,0.136966369281,0.0
010100070305,23564,2.446333494,0.0,0.0103816563147,0.0
010100070306,23070,0.0,None,0.0,None
010100070401,13919,0.0,None,0.0,None
010100070402,13552,0.0,None,0.0,None
010100070403,33872,0.0,None,0.0,None
010100070404,23116,0.0,None,0.0,None
010100070405,24520,0.0,None,0.0,None
010100070502,187,0.889575816,0.0,0.475708992513,0.0
010100070503,24304,8.228576298,0.0,0.0338568807521,0.0
010100070504,7364,0.0,None,0.0,None
010100070505,16088,0.0,None,0.0,None
010100070506,16055,0.0,None,0.0,None
010100070507,38900,0.0,None,0.0,None
010100070601,2019,2.001545586,0.0,0.0991354921248,0.0
010100070602,4231,44.256396846,0.0,1.04600323437,0.0
010100070603,12819,0.0,None,0.0,None
010100070604,7675,0.0,None,0.0,None
010100070605,16721,0.222393954,0.0,0.00133002783326,0.0
010100070606,14487,3.33590931,0.0,0.0230269159246,0.0
010100070607,39796,0.0,None,0.0,None
010100070701,12526,0.0,None,0.0,None
010100070702,12578,0.0,None,0.0,None
010100070703,21866,0.0,None,0.0,None
010100080101,27220,0.0,None,0.0,None
010100080102,42167,0.0,None,0.0,None
010100080401,2716,15.789970734,0.0,0.581368583726,0.0
010100080403,30491,0.0,None,0.0,None
010100080404,10862,0.0,None,0.0,None
010100080405,12698,63.604670844,0.0,0.500903062246,0.0
010100080406,17116,0.667181862,0.0,0.00389800106333,0.0
010100080407,24788,17.569122366,0.0,0.0708775309263,0.0
010100080408,7375,49.149063834,0.0,0.66642798419,0.0
010100080503,20577,93.40546068,0.0,0.453931383,0.0
010100080504,7276,6.894212574,0.0,0.0947527841396,0.0
010100081107,13209,22.461789354,0.0,0.170049128276,0.0
010100081108,13373,14.010819102,0.0,0.104769454139,0.0
010100090601,26254,455.240423838,0.0,1.73398500738,0.0
010100090603,41544,0.0,None,0.0,None
010100090604,6326,131.657220768,0.0,2.08120804249,0.0
010100090605,18154,0.0,None,0.0,None
010100090607,15922,0.0,None,0.0,None
010100090608,3829,0.0,None,0.0,None
010100100101,9263,0.0,None,0.0,None
010100100102,5302,0.0,None,0.0,None
010100100201,21743,0.0,None,0.0,None
010100100202,21880,0.0,None,0.0,None
010100100203,11108,0.0,None,0.0,None
010100100204,15560,0.0,None,0.0,None
010100100205,25022,0.0,None,0.0,None
010100100206,10851,0.0,None,0.0,None
010100100207,1176,0.0,None,0.0,None
010100110103,11534,0.0,None,0.0,None
010200010101,11629,0.0,None,0.0,None
010200010102,11472,0.0,None,0.0,None
010200010103,23864,0.0,None,0.0,None
010200010104,25891,19.125880044,0.0,0.0738707660732,0.0
010200010105,17031,0.222393954,0.0,0.00130581853091,0.0
010200010106,72499,0.0,None,0.0,None
010200010201,19111,122.761462608,0.0,0.642360225043,0.0
010200010202,9076,0.0,None,0.0,None
010200010203,8666,0.0,None,0.0,None
010200010204,28962,37.139790318,0.0,0.128236276217,0.0
010200010205,12836,0.0,None,0.0,None
010200010206,11404,0.0,None,0.0,None
010200010207,18371,0.0,None,0.0,None
010200010208,8283,0.0,None,0.0,None
010200010209,11422,0.0,None,0.0,None
010200010210,29984,0.0,None,0.0,None
010200010301,17985,0.0,None,0.0,None
010200010302,39547,0.0,None,0.0,None
010200010303,10150,0.444787908,0.444787908,0.00438214687685,100.0
010200010304,7819,5.115060942,5.115060942,0.0654183519887,100.0
010200010305,22020,0.0,None,0.0,None
010200010306,14047,0.0,None,0.0,None
010200010307,27652,0.0,None,0.0,None
010200010308,56013,0.0,None,0.0,None
010200010401,36506,0.0,None,0.0,None
010200010402,13337,0.0,None,0.0,None
010200010403,26031,0.0,None,0.0,None
010200010404,29308,0.0,None,0.0,None
010200010501,29068,0.0,None,0.0,None
010200010502,15232,0.0,None,0.0,None
010200010503,17621,0.0,None,0.0,None
010200010504,9258,0.0,None,0.0,None
010200010505,22309,0.667181862,0.667181862,0.00299063993007,100.0
010200010506,13566,0.0,None,0.0,None
010200010507,22174,0.0,None,0.0,None
010200010508,15122,0.0,None,0.0,None
010200010509,83956,0.0,None,0.0,None
010200010601,7581,0.0,None,0.0,None
010200010602,30246,82.063369026,82.063369026,0.271319741539,100.0
010200010701,4851,0.0,None,0.0,None
010200010702,29616,0.0,None,0.0,None
010200010703,16859,0.0,None,0.0,None
010200010704,9328,0.0,None,0.0,None
010200010801,14124,0.0,None,0.0,None
010200010802,6621,0.0,None,0.0,None
010200010803,9568,0.0,None,0.0,None
010200010804,7475,0.0,None,0.0,None
010200010805,9851,0.0,None,0.0,None
010200010901,9814,348.04653801,348.04653801,3.54642895873,100.0
010200010902,7446,101.634036978,101.634036978,1.3649481195,100.0
010200010903,14092,0.0,None,0.0,None
010200010904,39734,0.0,None,0.0,None
010200010905,41458,0.0,None,0.0,None
010200010906,11569,0.0,None,0.0,None
010200010907,10894,0.0,None,0.0,None
010200011001,7563,0.0,None,0.0,None
010200011002,28098,329.587839828,329.587839828,1.17299394914,100.0
010200011003,13296,0.0,None,0.0,None
010200011004,19266,0.0,None,0.0,None
010200011005,18059,0.0,None,0.0,None
010200011006,12134,0.0,None,0.0,None
010200011007,24013,0.0,None,0.0,None
010200020101,9196,0.0,None,0.0,None
010200020102,37230,0.0,None,0.0,None
010200020103,15150,0.0,None,0.0,None
010200020104,10400,0.0,None,0.0,None
010200020105,40813,0.0,None,0.0,None
010200020106,26869,0.0,None,0.0,None
010200020107,12815,0.0,None,0.0,None
010200020108,13065,0.0,None,0.0,None
010200020201,19252,0.0,None,0.0,None
010200020202,15865,0.0,None,0.0,None
010200020203,6865,0.0,None,0.0,None
010200020204,50891,0.0,None,0.0,None
010200020205,29752,0.0,None,0.0,None
010200020301,12875,0.0,None,0.0,None
010200020302,14893,0.0,None,0.0,None
010200020303,11105,0.0,None,0.0,None
010200020304,17267,0.0,None,0.0,None
010200020401,24951,0.0,None,0.0,None
010200020402,25753,0.0,None,0.0,None
010200020403,9712,0.0,None,0.0,None
010200020404,7691,0.0,None,0.0,None
010200020405,19973,0.0,None,0.0,None
010200020406,17528,0.0,None,0.0,None
010200020407,20306,0.0,None,0.0,None
010200020408,38355,0.0,None,0.0,None
010200020501,11141,0.0,None,0.0,None
010200020502,60657,1169.34741013,1169.34741013,1.92780290837,100.0
