HUC_12,Root_BMass_Tons
010200051005,37896.2791979
010200051006,51827.3384509
010200051007,64168.3637864
010200051008,31267.078903
010200051009,56414.0711953
010300010101,60394.3015362
010300010102,65892.7606888
010300010201,37405.3897673
010300010202,48279.5775741
010300010203,38254.1400031
010300010204,70175.215021
010300010205,41533.8847564
010300010206,78052.917137
010300010301,41738.8863094
010300010302,67233.5138561
010300010303,113266.645579
010300010304,43958.4061466
010300010305,36435.1411541
010300010306,49184.1056178
010300010307,30491.5063477
010300010308,60922.0270642
010300010309,49618.8247319
010300010310,32400.4027361
010300010401,35648.2320404
010300010402,26625.178069
010300010403,47867.1062806
010300010404,68111.8624633
010300010501,23178.430221
010300010502,46226.3721694
010300010503,32512.054169
010300010504,32888.4157274
010300010505,33130.3615949
010300010506,51715.3582877
010300010507,47555.8822788
010300010508,26349.4761885
010300010509,26271.7094577
010300010510,274716.112987
010300010601,46468.5879039
010300010602,61520.3635358
010300010603,67423.1619559
010300010604,30575.0512272
010300010605,35030.703201
010300010606,19830.3512145
010300010607,82885.8112219
010300010608,36953.9019398
010300010609,66535.720103
010300010610,41235.3776007
010300020101,60512.4365562
010300020102,57565.7210807
010300020103,44357.7859077
010300020104,101493.773187
010300020105,39609.7416886
010300020106,68910.1324409
010300020201,33865.1347405
010300020202,82161.5304527
010300020203,61779.5782717
010300020204,86595.0698345
010300020301,66921.5085746
010300020302,45603.4997639
010300020303,79920.7875018
010300020304,71819.375549
010300020401,36437.805215
010300020402,47597.4639795
010300020403,66867.10728
010300020404,37742.5308366
010300020405,59716.69223
010300020406,54741.633658
010300020501,33526.7587961
010300020502,54603.2659099
010300020503,24003.0035595
010300020504,46614.0324934
010300020505,34735.1198947
010300020506,54413.5812901
010300030101,54907.0067791
010300030102,50355.1833209
010300030103,35025.7120186
010300030104,31137.6369122
010300030105,36209.7616601
010300030106,69995.160964
010300030201,28121.50618
010300030202,41635.9578973
010300030203,62999.3159198
010300030301,37832.9772162
010300030302,49866.7052406
010300030303,36316.8948756
010300030304,52405.6085572
010300030401,70429.7303599
010300030402,99399.5018991
010300030501,55458.2427242
010300030502,29319.5757881
010300030503,67822.4294423
010300030601,56427.330858
010300030602,52962.1488706
010300030701,50218.3137954
010300030702,64366.5340714
010300030703,59067.0813357
010300030801,28083.4827448
010300030802,41594.9878665
010300030803,27400.0934026
010300030804,24736.9614887
010300030901,48591.0819222
010300030902,77272.2669893
010300030903,108441.475867
010300030904,46438.847774
010300030905,80727.8311216
010300031001,62471.738515
010300031002,36143.6501594
010300031003,67122.9036348
010300031004,67472.062032
010300031101,57318.7883454
010300031102,63807.76822
010300031103,66791.8335433
010300031201,39156.6810686
010300031202,35276.9784101
010300031203,24899.59672
010300031204,65494.6936062
010300031205,26511.7174668
010300031206,89314.5676976
010300031301,36525.0228031
010300031302,73376.7005382
010300031401,45588.3539442
010300031402,42625.5742341
010300031403,24319.9143314
010300031404,64561.0636339
010300031405,35388.0457508
010300031501,25965.6206469
010300031502,41073.4574876
010300031503,35717.161952
010300031504,24788.4373972
010300031505,30364.956611
010300031506,78959.847558
010300031507,25359.2491477
010300031601,39091.9777727
010300031602,87285.4888875
010300031603,36975.1362375
010300031604,63655.3911517
010300031605,78561.2891802
010300031606,55736.078089
010300031701,56904.1305811
010300031702,63666.7914147
010300031801,18433.457014
010300031802,29316.6560356
010300031803,19452.2664348
010300031804,30123.5857361
010300031805,43797.2817262
010300031806,27944.1399383
010300031901,83342.7185418
010300031902,24745.0356211
010300031903,27453.3094327
010300031904,55298.2383239
010300032001,33880.8142298
010300032002,45551.5354299
010300032003,53768.4932489
010300032004,47861.9401206
010300032005,25213.5702688
010300032101,87986.9430571
010300032102,24793.2566668
010300032103,37836.2584871
010300032104,36015.8262538
010300032105,25534.2135291
010300032106,68648.2232864
010300032201,40645.1329959
010300032202,65159.4330705
010300032203,67806.199264
010300032204,63522.1752826
010300032205,36361.8423349
010300032301,43091.6892238
010300032302,26954.3339461
010300032303,48819.8472654
010300032304,23643.4023453
010300032305,28581.271116
010300032306,26947.9673219
010300032307,20478.2052706
010300032308,36151.3363442
010300032309,43312.9195613
010300032401,19178.3764134
010300032402,24121.6949218
010300032403,27773.7974102
010300032404,63195.6695777
010300032405,25826.1639831
010300032406,21921.0439278
010300032407,31521.557103
010300032408,66310.8981529
010300032409,78133.1609553
010400010101,112342.968071
010400010102,96446.2895406
010400010103,80813.2191583
010400010104,82169.5037099
010400010105,43223.3684767
010400010106,39128.2041287
010400010107,90030.9405744
010400010108,36076.2377493
010400010109,119072.816122
010400010110,115311.057754
010400010201,72651.493788
010400010202,60971.6501682
010400010203,89621.0991711
010400010301,41020.2810683
010400010302,50474.5907848
010400010303,101216.66964
010400010304,53714.1515337
010400010305,135018.332663
010400010306,63769.3967779
010400010401,58729.6743147
010400010402,39476.557876
010400010403,60614.6164166
010400010404,84264.8312964
010400010405,83604.4929838
010400010406,78995.8193687
010400010501,37764.9780384
010400010502,95774.1991497
010400010601,57992.5753273
010400010602,66236.4023144
010400010603,93361.9235301
010400010604,95160.6751887
010400010605,76164.791615
010400010606,77272.1198628
010400010607,65466.6594503
010400020101,80703.4212091
010400020102,103903.608035
010400020103,142321.40497
010400020201,155085.030257
010400020202,55377.2668435
010400020203,97015.2484239
010400020204,51707.023123
010400020205,107953.466801
010400020206,94029.3423972
010400020207,71055.5851558
010400020301,62878.2792515
010400020302,43214.8763452
010400020303,110635.412153
010400020304,51764.8744124
010400020305,67924.3390829
010400020401,71545.0800213
010400020402,47802.4795898
010400020403,97665.2388999
010400020404,65907.1390935
010400020405,61771.1380917
010400020406,86989.740678
010400020501,132918.397151
010400020502,100716.694313
010400020503,48250.3730449
010400020504,42283.3113268
010400020505,110017.661922
010400020601,73517.5567411
010400020602,52338.4966789
010400020603,56848.4622037
010400020604,35276.0213424
010400020605,35674.7961604
010400020606,53394.9308028
010400020701,101377.452862
010400020702,75420.8323088
010400020703,57387.2542645
010400020704,58296.7633994
010400020801,52929.7519003
010400020802,27118.1192031
010400020803,30674.1476513
010400020901,73608.8943123
010400020902,67448.4813347
010400020903,35826.4528428
010400020904,65424.3972142
010400020905,70812.5142242
010400020906,25341.4031738
010400020907,33834.1064329
010400020908,46891.0775314
010400020909,73898.8850175
010400020910,74944.0664307
010400021001,41352.1764005
010400021002,51670.7796441
010400021003,46066.8601505
010400021004,28023.2622928
010400021005,66804.9265172
010400021006,76749.0131869
010400021007,44406.3924014
010500010101,41477.6404846
010500010102,55831.2718143
010500010207,47224.2750486
010500010301,30710.2810018
010500010302,30995.5736847
010500010303,54764.9530429
010500010304,35804.3648104
010500010305,53557.5885692
010500010306,40833.9959639
010500010307,52151.3174081
010500010401,31265.8523489
010500010402,52855.0871662
010500010403,58442.5385893
010500010404,21596.0089677
010500010501,34448.3474819
010500010502,38637.3737656
010500010503,56312.0081377
010500010504,40927.4884247
010500010505,37409.3234749
010500010506,37250.5342473
010500010601,32947.073614
010500010602,50889.3126172
010500010603,24574.3677764
010500010604,59987.0131307
010500010605,33987.4236445
010500010606,50411.4312852
010500010701,29336.3413354
010500010702,21746.2561839
010500010705,28016.8889689
010500010706,25644.7989345
010500010707,20612.5606804
010500010708,28272.608527
010500010801,32214.8352687
010500010802,20369.8902095
010500010804,16687.4740745
010500010806,45135.0911794
010500010809,10439.6726695
010500010810,31376.2223951
010500020101,40866.3348488
010500020102,63719.0198972
010500020103,26520.311097
010500020104,65466.9752381
010500020201,45503.0654988
010500020202,39219.890236
010500020203,60279.2372748
010500020204,60931.8944254
010500020205,15687.2081231
010500020301,90955.4722065
010500020302,60927.9070247
010500020401,66070.0154298
010500020402,26076.3702681
010500020403,49638.22656
010500020501,26176.3290587
010500020502,44913.5501539
010500020503,71342.2064132
010500020601,78477.3052291
010500020602,52594.1127411
010500020603,20009.5388077
010500020604,66981.0414265
010500020701,61450.9858514
010500020702,6962.94733707
010500020703,1322.84958637
010500020801,75095.0218201
010500020802,35768.68369
010500020803,72105.5299648
010500020804,20600.0053426
010500020805,2592.398454
010500020901,24140.1831129
010500020902,50040.4132367
010500020903,24084.5413893
010500020904,50076.0155828
010500020905,38514.2720503
010500020906,29329.7723332
010500020907,3133.17478203
010500020908,676.347216665
010500021001,118216.050717
010500021002,19278.6845735
010500021003,23925.5671886
010500021004,91067.509764
010500021005,75554.0676337
010500021006,13182.5544295
010500021007,5375.35329605
010500021008,299.295064094
010500021101,30824.4984691
010500021102,42422.8978779
010500021103,63566.1166824
010500021104,0.0
010500021105,281.858137003
010500021106,22495.2873622
010500021107,48.6670369979
010500021108,281.354656149
010500021109,28659.6506342
010500021110,224.258370633
010500021111,559.678873821
010500021201,49528.9404647
010500021202,45297.258007
010500021203,82936.4849255
010500021204,43142.1336047
010500021205,68009.5409931
010500021206,21273.1415491
010500021207,52226.5942448
010500021208,73286.6928971
010500021209,58921.2156302
010500021210,42176.8938807
010500021211,20735.6676111
010500021212,31779.8392207
010500021213,34513.8475288
010500021214,44626.614022
010500021215,52018.1483144
010500021301,44458.1830772
010500021302,40697.5626285
010500021303,46737.121622
010500021304,25754.2673111
010500021401,40111.9607471
010500021402,69502.2221228
010500021403,340.382127045
010500021404,20836.2170794
010500021405,39115.4854423
010500021406,14942.0706588
010500021407,33394.7628998
010500021408,70861.2681494
010500021409,9376.40426382
010500021410,801.591184583
010500021501,48290.4980195
010500021502,20420.6648296
010500021503,66641.8626175
010500021504,17680.392293
010500021505,13431.1964607
010500021506,18052.7140084
010500021507,49256.051766
010500021508,34199.1400511
010500021509,1026.42521853
010500021601,50871.7776095
010500021602,59057.2649423
010500021701,33480.2928917
010500021702,68005.6358391
010500021703,1689.96015301
010500021801,58103.9392639
010500021802,27284.8230524
010500021803,36173.3096235
010500021901,12273.3229253
010500021902,25659.736246
010500021903,56999.549777
010500021904,50635.9672723
010500021905,16490.9777996
010500021906,13985.229985
010500021907,104553.479686
010500021908,100558.500899
010500021909,4844.37444247
010500030101,39377.5865308
010500030102,56249.5896139
010500030103,68408.0906624
010500030104,63268.2259867
010500030105,38954.9986037
010500030106,56155.1084373
010500030107,48440.5807763
010500030201,74012.5872943
010500030202,34770.5903379
010500030203,66791.5935772
010500030204,31286.4598272
010500030205,17048.5319117
010500030206,1056.44584379
010500030301,68349.8045516
010500030302,71179.9549265
010500030303,12908.5513726
010500030304,60206.525662
010500030305,20255.6432945
010500030306,1275.64644991
010500030307,299.560066376
010500030401,74039.8465726
010500030402,65062.0152506
010500030403,68223.7356313
010500030404,41415.8064986
010500030405,48170.4126184
010500030406,73607.8084583
010500030501,23925.2466858
010500030502,29040.0135623
010500030503,82627.4765707
010500030504,2.20313813214
010500030601,25926.8498165
010500030602,45749.062489
010500030603,68467.7704557
010500030604,9562.09795029
010500030605,240.162866529
010500030606,25.5130411737
010500040203,13289.9253185
010500040204,29640.3266106
010500040401,45566.3095726
010500040402,27606.9397281
010500040403,25093.4268164
010500040404,73900.3945561
010500040501,55487.3418673
010500040502,18522.1302193
010500040601,26366.6374272
010500040602,29366.7601431
010500040603,27886.5498255
010500040604,32699.1446154
010500040605,20140.1873506
010500040606,95689.1757312
010500040701,9.66446659449
010500040702,85.8599936622
010500040901,11819.5359888
010500040902,51781.3043004
010500040903,66.7182909642
010500040904,802.790686212
010600010101,84491.1369678
010600010102,85100.1223172
010600010103,35409.4340792
010600010104,69859.2292987
010600010105,83460.6840756
010600010106,88647.2249384
010600010107,52151.9630235
010600010108,20720.0541277
010600010109,45892.0587186
010600010110,96709.6933983
010600010201,73625.3891621
010600010202,30137.8211032
010600010203,45549.2009524
010600010204,40081.3015801
010600010205,31465.1341275
010600010206,34358.560285
010600010301,72785.25814
010600010302,63976.6137473
010600010303,26810.0107468
010600010304,44432.1568565
010600010305,35665.8313328
010600010306,41672.4859162
010600010401,36796.3644317
010600010402,17699.4499045
010600010501,10446.5925883
010600010502,15544.2088559
010600010503,36725.4381689
010600010504,10181.5668441
010600010505,34671.1139088
010600010506,261.882898847
010600010507,12.9920896878
010600010601,34966.2678296
010600010602,100731.901398
010600010603,30742.3000845
010600010606,21015.6667923
010600010607,2080.22916856
010600020101,100942.070148
010600020102,55149.7909253
010600020103,57239.7353946
010600020104,54052.1587282
010600020105,74239.4693006
010600020106,90118.7107875
010600020201,75852.8294987
010600020202,71624.8965549
010600020203,55720.7539688
010600020204,56265.5440979
010600020301,91535.1377895
010600020302,77459.5879733
010600020303,68470.9745126
010600020304,51990.133647
010600020401,157389.160931
010600020402,103767.225596
010600020403,87853.2663976
010600020404,31399.7745601
010600020405,54738.6160011
010600020406,70253.6160029
010600020501,54759.5030749
010600020502,74707.5706694
010600020503,35226.646143
010600020504,47279.4883034
010600020601,53549.1579322
010600020602,74992.4724214
010600020603,105690.834687
010600020604,46982.9782038
010600020605,56319.1815676
010600020701,34333.3649991
010600020702,43800.5426085
010600020703,97427.8681047
010600020801,50316.2443601
010600020802,40952.1981572
010600020803,41774.3707429
010600020804,35354.3101504
010600020901,39450.3726917
010600020902,59175.6418103
010600020903,69121.3440631
010600020904,68292.4988598
010600021001,39520.9126192
010600021002,79850.084895
010600021003,34717.0395752
010600021004,36813.3064034
010600021005,48193.0790666
010600021006,33455.8493039
010600021007,54234.3021664
010600021101,102323.565827
010600021102,60834.9422654
010600021103,62745.9815303
010600021104,45718.2521228
010600021105,58870.9463996
010600021106,3000.35163989
010600030101,36685.1751348
010600030102,53286.8354339
010600030103,7.69776958669
010600030104,0.0
010600030201,50426.3363101
010600030202,34714.9034218
010600030203,34227.2037012
010600030204,53861.9422308
010600030205,28254.1150102
010600030206,6.12331118291
010600030207,0.0
010600030301,35198.7485791
010600030302,250.594784682
010600030303,16.8665119448
010600030401,61840.7056939
010600030402,87355.41091
010600030501,53641.797852
010600030502,51584.1054148
010600030503,48688.8385133
010600030504,43174.7210445
010600030505,96858.8617392
010600030506,92655.2157255
010600030507,32665.5886288
010600030601,76395.7266774
010600030602,23180.8497876
010600030603,47748.7101471
010600030604,28248.7508643
010600030605,56838.2897706
010600030606,32521.7226029
010600030607,31292.1058536
010600030608,33642.5499553
010600030701,70809.5029241
010600030702,37741.5660795
010600030703,46089.1038134
010600030704,72050.4037745
010600030705,49670.1240719
010600030706,28863.092227
010600030707,44216.1998652
010600030708,42365.6638392
010600030709,36021.9271136
010600030801,57742.4486192
010600030802,33268.3810962
010600030803,39436.4727707
010600030804,26902.6627848
010600030805,35405.7979117
010600030806,30672.3807174
010600030901,24750.7733433
010600030902,48390.2487783
010600030903,51264.3684752
010600030904,27107.6309937
010600031001,48183.7266522
010600031002,24773.2952008
010600031003,36886.7728236
010600031004,14.1107645866
010600031005,33237.1703814
010600031101,53260.7998641
010600031102,104396.233849
010600031103,57445.8265976
010600031104,8989.47182077
010600031105,202.666120136
010600031106,10.3661305944
010700010101,38497.8176621
010700010102,70018.4678494
010700010103,59981.4963281
010700010104,94862.8329336
010700010201,77932.5334752
010700010202,66594.5180976
010700010203,39921.3147183
010700010204,59896.1345545
010700010205,99580.3244658
010700010206,76534.6098855
010700010301,56240.9166701
010700010302,75376.0790654
010700010303,59687.919058
010700010304,89041.6986459
010700010305,49297.431183
010700010306,70021.6276894
010700010307,73835.7422126
010700010401,132229.431611
010700010402,73310.7776758
010700010403,48410.2885198
010700010404,47237.7494993
010700010501,75485.6681215
010700010502,48244.6539651
010700010601,65834.8021613
010700010602,77703.0817617
010700010603,62531.1827855
010700010701,97605.9342441
010700010702,86847.5372733
010700010801,86229.8860041
010700010802,55009.738005
010700010803,88743.9387689
010700010804,43997.0984384
010700020101,94019.5405188
010700020102,87523.8613961
010700020103,96325.0064874
010700020104,78056.0810599
010700020105,39634.7723463
010700020106,69343.4150688
010700020107,43290.3130877
010700020108,28085.9539697
010700020109,21393.2944091
010700020110,36801.9776214
010700020201,92403.6068682
010700020202,106667.678015
010700030101,93003.7620411
010700030102,45746.8134196
010700030103,71353.5854392
010700030104,102401.703507
010700030105,37398.2668658
010700030106,42977.7966477
010700030107,46753.8474601
010700030108,85001.6423801
010700030201,68701.0320252
010700030202,54175.7978989
010700030203,79595.0768015
010700030204,83599.9305881
010700030301,61249.2987989
010700030302,51761.5242439
010700030303,56434.7017036
010700030401,47138.8587924
010700030402,104719.420544
010700030403,53574.0272941
010700030404,134827.388548
